line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.renderer.category.StatisticalBarRenderer#void#drawHorizontalItem#?,Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,StatisticalCategoryDataset,int,int#318	1.0	1.0	2.0	rangeAxis.valueToJava2D(meanValue.doubleValue() - valueDelta,dataArea,yAxisLocation)<rectX	GT
org.jfree.chart.renderer.category.StatisticalBarRenderer#void#drawVerticalItem#?,Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,StatisticalCategoryDataset,int,int#462	0.6666666666666667	1.0	1.6666666666666667	rangeAxis.valueToJava2D(meanValue.doubleValue() - valueDelta,dataArea,yAxisLocation)<=rectWidth	GT
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#void#add#?,Number,Number,Comparable,Comparable#321	0.4	1.0	1.4	m + sd<=sd	_
org.jfree.chart.renderer.category.StatisticalBarRenderer#void#drawItem#?,Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int,int#208	1.0	0.0	1.0		_
org.jfree.chart.renderer.category.BarRenderer#void#calculateBarWidth#?,CategoryPlot,Rectangle2D,int,CategoryItemRendererState#524	0.5	0.5714285714285714	0.9714285714285714	dataset.getRowCount()<=columns	_
org.jfree.chart.axis.AxisState#void#cursorUp#?,double#130	0.1428571428571429	0.6666666666666667	0.8095238095238096	this.cursor - units<units	_
org.jfree.data.statistics.MeanAndStandardDeviation#Number#getMean#?#95	0.6666666666666667	0.0	0.6666666666666667		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Comparable#getRowKey#?,int#246	0.6666666666666667	0.0	0.6666666666666667		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Number#getMeanValue#?,int,int#113	0.6666666666666667	0.0	0.6666666666666667		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Comparable#getColumnKey#?,int#215	0.6666666666666667	0.0	0.6666666666666667		_
org.jfree.data.statistics.MeanAndStandardDeviation#Number#getStandardDeviation#?#104	0.6666666666666667	0.0	0.6666666666666667		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Number#getStdDevValue#?,int,int#169	0.6666666666666667	0.0	0.6666666666666667		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Number#getValue#?,int,int#126	0.6666666666666667	0.0	0.6666666666666667		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#int#getColumnCount#?#273	0.6666666666666667	0.0	0.6666666666666667		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#int#getRowCount#?#264	0.6666666666666667	0.0	0.6666666666666667		_
org.jfree.chart.plot.CategoryPlot#boolean#render#?,Graphics2D,Rectangle2D,int,PlotRenderingInfo#2861	0.18181818181818177	0.5	0.6666666666666666	currentDataset.getRowCount()<columnCount	_
org.jfree.data.general.DatasetUtilities#boolean#isEmptyOrNull#?,CategoryDataset#569	0.16000000000000003	0.4444444444444444	0.5873015873015873	dataset.getColumnCount()>rowCount	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Range#getRangeBounds#?,boolean#377	0.5714285714285714	0.0	0.5714285714285714		_
org.jfree.data.KeyedObjects2D#void#setObject#?,Object,Comparable,Comparable#237	0.36363636363636365	0.36363636363636365	0.5636363636363636	this.columnKeys.indexOf(columnKey)<rowIndex	_
org.jfree.chart.axis.CategoryAxis#AxisState#drawCategoryLabels#?,Graphics2D,Rectangle2D,Rectangle2D,RectangleEdge,AxisState,PlotRenderingInfo#894	0.18181818181818177	0.33333333333333337	0.5151515151515151	y0 + state.getMax()>x1	_
org.jfree.chart.renderer.category.BarRenderer#double#getLowerClip#?#459	0.5	0.0	0.5		_
org.jfree.chart.renderer.category.BarRenderer#double#getUpperClip#?#470	0.5	0.0	0.5		_
org.jfree.chart.block.LineBorder#void#draw#?,Graphics2D,Rectangle2D#157	0.09756097560975607	0.4	0.4975609756097561	x + w - r / 2.0<=y	_
org.jfree.chart.axis.CategoryAxis#double#calculateCategorySize#?,int,Rectangle2D,RectangleEdge#676	0.2222222222222222	0.2666666666666667	0.48888888888888893	available * (1 - getLowerMargin() - getUpperMargin()- getCategoryMargin())<=available	_
org.jfree.chart.axis.CategoryAxis#double#calculateCategoryGapSize#?,int,Rectangle2D,RectangleEdge#713	0.2222222222222222	0.2666666666666667	0.48888888888888893	available * getCategoryMargin() / (categoryCount - 1)<=available	_
org.jfree.chart.plot.CategoryPlot#LegendItemCollection#getLegendItems#?#1759	0.16666666666666663	0.33333333333333337	0.4814814814814815	dataset.getRowCount()==count	_
org.jfree.data.KeyedObjects2D#Comparable#getColumnKey#?,int#159	0.4444444444444444	0.0	0.4444444444444444		_
org.jfree.chart.renderer.category.StatisticalBarRenderer#?#StatisticalBarRenderer#?#115	0.4444444444444444	0.0	0.4444444444444444		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#void#add#?,double,double,Comparable,Comparable#286	0.4	0.0	0.4		_
org.jfree.data.general.DatasetUtilities#Range#findRangeBounds#?,CategoryDataset,boolean#745	0.4	0.0	0.4		_
org.jfree.data.KeyedObjects2D#Comparable#getRowKey#?,int#128	0.4	0.0	0.4		_
org.jfree.chart.axis.CategoryAxis#double#getCategoryStart#?,int,int,Rectangle2D,RectangleEdge#605	0.18181818181818177	0.21052631578947367	0.3771929824561403	result + category * (categorySize + categoryGapWidth)>=categorySize	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#?#DefaultStatisticalCategoryDataset#?#91	0.36363636363636365	0.0	0.36363636363636365		_
org.jfree.data.Range#Range#expandToInclude#?,Range,double#238	0.36363636363636365	0.0	0.36363636363636365		_
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#void#drawRangeMarker#?,Graphics2D,CategoryPlot,ValueAxis,Marker,Rectangle2D#1025	0.19999999999999996	0.16666666666666663	0.33333333333333326	axis.valueToJava2D(value,dataArea,plot.getRangeAxisEdge())>value	_
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#CategoryItemRendererState#initialise#?,Graphics2D,Rectangle2D,CategoryPlot,int,PlotRenderingInfo#749	0.16666666666666663	0.16666666666666663	0.33333333333333326	data.getColumnCount()!=rendererIndex	_
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#void#drawRangeGridline#?,Graphics2D,CategoryPlot,ValueAxis,Rectangle2D,double#880	0.18181818181818177	0.16666666666666663	0.32666666666666666	axis.valueToJava2D(value,dataArea,plot.getRangeAxisEdge())>=value	_
org.jfree.chart.axis.CategoryAxis#AxisSpace#reserveSpace#?,Graphics2D,Plot,Rectangle2D,RectangleEdge,AxisSpace#757	0.1428571428571429	0.18181818181818177	0.3246753246753247	state.getMax()!=tickLabelWidth	_
org.jfree.chart.axis.Axis#AxisState#drawLabel#?,String,Graphics2D,Rectangle2D,Rectangle2D,RectangleEdge,AxisState,PlotRenderingInfo#1122	0.1428571428571429	0.16666666666666663	0.30952380952380953	(float)(state.getCursor() - insets.getBottom() - h / 2.0)<=w	_
