line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.CodeConsumer#void#addOp#?,String,boolean#212	0.0	0.07065963640358104	0.07065963640358104	getLastChar()==first	_
com.google.javascript.jscomp.CodeGenerator#String#strEscape#?,String,char,String,String,String,CharsetEncoder,boolean#1014	0.0	0.01795125164690382	0.01795125164690382	s.charAt(i)<quote	_
com.google.javascript.jscomp.CodeGenerator#void#add#?,Node,Context#102	0.0	0.002938088826045809	0.002938088826045809	NodeUtil.precedence(type)>childCount	_
com.google.javascript.jscomp.parsing.IRFactory#void#setSourceInfo#?,Node,AstNode#319	0.0	2.9364840632738268E-6	2.9364840632738268E-6	position2charno(node.getAbsolutePosition())>lineno	_
com.google.javascript.jscomp.NodeUtil#boolean#isLatin#?,String#2407	0.0	1.8561819117672834E-7	1.8561819117672834E-7	s.charAt(index)<LARGEST_BASIC_LATIN	_
com.google.javascript.rhino.Node#?#Node#?,int#355	0.0	0.0	0.0	-1!=nodeType	_
com.google.javascript.rhino.Node#void#setLineno#?,int#1139	0.0	0.0	0.0	getCharno()<lineno	_
com.google.javascript.rhino.Node#?#Node#?,int,Node#369	0.0	0.0	0.0	-1<nodeType	_
com.google.javascript.rhino.Node#void#setCharno#?,int#1147	0.0	0.0	0.0	mergeLineCharNo(getLineno(),charno)>charno	_
com.google.javascript.rhino.Node#?#Node#?,int,Node,Node#389	0.0	0.0	0.0	-1<=nodeType	_
com.google.javascript.jscomp.parsing.IRFactory#int#position2charno#?,int#366	0.0	0.0	0.0	sourceString.lastIndexOf('\n',position)<=position	_
