line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.rhino.JSDocInfo#void#setType#?,JSTypeExpression,int#1050	2.651108818978855	2.6534296028880866	5.304538421866942	(bitset & MASK_FLAGS) | mask==mask	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseAndRecordTypeNode#?,JsDocToken,int,int,boolean,boolean#1169	2.6494326972666324	2.647627643115008	5.28893759669933	stream.getLineno()<startCharno	_
com.google.javascript.rhino.Node#?#Node#?,int,int,int#439	2.61397627643115	2.64633831872099	5.26031459515214	mergeLineCharNo(lineno,charno)>charno	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseTypeName#?,JsDocToken#1781	2.626611655492522	2.6275141825683344	5.254125838060856	stream.getCharno()>lineno	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#?#JsDocTokenStream#?,String,int,int#49	2.5	2.644791129448169	5.144791129448169	sourceString.length()<initCharno	_
com.google.javascript.jscomp.parsing.IRFactory#JsDocInfoParser#createJsDocInfoParser#?,Comment,Node#421	2.553249097472924	2.5854822073233628	5.138731304796287	node.getAbsolutePosition()>lineno	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#boolean#matchChar#?,int#262	2.5012893243940173	2.5101856627127384	5.011474987106755	cursor<c	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#void#addToString#?,int#242	2.5006446621970086	2.5006446621970086	5.001289324394017	stringBufferTop!=c	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getChar#?#385	2.500515729757607	2.500128932439402	5.000257864878804	getOffset()<c	_
com.google.javascript.rhino.Node#void#setLineno#?,int#1146	2.1436307374935533	2.507478081485302	4.651108818978855	getCharno()==lineno	_
com.google.javascript.rhino.Node#void#setCharno#?,int#1154	2.143759669932955	2.5059308922124806	4.649690562145436	mergeLineCharNo(getLineno(),charno)==charno	_
com.google.javascript.jscomp.parsing.IRFactory#int#position2charno#?,int#448	2.145048994326973	2.5059308922124806	4.649690562145436	sourceString.lastIndexOf('\n',position)>=position	_
com.google.javascript.jscomp.parsing.IRFactory#void#setSourceInfo#?,Node,AstNode#401	2.143759669932955	2.4784682826199074	4.622227952552862	position2charno(node.getAbsolutePosition())==lineno	_
com.google.javascript.rhino.Node#?#Node#?,int,Node,Node#389	2.2804280556988137	2.2804280556988137	4.560856111397627	-1<nodeType	_
com.google.javascript.rhino.jstype.JSType#?#JSType#?,JSTypeRegistry,ImmutableList<String>,ImmutableList<JSType>#118	2.2319494584837543	2.2319494584837543	4.4638989169675085	templatizedTypes == null ? 0 : templatizedTypes.size()>=keysLength	_
com.google.javascript.rhino.Node#?#Node#?,int#355	2.0645951521402783	2.0645951521402783	4.129190304280557	-1!=nodeType	_
com.google.javascript.jscomp.JSError#?#JSError#?,String,Node,int,int,DiagnosticType,CheckLevel,String#159	1.7541258380608562	1.8081485301701907	3.562274368231047	charno>lineno	_
com.google.javascript.jscomp.TypeValidator#void#registerMismatch#?,JSType,JSType,JSError#674	2.929989685404848	0.0	2.929989685404848		_
com.google.javascript.jscomp.TypeValidator$TypeMismatch#?#TypeMismatch#?,JSType,JSType,JSError#816	2.929989685404848	0.0	2.929989685404848		_
com.google.javascript.jscomp.TypedScopeCreator#Scope#createScope#?,Node,Scope#242	2.8646209386281587	0.0	2.8646209386281587		_
com.google.javascript.jscomp.TypedScopeCreator$CollectProperties#?#CollectProperties#?,JSType#1723	2.8646209386281587	0.0	2.8646209386281587		_
com.google.javascript.jscomp.TypedScopeCreator$CollectProperties#void#visit#?,NodeTraversal,Node,Node#1728	2.8646209386281587	0.0	2.8646209386281587		_
com.google.javascript.rhino.Node#void#addChildToFront#?,Node#595	2.8349664775657555	0.0	2.8349664775657555		_
com.google.javascript.jscomp.TypeValidator#boolean#expectCanAssignTo#?,NodeTraversal,Node,JSType,JSType,String#404	2.8000257864878804	0.0	2.8000257864878804		GT
com.google.javascript.jscomp.TypeInference#void#updateScopeForTypeChange#?,FlowScope,Node,JSType,JSType#524	2.7880350696235174	0.0	2.7880350696235174		_
com.google.javascript.jscomp.FunctionTypeBuilder#FunctionType#buildAndRegister#?#597	2.7763022176379577	0.0	2.7763022176379577		_
com.google.javascript.jscomp.FunctionTypeBuilder#FunctionType#getOrCreateConstructor#?#676	2.750515729757607	0.0	2.750515729757607		_
