line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math3.linear.EigenDecomposition#void#findEigenVectors#?,double[][]#717	0.0	1.971830985915493	1.971830985915493	z[j][i]==maxAbsoluteValue	_
org.apache.commons.math3.distribution.NormalDistribution#double#density#?,double#135	0.0	1.7142857142857144	1.7142857142857144	x - mean>x	_
org.apache.commons.math3.util.FastMath#double#log#?,double,double[]#1327	0.0	0.09186541395647635	0.09186541395647635	a + lnza==b	_
org.apache.commons.math3.util.FastMath#double#pow#?,double,double#1594	0.0	0.0885040885040885	0.0885040885040885	z * lnb + 1.0==x	_
org.apache.commons.math3.distribution.NormalDistribution#?#NormalDistribution#?,RandomGenerator,double,double,double#112	0.0	0.05952380952380952	0.05952380952380952	inverseCumAccuracy>=mean	_
org.apache.commons.math3.util.FastMath#double#exp#?,double,double,double[]#908	0.0	0.01931430344399628	0.01931430344399628	ExpFracTable.EXP_FRAC_TABLE_B[intFrac]==x	_
org.apache.commons.math3.util.Precision#boolean#equals#?,double,double,int#332	0.0	0.0017741935483870969	0.0017741935483870969	Double.doubleToLongBits(y)==xInt	_
org.apache.commons.math3.linear.Array2DRowRealMatrix#void#setSubMatrix#?,double[][],int,int#285	0.0	0.0	0.0	subMatrix[0].length>column	_
org.apache.commons.math3.random.AbstractWell#?#AbstractWell#?,int,int,int,int,int[]#112	0.0	0.0	0.0	(j + r - 1) % r<=m2	_
org.apache.commons.math3.linear.AbstractRealMatrix#void#setColumn#?,int,double[]#573	0.0	0.0	0.0	getRowDimension()>column	_
org.apache.commons.math3.random.AbstractWell#void#setSeed#?,int[]#163	0.0	0.0	0.0	v[i - seed.length]<i	_
