line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math3.util.OpenIntToDoubleHashMap#int#hashOf#?,int#476	0.0	0.0	0.0		_
org.apache.commons.math3.linear.OpenMapRealVector#?#OpenMapRealVector#?,double[],double#138	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#double#remove#?,int#351	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#double#put#?,int,double#408	0.0	0.0	0.0		_
org.apache.commons.math3.linear.OpenMapRealVector#void#setEntry#?,int,double#591	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#boolean#shouldGrowTable#?#466	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#boolean#containsKey#?,int,int#382	0.0	0.0	0.0		_
org.apache.commons.math3.linear.OpenMapRealVector#?#OpenMapRealVector#?,double[]#123	0.0	0.0	0.0		_
org.apache.commons.math3.linear.OpenMapRealVector#OpenMapRealVector#ebeMultiply#?,RealVector#363	0.0	0.0	0.0		GT
org.apache.commons.math3.util.OpenIntToDoubleHashMap#?#OpenIntToDoubleHashMap#?,OpenIntToDoubleHashMap#139	0.0	0.0	0.0		_
org.apache.commons.math3.linear.OpenMapRealVector#OpenMapRealVector#ebeDivide#?,RealVector#354	0.0	0.0	0.0		GT
org.apache.commons.math3.util.OpenIntToDoubleHashMap#int#computeCapacity#?,int#150	0.0	0.0	0.0		_
org.apache.commons.math3.linear.OpenMapRealVector#OpenIntToDoubleHashMap#getEntries#?#208	0.0	0.0	0.0		_
org.apache.commons.math3.linear.OpenMapRealVector#?#OpenMapRealVector#?,OpenMapRealVector#182	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#Iterator#iterator#?#238	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#double#get#?,int#189	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#int#findInsertionIndex#?,int#256	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap$Iterator#?#Iterator#?#503	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#int#probe#?,int,int#323	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap$Iterator#boolean#hasNext#?#515	0.0	0.0	0.0		_
org.apache.commons.math3.linear.RealVector#void#checkVectorDimensions#?,int#177	0.0	0.0	0.0		_
org.apache.commons.math3.util.FastMath#double#ceil#?,double#3376	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap$Iterator#int#key#?#529	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap$Iterator#void#advance#?#569	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap$Iterator#double#value#?#543	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#int#changeIndexSign#?,int#332	0.0	0.0	0.0		_
org.apache.commons.math3.util.FastMath#double#floor#?,double#3335	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#int#findInsertionIndex#?,int[],byte[],int,int#269	0.0	0.0	0.0		_
org.apache.commons.math3.linear.OpenMapRealVector#boolean#isDefaultValue#?,double#220	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#int#perturb#?,int#247	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#?#OpenIntToDoubleHashMap#?,int,double#118	0.0	0.0	0.0		_
org.apache.commons.math3.linear.RealVector#void#checkIndex#?,int#189	0.0	0.0	0.0		_
org.apache.commons.math3.util.FastMath#double#abs#?,double#3020	0.0	0.0	0.0		_
org.apache.commons.math3.linear.OpenMapRealVector#double#getEntry#?,int#449	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#boolean#containsKey#?,int#222	0.0	0.0	0.0		_
org.apache.commons.math3.linear.OpenMapRealVector#int#getDimension#?#401	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#void#growTable#?#454	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#?#OpenIntToDoubleHashMap#?,double#100	0.0	0.0	0.0		_
org.apache.commons.math3.util.OpenIntToDoubleHashMap#double#doRemove#?,int#393	0.0	0.0	0.0		_
