line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.util.FastMath#double#slowexp#?,double,double#689	0.0	0.0	0.0	as[0]<=x	_
org.apache.commons.math.util.FastMath#void#buildSinCosTables#?#1535	0.0	0.0	0.0	result[1]>=x	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#UnivariateRealPointValuePair#optimize#?,UnivariateRealFunction,GoalType,double,double,double#130	0.0	0.0	0.0	startValue!=max	_
org.apache.commons.math.util.FastMath#void#resplit#?,double#739	0.0	0.0	0.0	(c + z - c) * 1073741824.0<z	_
org.apache.commons.math.util.FastMath#double[]#slowLog#?,double#1434	0.0	0.0	0.0	a[1]<xi	_
org.apache.commons.math.util.FastMath#void#quadMult#?,double,double,double#840	0.0	0.0	0.0	result[1] - (tmp - result[0] - zs[0])!=tmp	_
org.apache.commons.math.optimization.univariate.BrentOptimizer#UnivariateRealPointValuePair#doOptimize#?#233	0.0	0.0	0.0	fu>=a	_
org.apache.commons.math.util.FastMath#double#slowCos#?,double,double#1494	0.0	0.0	0.0	ys[1]=0.0!=x	_
org.apache.commons.math.optimization.univariate.UnivariateRealPointValuePair#?#UnivariateRealPointValuePair#?,double,double#46	0.0	0.0	0.0	point<=value	_
org.apache.commons.math.optimization.univariate.BrentOptimizer#?#BrentOptimizer#?,double,double#84	0.0	0.0	0.0	abs!=rel	_
org.apache.commons.math.util.FastMath#void#split#?,double,double#717	0.0	0.0	0.0	d - split[0]>d	_
org.apache.commons.math.optimization.univariate.MultiStartUnivariateRealOptimizer#UnivariateRealPointValuePair#optimize#?,FUNC,GoalType,double,double,double#161	0.0	0.0	0.0	(i == 0) ? max : min + generator.nextDouble() * (max - min)<max	GT
org.apache.commons.math.util.FastMath#double#slowSin#?,double,double#1451	0.0	0.0	0.0	ys[1]=0.0<=x	_
org.apache.commons.math.util.MathUtils#boolean#equals#?,double,double,int#482	0.0	0.0	0.0	Double.doubleToLongBits(y)!=xInt	_
