line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#double#integrate#?,FirstOrderDifferentialEquations,double,double[],double,double[]#309	1.0	1.0	2.0	computeStepGrowShrinkFactor(error)!=t	_
org.apache.commons.math.ode.nonstiff.AdamsNordsieckTransformer#FieldMatrix<BigFraction>#buildP#?,int#246	0.5773502691896258	0.5773502691896258	1.1547005383792517	factor!=nSteps	_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#double#filterStep#?,double,boolean,boolean#292	0.5	0.5	1.0	maxStep<=h	_
org.apache.commons.math.ode.MultistepIntegrator#?#MultistepIntegrator#?,String,int,int,double,double,double,double#123	0.35355339059327373	0.5773502691896258	0.9309036597828996	nSteps!=order	_
org.apache.commons.math.ode.sampling.NordsieckStepInterpolator#void#computeInterpolatedStateAndDerivatives#?,double,double#189	0.35355339059327373	0.5	0.8535533905932737	x / scalingH==oneMinusThetaH	_
org.apache.commons.math.ode.sampling.NordsieckStepInterpolator#void#rescale#?,double#159	0.35355339059327373	0.5	0.8535533905932737	stepSize>=power	_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#double#initializeStep#?,FirstOrderDifferentialEquations,boolean,int,double[],double,double[],double[],double[],double[]#220	0.13483997249264842	0.5773502691896258	0.7121902416822743	y0[j] / scale[j]<t0	_
org.apache.commons.math.ode.sampling.NordsieckStepInterpolator#void#reinitialize#?,double,double,double[],Array2DRowRealMatrix#127	0.35355339059327373	0.35355339059327373	0.7071067811865475	time==stepSize	_
org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolator#void#computeInterpolatedStateAndDerivatives#?,double,double#361	0.23570226039551587	0.4082482904638631	0.6439505508593789	1 - theta==theta	_
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator$Corrector#double#end#?#431	0.5773502691896258	0.0	0.5773502691896258		_
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator$Corrector#?#Corrector#?,double[],double[],double[]#393	0.5773502691896258	0.0	0.5773502691896258		_
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator#?#AdamsMoultonIntegrator#?,int,double,double,double,double#176	0.5773502691896258	0.0	0.5773502691896258		_
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator$Corrector#void#start#?,int,int,int,int,int,int#400	0.5773502691896258	0.0	0.5773502691896258		_
org.apache.commons.math.ode.nonstiff.AdamsNordsieckTransformer#?#AdamsNordsieckTransformer#?,int#189	0.5773502691896258	0.0	0.5773502691896258		_
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegrator$Corrector#void#visit#?,int,int,double#406	0.5773502691896258	0.0	0.5773502691896258		_
org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolator#void#doFinalize#?#425	0.23570226039551587	0.3333333333333333	0.5690355937288492	currentState[j] + h * s<s	_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#?#AdaptiveStepsizeIntegrator#?,String,double,double,double,double#95	0.14002800840280097	0.4082482904638631	0.5482762988666641	Math.abs(minStep)>=scalRelativeTolerance	_
org.apache.commons.math.ode.nonstiff.DormandPrince853Integrator#double#estimateError#?,double[][],double[],double[],double#266	0.21320071635561041	0.2886751345948129	0.5018758509504233	errSum1 / tol>error2	_
org.apache.commons.math.fraction.BigFraction#BigFraction#divide#?,BigFraction#678	0.5	0.0	0.5		_
org.apache.commons.math.fraction.BigFractionField#BigFraction#getZero#?#57	0.5	0.0	0.5		_
org.apache.commons.math.linear.MatrixUtils$BigFractionMatrixConverter#Array2DRowRealMatrix#getConvertedMatrix#?#741	0.5	0.0	0.5		_
org.apache.commons.math.linear.MatrixUtils$BigFractionMatrixConverter#void#start#?,int,int,int,int,int,int#728	0.5	0.0	0.5		_
org.apache.commons.math.fraction.BigFractionField#BigFraction#getOne#?#52	0.5	0.0	0.5		_
org.apache.commons.math.fraction.BigFraction#BigFractionField#getField#?#1133	0.5	0.0	0.5		_
org.apache.commons.math.linear.MatrixUtils$BigFractionMatrixConverter#?#BigFractionMatrixConverter#?#721	0.5	0.0	0.5		_
org.apache.commons.math.linear.MatrixUtils#Array2DRowRealMatrix#bigFractionMatrixToRealMatrix#?,FieldMatrix<BigFraction>#709	0.5	0.0	0.5		_
org.apache.commons.math.linear.MatrixUtils$BigFractionMatrixConverter#void#visit#?,int,int,BigFraction#734	0.5	0.0	0.5		_
org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#double#integrate#?,FirstOrderDifferentialEquations,double,double[],double,double[]#276	0.15811388300841897	0.3333333333333333	0.48077528948823045	b[0] * yDotK[0][j]>t	GT
org.apache.commons.math.linear.Array2DRowFieldMatrix#T#walkInRowOrder#?,FieldMatrixChangingVisitor<T>#481	0.4472135954999579	0.0	0.4472135954999579		_
org.apache.commons.math.fraction.BigFraction#BigFraction#reciprocal#?#1016	0.4472135954999579	0.0	0.4472135954999579		_
org.apache.commons.math.linear.AbstractFieldMatrix#T#walkInOptimizedOrder#?,FieldMatrixChangingVisitor<T>#908	0.4082482904638631	0.0	0.4082482904638631		_
org.apache.commons.math.fraction.BigFraction#BigFraction#subtract#?,BigFraction#1102	0.4082482904638631	0.0	0.4082482904638631		_
org.apache.commons.math.linear.FieldLUDecompositionImpl$Solver#T[]#solve#?,T[]#298	0.4082482904638631	0.0	0.4082482904638631		_
org.apache.commons.math.fraction.BigFraction#BigFraction#negate#?#921	0.4082482904638631	0.0	0.4082482904638631		_
org.apache.commons.math.fraction.BigFractionField#BigFractionField#getInstance#?#47	0.3779644730092272	0.0	0.3779644730092272		_
org.apache.commons.math.ode.nonstiff.AdamsIntegrator#Array2DRowRealMatrix#initializeHighOrderDerivatives#?,double[],double[][]#94	0.35355339059327373	0.0	0.35355339059327373		_
org.apache.commons.math.ode.nonstiff.AdamsNordsieckTransformer#Array2DRowRealMatrix#updateHighOrderDerivativesPhase1#?,Array2DRowRealMatrix#283	0.35355339059327373	0.0	0.35355339059327373		_
org.apache.commons.math.ode.MultistepIntegrator$NordsieckInitializer#void#handleStep#?,StepInterpolator,boolean#326	0.35355339059327373	0.0	0.35355339059327373		_
org.apache.commons.math.ode.nonstiff.AdamsNordsieckTransformer#void#updateHighOrderDerivativesPhase2#?,double[],double[],Array2DRowRealMatrix#305	0.35355339059327373	0.0	0.35355339059327373		_
org.apache.commons.math.ode.MultistepIntegrator#void#start#?,double,double[],double#226	0.35355339059327373	0.0	0.35355339059327373		_
org.apache.commons.math.ode.nonstiff.AdamsIntegrator#void#updateHighOrderDerivativesPhase2#?,double[],double[],Array2DRowRealMatrix#128	0.35355339059327373	0.0	0.35355339059327373		_
org.apache.commons.math.ode.nonstiff.AdamsIntegrator#?#AdamsIntegrator#?,String,int,int,double,double,double,double#57	0.35355339059327373	0.0	0.35355339059327373		_
