line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.analysis.solvers.BrentSolver#double#solve#?,UnivariateRealFunction,double,double,double,double,double,double#282	0.09090909090909094	0.25	0.34090909090909094	0.5 * dx<=y0	_
org.apache.commons.math.analysis.solvers.BrentSolver#double#solve#?,UnivariateRealFunction,double,double#178	0.33333333333333337	0.05882352941176472	0.33333333333333337		_
org.apache.commons.math.ode.events.EventState#boolean#evaluateStep#?,StepInterpolator#185	0.011904761904761862	0.04761904761904767	0.05924695459579188	handler.g(tb,interpolator.getInterpolatedState())>tb	GT
org.apache.commons.math.ode.sampling.DummyStepInterpolator#void#computeInterpolatedStateAndDerivatives#?,double,double#99	0.04761904761904767	0.0	0.04761904761904767		_
org.apache.commons.math.ode.sampling.DummyStepInterpolator#?#DummyStepInterpolator#?,double[],boolean#66	0.04166666666666663	0.0	0.04166666666666663		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#?#AbstractStepInterpolator#?,double[],boolean#120	0.03125	0.0	0.03125		_
org.apache.commons.math.ode.events.EventState#void#reinitializeBegin#?,double,double[]#152	0.011627906976744207	0.013333333333333308	0.024961240310077515	handler.g(tStart,yStart)<=tStart	_
org.apache.commons.math.ode.events.EventState#void#stepAccepted#?,double,double[]#286	0.011904761904761862	0.013333333333333308	0.024961240310077515	handler.g(t,y)<=t	_
org.apache.commons.math.ode.events.EventState#?#EventState#?,EventHandler,double,double,int#109	0.010869565217391353	0.010869565217391353	0.021739130434782705	EventHandler.CONTINUE!=maxIterationCount	_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#storeTime#?,double#220	0.009345794392523366	0.012195121951219523	0.02154091634374289	currentTime - previousTime<t	_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#?#UnivariateRealSolverImpl#?,int,double#95	0.006451612903225823	0.006451612903225823	0.012903225806451646	defaultFunctionValueAccuracy!=defaultAbsoluteAccuracy	_
org.apache.commons.math.ode.events.EventState#double#getEventTime#?#271	0.011904761904761862	0.0	0.011904761904761862		_
org.apache.commons.math.ConvergingAlgorithmImpl#?#ConvergingAlgorithmImpl#?,int,double#65	0.005555555555555536	0.005952380952380931	0.011507936507936467	defaultRelativeAccuracy<defaultAbsoluteAccuracy	_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#boolean#isForward#?#251	0.011363636363636354	0.0	0.011363636363636354		_
org.apache.commons.math.ConvergingAlgorithmImpl#void#setMaximalIterationCount#?,int#93	0.010638297872340385	0.0	0.010638297872340385		_
org.apache.commons.math.ConvergingAlgorithmImpl#void#setAbsoluteAccuracy#?,double#78	0.010638297872340385	0.0	0.010638297872340385		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#double#getCurrentTime#?#235	0.010638297872340385	0.0	0.010638297872340385		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#double[]#getInterpolatedState#?#275	0.010204081632653073	0.0	0.010204081632653073		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#shift#?#211	0.009345794392523366	0.0	0.009345794392523366		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#setInterpolatedTime#?,double#245	0.009345794392523366	0.0	0.009345794392523366		_
org.apache.commons.math.analysis.solvers.BrentSolver#?#BrentSolver#?#56	0.008064516129032251	0.0	0.008064516129032251		_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#void#clearResult#?#165	0.007692307692307665	0.0	0.007692307692307665		_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#void#setResult#?,double,int#143	0.007092198581560294	0.0	0.007092198581560294		_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#void#verifyInterval#?,double,double#208	0.006849315068493178	0.0	0.006849315068493178		_
org.apache.commons.math.MathRuntimeException#IllegalArgumentException#createIllegalArgumentException#?,String,Object#305	0.0050000000000000044	0.0	0.0050000000000000044		_
