line	original_score	max_predicate_score	total	predicate	label
org.joda.time.format.DateTimeFormatter#int#parseInto#?,ReadWritableInstant,String,int#710	6.99794185747363	6.9981991252894264	13.996140982763055	parser.parseInto(bucket,text,position)>=position	GT
org.joda.time.base.BaseDateTime#void#setMillis#?,long#317	6.972729611525598	6.972729611525598	13.945459223051197	checkInstant(instant,iChronology)<=instant	_
org.joda.time.format.DateTimeParserBucket#long#computeMillis#?,boolean,String#382	6.997170054026241	6.951119114998714	13.902238229997428	iZone.getOffsetFromLocal(millis)!=count	_
org.joda.time.field.BaseDurationField#int#compareTo#?,DurationField#147	6.99176742989452	6.99176742989452	13.886544893233857	getUnitMillis()==otherMillis	_
org.joda.time.tz.CachedDateTimeZone#Info#createInfo#?,long#158	6.908669925392333	6.952148186261899	13.860818111654233	iZone.nextTransition(periodStart)<end	_
org.joda.time.format.DateTimeParserBucket#void#saveField#?,SavedField#275	6.920761512734757	6.920761512734757	13.841523025469513	savedFieldsCount + 1!=savedFieldsCount	_
org.joda.time.format.FormatUtils#void#appendPaddedInteger#?,StringBuffer,int,int#74	6.894005659891947	6.940313866735272	13.834319526627219	((value + 1) * 13421772) >> 27==size	_
org.joda.time.format.DateTimeFormatter#void#printTo#?,StringBuffer,long,Chronology#624	6.8901466426550035	6.907383586313352	13.797530228968355	instant + offset>=instant	_
org.joda.time.DateTimeZone#int#getOffsetFromLocal#?,long#904	6.837406740416774	6.837406740416774	13.674813480833548	offsetPrev - offsetLocal<=offsetPrev	_
org.joda.time.chrono.BasicGJChronology#long#setYear#?,long,int#175	6.760483663493697	6.822485207100592	13.58296887059429	getYear(instant)>year	_
org.joda.time.base.BaseDateTime#?#BaseDateTime#?,int,int,int,int,int,int,int,Chronology#256	6.770774376125547	6.770774376125547	13.541548752251094	checkInstant(instant,iChronology)<=instant	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#set#?,long,int#297	6.767429894520196	6.771803447388732	13.539233341908927	iChronology.getDaysInYearMonth(thisYear,month)<=thisYear	_
org.joda.time.chrono.BasicChronology#int#getDayOfMonth#?,long,int#458	6.767429894520196	6.771803447388732	13.539233341908927	getMonthOfYear(millis,year)<year	_
org.joda.time.chrono.BasicChronology#int#getDayOfYear#?,long,int#485	6.740674041677386	6.757396449704142	13.49807049138153	getYearMillis(year)<instant	_
org.joda.time.tz.CachedDateTimeZone#Info#getInfo#?,long#142	6.908669925392333	6.680473372781065	13.349626961667095	period & cInfoCacheMask==period	_
org.joda.time.chrono.BasicChronology#int#getDayOfMonth#?,long,int,int#469	6.654232055569848	6.683817854386416	13.338049909956265	getTotalMillisByYearMonth(year,month)<millis	_
org.joda.time.chrono.BasicChronology#int#getDayOfMonth#?,long#449	6.666323642912272	6.669410856701827	13.335734499614098	getMonthOfYear(millis,year)<=year	_
org.joda.time.chrono.BasicChronology#int#getYear#?,long#407	6.626447131463854	6.68973501414973	13.316182145613585	instant - yearStart<instant	_
org.joda.time.chrono.BasicGJChronology#int#getMonthOfYear#?,long,int#88	6.649086699253924	6.652688448675071	13.301775147928995	(int)((millis - getYearMillis(year)) >> 10)>year	_
org.joda.time.MutableDateTime#void#setChronology#?,Chronology#564	6.99588371494726	0.0	6.99588371494726		_
org.joda.time.base.BaseDateTime#void#setChronology#?,Chronology#329	6.99588371494726	0.0	6.99588371494726		_
org.joda.time.MutableDateTime#?#MutableDateTime#?,int,int,int,int,int,int,int,DateTimeZone#351	6.995111911499872	0.0	6.995111911499872		_
org.joda.time.format.DateTimeParserBucket#int#compareReverse#?,DurationField,DurationField#518	6.991510162078724	0.0	6.991510162078724		_
org.joda.time.format.DateTimeParserBucket#void#sort#?,SavedField[],int#423	6.98970928736815	0.0	6.98970928736815		_
org.joda.time.MutableDateTime#String#toString#?#1224	6.9799331103678925	0.0	6.9799331103678925		_
org.joda.time.MutableDateTime#void#setMillis#?,long#456	6.974273218420375	0.0	6.974273218420375		_
org.joda.time.format.DateTimeParserBucket#DateTimeZone#getZone#?#152	6.960380756367378	0.0	6.960380756367378		_
org.joda.time.format.DateTimeFormat#DateTimeFormatter#createFormatterForPattern#?,String#688	6.959351685104194	0.0	6.959351685104194		_
org.joda.time.format.DateTimeFormat#DateTimeFormatter#forPattern#?,String#170	6.959094417288397	0.0	6.959094417288397		_
org.joda.time.chrono.ISOChronology#Chronology#withZone#?,DateTimeZone#147	6.950604579367122	0.0	6.950604579367122		_
org.joda.time.format.DateTimeFormatterBuilder$Fraction#void#printTo#?,StringBuffer,Writer,long,Chronology#1924	6.938770259840494	0.0	6.938770259840494		_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#int#getOffset#?,long#1540	6.937483920761513	0.0	6.937483920761513		_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#long#nextTransition#?,long#1576	6.93696938512992	0.0	6.93696938512992		_
org.joda.time.format.DateTimeParserBucket$SavedField#int#compareTo#?,SavedField#503	6.931309493182403	0.0	6.931309493182403		_
org.joda.time.format.DateTimeParserBucket$SavedField#long#set#?,long,boolean#482	6.928222279392848	0.0	6.928222279392848		_
org.joda.time.base.AbstractInstant#boolean#equals#?,Object#262	6.927193208129663	0.0	6.927193208129663		_
org.joda.time.base.BaseDateTime#?#BaseDateTime#?,int,int,int,int,int,int,int,DateTimeZone#223	6.923848726524311	0.0	6.923848726524311		_
org.joda.time.format.DateTimeFormatterBuilder$NumberFormatter#int#parseInto#?,DateTimeParserBucket,String,int#1352	6.9215333161821455	0.0	6.9215333161821455		_
org.joda.time.format.DateTimeParserBucket$SavedField#?#SavedField#?,DateTimeField,int#468	6.920761512734757	0.0	6.920761512734757		_
org.joda.time.format.DateTimeParserBucket#void#saveField#?,DateTimeFieldType,int#246	6.920761512734757	0.0	6.920761512734757		_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#dateTime#?#953	6.91921790583998	0.0	6.91921790583998		_
org.joda.time.format.DateTimeFormatter#?#DateTimeFormatter#?,DateTimePrinter,DateTimeParser,Locale,boolean,Chronology,DateTimeZone,Integer,int#129	6.917931566760998	0.0	6.917931566760998		_
org.joda.time.format.DateTimeFormatterBuilder$Fraction#void#printTo#?,StringBuffer,long,Chronology,int,DateTimeZone,Locale#1875	6.914587085155647	0.0	6.914587085155647		_
org.joda.time.format.DateTimeParserBucket#?#DateTimeParserBucket#?,long,Chronology,Locale,Integer,int#119	6.914072549524055	0.0	6.914072549524055		_
org.joda.time.format.DateTimeFormatter#DateTimeParser#requireParser#?#928	6.914072549524055	0.0	6.914072549524055		_
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset#void#printTo#?,StringBuffer,long,Chronology,int,DateTimeZone,Locale#2112	6.912271674813481	0.0	6.912271674813481		_
