line	original_score	max_predicate_score	total	predicate	label
org.joda.time.DateTimeZone#DateTimeZone#forOffsetHoursMinutes#?,int,int#265	Infinity	Infinity	Infinity	FieldUtils.safeAdd(hoursInMinutes,-minutesOffset)<hoursInMinutes	GT
org.joda.time.DateTimeZone#String#printOffset#?,int#647	0.08333333333333333	0.25	0.275	minutes * DateTimeConstants.MILLIS_PER_MINUTE!=minutes	_
org.joda.time.format.FormatUtils#int#parseTwoDigits#?,String,int#352	0.013513513513513514	0.2	0.21351351351351353	text.charAt(position) - '0'>position	_
org.joda.time.DateTimeZone#DateTimeZone#forID#?,String#221	0.125	0.0	0.125		_
org.joda.time.DateTimeZone#int#parseOffset#?,String#619	0.1	0.0	0.1		_
org.joda.time.DateTimeZone#DateTimeFormatter#offsetFormatter#?#676	0.1	0.0	0.1		_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#142	0.09090909090909091	0.0	0.09090909090909091		_
org.joda.time.DateTimeZone#DateTimeZone#fixedOffsetZone#?,String,int#366	0.058823529411764705	0.0	0.058823529411764705		_
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset#int#parseInto#?,DateTimeParserBucket,String,int#2308	0.05	0.0	0.05		_
org.joda.time.tz.FixedDateTimeZone#?#FixedDateTimeZone#?,String,String,int,int#40	0.022727272727272728	0.024390243902439025	0.04711751662971175	wallOffset==standardOffset	_
org.joda.time.field.FieldUtils#int#safeAdd#?,int,int#64	0.0013020833333333333	0.037037037037037035	0.038335738335738334	val1 + val2==val1	_
org.joda.time.DateTimeZone#DateTimeZone#forOffsetMillis#?,int#283	0.034482758620689655	0.0	0.034482758620689655		GT
org.joda.time.tz.FixedDateTimeZone#boolean#equals#?,Object#89	0.024390243902439025	0.0	0.024390243902439025		_
org.joda.time.field.FieldUtils#int#safeMultiply#?,int,int#123	0.01818181818181818	0.0	0.01818181818181818		_
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset#int#digitCount#?,String,int,int#2454	0.013513513513513514	0.0	0.013513513513513514		_
org.joda.time.DateTimeZone#?#DateTimeZone#?,String#694	0.00980392156862745	0.0	0.00980392156862745		_
org.joda.time.format.DateTimeParserBucket#long#computeMillis#?,boolean,String#381	0.009009009009009009	0.0	0.009009009009009009		_
org.joda.time.format.DateTimeParserBucket#void#setOffset#?,Integer#195	0.009009009009009009	0.0	0.009009009009009009		_
org.joda.time.format.DateTimeFormatter#long#parseMillis#?,String#747	0.007462686567164179	0.0	0.007462686567164179		_
org.joda.time.format.FormatUtils#void#appendPaddedInteger#?,StringBuffer,int,int#74	0.0024096385542168677	0.00425531914893617	0.006664957703153038	((value + 1) * 13421772) >> 27==size	_
org.joda.time.format.DateTimeFormatter#Chronology#selectChronology#?,Chronology#942	0.0055248618784530384	0.0	0.0055248618784530384		_
org.joda.time.format.DateTimeFormatter#DateTimeFormatter#withChronology#?,Chronology#260	0.005494505494505495	0.0	0.005494505494505495		_
org.joda.time.chrono.BaseChronology#?#BaseChronology#?#54	0.0035211267605633804	0.0	0.0035211267605633804		_
org.joda.time.format.DateTimeParserBucket#void#sort#?,SavedField[],int#416	0.0033222591362126247	0.0	0.0033222591362126247		_
org.joda.time.format.DateTimeFormatter#?#DateTimeFormatter#?,DateTimePrinter,DateTimeParser,Locale,boolean,Chronology,DateTimeZone,Integer,int#134	0.0030303030303030303	0.0	0.0030303030303030303		_
org.joda.time.format.DateTimeParserBucket#?#DateTimeParserBucket#?,long,Chronology,Locale,Integer,int#123	0.0029239766081871343	0.0	0.0029239766081871343		_
org.joda.time.format.DateTimeFormatter#DateTimeParser#requireParser#?#929	0.0029239766081871343	0.0	0.0029239766081871343		_
org.joda.time.DateTimeUtils#Chronology#getChronology#?,Chronology#285	3.9308176100628933E-4	0.0	3.9308176100628933E-4		_
org.joda.time.format.DateTimeFormatterBuilder#boolean#isParser#?,Object#1175	0.0	0.0	0.0		_
org.joda.time.DateTimeZone#String#getID#?#707	0.0	0.0	0.0		_
org.joda.time.tz.ZoneInfoProvider#InputStream#openResource#?,String#201	0.0	0.0	0.0		_
org.joda.time.format.DateTimeFormatterBuilder#boolean#isPrinter#?,Object#1165	0.0	0.0	0.0		_
org.joda.time.tz.DateTimeZoneBuilder#long#readMillis#?,DataInput#209	0.0	0.0	0.0		_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#OfYear#readFrom#?,DataInput#482	0.0	0.0	0.0		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatter#toFormatter#?#115	0.0	0.0	0.0		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#append0#?,Object#378	0.0	0.0	0.0		_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#readFrom#?,DataInput,String#1364	0.0	0.0	0.0		_
org.joda.time.format.DateTimeFormatterBuilder#Object#getFormatter#?#1161	0.0	0.0	0.0		_
org.joda.time.format.DateTimeFormatter#?#DateTimeFormatter#?,DateTimePrinter,DateTimeParser#109	0.0	0.0	0.0		_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#readFrom#?,DataInput,String#119	0.0	0.0	0.0		_
org.joda.time.DateTimeUtils#void#put#?,Map<String,DateTimeZone>,String,String#63	0.0	0.0	0.0		_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#?#PrecalculatedZone#?,String,long[],int[],int[],String[],DSTZone#1501	0.0	0.0	0.0		_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#?#OfYear#?,char,int,int,int,boolean,int#509	0.0	0.0	0.0		_
org.joda.time.tz.DateTimeZoneBuilder$DSTZone#?#DSTZone#?,String,int,Recurrence,Recurrence#1176	0.0	0.0	0.0		_
org.joda.time.tz.CachedDateTimeZone#?#CachedDateTimeZone#?,DateTimeZone#88	0.0	0.0	0.0		_
org.joda.time.tz.DateTimeZoneBuilder$DSTZone#DSTZone#readFrom#?,DataInput,String#1166	0.0	0.0	0.0		_
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset#?#TimeZoneOffset#?,String,String,boolean,int,int#2128	0.0	0.0	0.0		_
org.joda.time.tz.DateTimeZoneBuilder$Recurrence#Recurrence#readFrom#?,DataInput#740	0.0	0.0	0.0		_
org.joda.time.format.DateTimeFormatterBuilder#?#DateTimeFormatterBuilder#?#84	0.0	0.0	0.0		_
org.joda.time.tz.CachedDateTimeZone#CachedDateTimeZone#forZone#?,DateTimeZone#71	0.0	0.0	0.0		_
org.joda.time.tz.DateTimeZoneBuilder$Recurrence#?#Recurrence#?,OfYear,String,int#750	0.0	0.0	0.0		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendTimeZoneOffset#?,String,boolean,int,int#1091	0.0	0.0	0.0		_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#readFrom#?,InputStream,String#95	0.0	0.0	0.0		_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#loadZoneData#?,String#229	0.0	0.0	0.0		_
