line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.plot.CategoryPlot#void#datasetChanged#?,DatasetChangeEvent#2337	0.0	0.0	0.0	!(yAxis != null)	_
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#LegendItemCollection#getLegendItems#?#1792	0.0	0.0	0.0	!(this.plot == null)	GT
org.jfree.chart.plot.CategoryPlot#void#setDataset#?,int,CategoryDataset#1357	0.0	0.0	0.0	dataset != null	_
org.jfree.chart.util.DefaultShadowGenerator#?#DefaultShadowGenerator#?,int,Color,float,int,double#92	0.0	0.0	0.0	!(color == null)	_
org.jfree.chart.plot.CategoryPlot#CategoryDataset#getDataset#?,int#1321	0.0	0.0	0.0	this.datasets.size() > index	_
org.jfree.data.KeyedObjects#int#getIndex#?,Comparable#133	0.0	0.0	0.0	!(key == null)	_
org.jfree.chart.plot.CategoryPlot#void#checkAxisIndices#?,List#1449	0.0	0.0	0.0	!(indices == null)	_
org.jfree.chart.plot.CategoryPlot#void#mapDatasetToRangeAxes#?,int,List#1523	0.0	0.0	0.0	!(index < 0)	_
org.jfree.chart.renderer.RenderAttributes#void#setDefaultFillPaint#?,Paint#265	0.0	0.0	0.0	!(paint == null && !this.allowNull)	_
org.jfree.data.event.DatasetChangeEvent#?#DatasetChangeEvent#?,Object,Dataset,DatasetChangeInfo#88	0.0	0.0	0.0	!(info == null)	_
org.jfree.chart.renderer.AbstractRenderer#void#addChangeListener#?,RendererChangeListener#2892	0.0	0.0	0.0	!(listener == null)	_
org.jfree.chart.plot.CategoryPlot#void#mapDatasetToDomainAxes#?,int,List#1426	0.0	0.0	0.0	!(index < 0)	_
org.jfree.chart.labels.ItemLabelPosition#?#ItemLabelPosition#?,ItemLabelAnchor,TextAnchor,TextAnchor,double#118	0.0	0.0	0.0	!(rotationAnchor == null)	_
org.jfree.chart.plot.CategoryPlot#void#setRangeAxisLocation#?,int,AxisLocation,boolean#1232	0.0	0.0	0.0	!(notify)	_
org.jfree.chart.plot.Plot#void#notifyListeners#?,PlotChangeEvent#969	0.0	0.0	0.0	!(!this.notify)	_
org.jfree.chart.util.AbstractObjectList#int#indexOf#?,Object#161	0.0	0.0	0.0	index < this.size	_
org.jfree.chart.util.RectangleInsets#?#RectangleInsets#?,UnitType,double,double,double,double#117	0.0	0.0	0.0	!(unitType == null)	_
org.jfree.chart.util.ResourceBundleWrapper#ResourceBundle#getBundle#?,String#122	0.0	0.0	0.0	!(noCodeBaseClassLoader != null)	_
org.jfree.chart.plot.CategoryPlot#void#configureDomainAxes#?#1013	0.0	0.0	0.0	!(i < this.domainAxes.size())	_
org.jfree.data.KeyedObjects2D#void#setObject#?,Object,Comparable,Comparable#278	0.0	0.0	0.0	!(rowIndex >= 0)	_
org.jfree.chart.plot.CategoryPlot#void#configureRangeAxes#?#1293	0.0	0.0	0.0	!(axis != null)	_
org.jfree.data.general.AbstractDataset#void#notifyListeners#?,DatasetChangeEvent#191	0.0	0.0	0.0	listeners[i] == DatasetChangeListener.class	_
org.jfree.chart.plot.CategoryPlot#void#setDomainAxisLocation#?,int,AxisLocation,boolean#946	0.0	0.0	0.0	!(index == 0 && location == null)	_
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#void#setPlot#?,CategoryPlot#293	0.0	0.0	0.0	!(plot == null)	_
org.jfree.chart.util.AbstractObjectList#Object#get#?,int#110	0.0	0.0	0.0	index >= 0 && index < this.size	_
org.jfree.chart.util.AbstractObjectList#void#set#?,int,Object#126	0.0	0.0	0.0	!(index >= this.objects.length)	_
org.jfree.chart.plot.CategoryPlot#ValueAxis#getRangeAxis#?,int#1041	0.0	0.0	0.0	index < this.rangeAxes.size()	_
org.jfree.data.KeyedObjects#void#setObject#?,Comparable,Object#206	0.0	0.0	0.0	!(keyIndex >= 0)	_
org.jfree.chart.plot.CategoryPlot#?#CategoryPlot#?,CategoryDataset,CategoryAxis,ValueAxis,CategoryItemRenderer#618	0.0	0.0	0.0	!(domainAxis != null)	_
org.jfree.chart.plot.CategoryPlot#void#setRenderer#?,int,CategoryItemRenderer,boolean#1667	0.0	0.0	0.0	!(existing != null)	_
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator#?#StandardCategorySeriesLabelGenerator#?,String#84	0.0	0.0	0.0	!(format == null)	_
