line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.CheckGlobalNames#void#reportRefToUndefinedName#?,Name,Ref#218	0.9992764109985528	0.9992764109985528	1.9985528219971056	name.parent != null && name.parent.globalSets + name.parent.localSets == 0	_
com.google.javascript.jscomp.CheckGlobalNames#void#validateName#?,Name,boolean#158	0.9983116256632899	0.9983116256632899	1.9965026531596721	!isGlobalExpr	_
com.google.javascript.jscomp.CheckGlobalNames#boolean#isTypedef#?,Ref#199	0.9981910274963821	0.9983116256632899	1.9962614568258563	!(parent.isExprResult())	_
com.google.javascript.jscomp.CheckGlobalNames#void#checkDescendantNames#?,Name,boolean#133	0.9921611191509889	0.9992764109985528	1.9914375301495417	!(nameIsDefined)	_
com.google.javascript.jscomp.CheckGlobalNames#void#process#?,Node,Node#80	0.994693680656054	0.994693680656054	1.9808248914616498	namespace == null	_
com.google.javascript.jscomp.AstValidator#void#validateTry#?,Node#528	0.9905933429811867	0.9915581283164496	1.9801013024602026	!(n.getChildCount() == 3)	_
com.google.javascript.jscomp.GlobalNamespace$BuildGlobalNamespace#void#handleGet#?,JSModule,Scope,Node,Node,String#655	0.9872165943077665	0.9872165943077665	1.97346840328027	!(isClassDefiningCall(parent))	_
com.google.javascript.jscomp.CheckGlobalNames#void#findPrototypeProps#?,String,Set<String>#111	0.986734201640135	0.986734201640135	1.97346840328027	fullName.isGetProp()	_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processCatchClause#?,CatchClause#657	0.9864930053063193	0.9866136034732272	1.9731066087795466	!(clauseNode.getCatchCondition() != null)	_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processTryStatement#?,TryStatement#1155	0.9864930053063193	0.9884225759768451	1.9729860106126387	lineSet == false	_
com.google.javascript.jscomp.GlobalNamespace$BuildGlobalNamespace#boolean#maybeHandlePrototypePrefix#?,JSModule,Scope,Node,Node,String#816	0.9778099372889532	0.9778099372889532	1.9556198745779063	!(parent != null && NodeUtil.isObjectLitKey(n))	_
com.google.javascript.jscomp.GlobalNamespace$BuildGlobalNamespace#void#collect#?,JSModule,Scope,Node#400	0.9659913169319826	0.9636999517607332	1.9032802701398939	!(NodeUtil.isAssignmentOp(parent) && parent.getFirstChild() == n)	GT
com.google.javascript.jscomp.GlobalNamespace#boolean#isGlobalVarReference#?,String,Scope#263	0.992040520984081	0.992040520984081	1.9024360829715388	v == null && externsScope != null	_
com.google.javascript.jscomp.GlobalNamespace$Name#Name#addProperty#?,String,boolean#917	0.9479015918958031	0.9479015918958031	1.8958031837916063	props == null	_
com.google.javascript.jscomp.GlobalNamespace$BuildGlobalNamespace#void#handleSetFromGlobal#?,JSModule,Scope,Node,Node,String,boolean,Name.Type#550	0.978051133622769	0.978051133622769	1.8930294259527254	maybeHandlePrototypePrefix(module,scope,n,parent,name)	_
com.google.javascript.jscomp.GlobalNamespace$BuildGlobalNamespace#boolean#shouldTraverse#?,NodeTraversal,Node,Node#297	0.9820308731307285	0.9820308731307285	1.8898938736131212	externsRoot != null && n == externsRoot	_
com.google.javascript.jscomp.GlobalNamespace#void#process#?#219	0.9820308731307285	0.9820308731307285	1.8898938736131212	externsRoot != null	_
com.google.javascript.jscomp.AstValidator#void#validateMinimumChildCount#?,Node,int#795	0.948142788229619	0.948142788229619	1.8845875542691752	i == 2	_
com.google.javascript.jscomp.ClosureCodingConvention#SubclassType#typeofClassDefiningName#?,Node#178	0.9299324650265316	0.9330680173661361	1.8630004823926676	!(methodName.equals("mixin"))	_
com.google.javascript.jscomp.GlobalNamespace$BuildGlobalNamespace#Name#getOrCreateName#?,String#855	0.9479015918958031	0.9479015918958031	1.8626386878919439	i >= 0	_
com.google.javascript.jscomp.GlobalNamespace#void#ensureGenerated#?#151	0.9078630004823927	0.947178002894356	1.8550410033767486	!(!generated)	_
com.google.javascript.jscomp.GlobalNamespace$Name#void#addRefInternal#?,Ref#1033	0.9144958996623251	0.9390979257115292	1.8535938253738542	!(refs == null)	_
com.google.javascript.jscomp.GlobalNamespace$Name#JSDocInfo#getDocInfoForDeclaration#?,Ref#1164	0.9362035697057405	0.9149782923299565	1.8297153883260973	ref.node != null	_
