line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.TypeCheck#void#visitFunction#?,NodeTraversal,Node#1618	0.0	0.6043509917965694	0.6043509917965694	badImplementedType	_
com.google.javascript.rhino.jstype.FunctionType#void#addRelatedInterfaces#?,ObjectType,Set<ObjectType>#496	0.0	0.6031841371033876	0.6031841371033876	!constructor.isInterface()	_
com.google.javascript.rhino.jstype.FunctionType#JSType#resolveInternal#?,ErrorReporter,StaticScope<JSType>#1195	0.0	0.41579268192439556	0.41579268192439556	changed	_
com.google.javascript.rhino.jstype.NamedType#void#setReferencedAndResolvedType#?,JSType,ErrorReporter,StaticScope<JSType>#304	0.0	0.18001894859580975	0.18001894859580975	validator != null	_
com.google.javascript.rhino.jstype.CanCastToVisitor#Boolean#castCastToHelper#?,JSType,JSType#103	0.0	0.17281951105912394	0.17281951105912394	isInterface(thisType) || isInterface(thatType)	_
com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator#int#compare#?,ErrorWithLevel,ErrorWithLevel#160	0.0	0.06315173552337366	0.06315173552337366	lineno1 != lineno2	_
com.google.javascript.jscomp.FunctionTypeBuilder#FunctionType#buildAndRegister#?#633	0.0	0.05588558613750627	0.05588558613750627	implementedInterfaces != null	_
com.google.javascript.jscomp.FunctionTypeBuilder#FunctionTypeBuilder#inferInheritance#?,JSDocInfo#337	0.0	0.0535824593218815	0.0535824593218815	info.getImplementedInterfaceCount() > 0	_
com.google.javascript.rhino.JSDocInfo#int#getImplementedInterfaceCount#?#1294	0.0	0.0535824593218815	0.0535824593218815	!(info == null || info.implementedInterfaces == null)	_
com.google.javascript.rhino.jstype.ObjectType#boolean#detectImplicitPrototypeCycle#?#195	0.0	0.05199947646589458	0.05199947646589458	p != null	_
com.google.javascript.jscomp.TypedScopeCreator$FirstOrderFunctionAnalyzer#void#visit#?,NodeTraversal,Node,Node#2062	0.0	0.05170208224721274	0.05170208224721274	n.isGetProp() && n.isUnscopedQualifiedName() && NodeUtil.isLValue(n)	_
com.google.javascript.jscomp.ProcessClosurePrimitives#void#visit#?,NodeTraversal,Node,Node#178	0.0	0.041127835488658046	0.041127835488658046	!(left.isGetProp())	_
com.google.javascript.jscomp.TypeCheck#void#process#?,Node,Node#365	0.0	0.03864251871590259	0.03864251871590259	!(externsRoot != null)	_
com.google.javascript.rhino.jstype.PrototypeObjectType#boolean#isSubtype#?,JSType#347	0.0	0.03565523450421451	0.03565523450421451	thatCtor != null && thatCtor.isInterface()	_
com.google.javascript.jscomp.NodeUtil#JSDocInfo#getFunctionJSDocInfo#?,Node#2838	0.0	0.03163802666850522	0.03163802666850522	!(parent.isAssign())	_
com.google.javascript.jscomp.TypeCheck#void#visitCall#?,NodeTraversal,Node#1672	0.0	0.030927445272032963	0.030927445272032963	!(childType.isFunctionType())	_
com.google.javascript.jscomp.TypeCheck#void#visit#?,NodeTraversal,Node,Node#487	0.0	0.027039481674761758	0.027039481674761758	castType.isSubtype(exprType)	_
com.google.javascript.rhino.jstype.JSTypeRegistry#JSType#getType#?,StaticScope<JSType>,String,String,int,int#917	0.0	0.026666029053149142	0.026666029053149142	type == null	_
com.google.javascript.jscomp.TypeCheck#void#visitAssign#?,NodeTraversal,Node#940	0.0	0.026320666050174957	0.026320666050174957	!(!expectedType.isUnknownType())	_
com.google.javascript.rhino.jstype.UnionTypeBuilder#UnionTypeBuilder#addAlternate#?,JSType#172	0.0	0.024181884896598876	0.024181884896598876	alternate.isUnknownType() || current.isUnknownType() || alternate.isNoResolvedType()|| current.isNoResolvedType()|| alternate.hasAnyTemplateTypes()|| current.hasAnyTemplateTypes()	_
com.google.javascript.rhino.jstype.JSType#boolean#checkEquivalenceHelper#?,JSType,EquivalenceMethod#731	0.0	0.02128994733061425	0.02128994733061425	that instanceof ProxyObjectType	_
com.google.javascript.jscomp.parsing.IRFactory#Node#maybeInjectCastNode#?,AstNode,JSDocInfo,Node#365	0.0	0.020917697533390373	0.020917697533390373	node.getType() == com.google.javascript.rhino.head.Token.LP && node instanceof ParenthesizedExpression && info.hasType() && !irNode.isObjectLit()	_
com.google.javascript.jscomp.TypeInference#FlowScope#traverseCall#?,Node,FlowScope#871	0.0	0.020354452385551478	0.020354452385551478	!(functionType.isFunctionType())	_
com.google.javascript.rhino.jstype.PropertyMap#PropertyMap#getPrimaryParent#?#99	0.0	0.018426643773724743	0.018426643773724743	parentSource == null	_
com.google.javascript.rhino.jstype.PropertyMap#Iterable<PropertyMap>#getSecondaryParents#?#111	0.0	0.01840754057812386	0.01840754057812386	parentSource == null	_
com.google.javascript.jscomp.LinkedFlowScope#void#inferQualifiedSlot#?,Node,String,JSType,JSType#115	0.0	0.01687011133684415	0.01687011133684415	functionScope.isLocal()	_
com.google.javascript.rhino.jstype.NamedType#boolean#resolveViaRegistry#?,ErrorReporter,StaticScope<JSType>#221	0.0	0.016799341542345893	0.016799341542345893	type != null	_
com.google.javascript.rhino.jstype.NamedType#JSType#resolveInternal#?,ErrorReporter,StaticScope<JSType>#194	0.0	0.016799341542345893	0.016799341542345893	resolved	GT
com.google.javascript.jscomp.TypeInference#FlowScope#traverseName#?,Node,FlowScope#681	0.0	0.016216450591857084	0.016216450591857084	!(var != null)	_
com.google.javascript.jscomp.TypeInference#FlowScope#dereferencePointer#?,Node,FlowScope#1295	0.0	0.015390680268067851	0.015390680268067851	!(n.isQualifiedName())	_
com.google.javascript.rhino.jstype.UnionTypeBuilder#JSType#reduceAlternatesWithoutUnion#?#291	0.0	0.015117723924634136	0.015117723924634136	isNativeUnknownType	_
com.google.javascript.rhino.jstype.NamedType#void#finishPropertyContinuations#?#135	0.0	0.014628160700339982	0.014628160700339982	referencedObjType != null && !referencedObjType.isUnknownType()	_
com.google.javascript.rhino.Node#String#getQualifiedName#?#1554	0.0	0.014306260094294131	0.014306260094294131	left == null	_
com.google.javascript.rhino.jstype.ObjectType#boolean#defineInferredProperty#?,String,JSType,Node#331	0.0	0.01380237740906087	0.01380237740906087	hasProperty(propertyName)	_
com.google.javascript.jscomp.TypeCheck#boolean#visitName#?,NodeTraversal,Node,Node#1348	0.0	0.013795734130137639	0.013795734130137639	!(var != null)	_
com.google.javascript.rhino.jstype.JSType#JSType#getGreatestSubtype#?,JSType,JSType#1065	0.0	0.013337486030449042	0.013337486030449042	thisType.isUnknownType() || thatType.isUnknownType()	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseAndRecordTypeNode#?,JsDocToken,int,int,boolean,boolean#1190	0.0	0.01251188341104467	0.01251188341104467	onlyParseSimpleNames	_
