line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.rhino.Token#String#name#?,int#207	0.7071067811865475	0.0	0.7071067811865475		_
com.google.javascript.jscomp.InlineObjectLiterals$InliningBehavior#void#fillInitialValues#?,Reference,Map<String,Node>#317	0.2773500981126146	0.2773500981126146	0.5547001962252291	key != null	_
com.google.javascript.jscomp.InlineObjectLiterals$InliningBehavior#void#splitObject#?,Var,Reference,Reference,ReferenceCollection#422	0.2773500981126146	0.2773500981126146	0.5198857231489475	!(val == null)	_
com.google.javascript.jscomp.InlineObjectLiterals$InliningBehavior#Map<String,String>#computeVarList#?,Var,ReferenceCollection#277	0.2581988897471611	0.2581988897471611	0.5163977794943222	child != null	_
com.google.javascript.jscomp.InlineObjectLiterals$InliningBehavior#boolean#isInlinableObject#?,List<Reference>#186	0.23570226039551587	0.24253562503633297	0.4661424227863119	!(!validProperties.contains(propName))	GT
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#943	0.22941573387056174	0.22941573387056174	0.45302253162054074	!(first == null || first.getType() != Token.NAME)	_
com.google.javascript.rhino.Node#NodeMismatch#checkTreeEqualsImpl#?,Node#1439	0.35355339059327373	0.35355339059327373	0.37006034561328566	res != null	_
com.google.javascript.rhino.Node#String#checkTreeEquals#?,Node#1410	0.35355339059327373	0.35355339059327373	0.37005135734416295	diff != null	_
com.google.javascript.jscomp.InlineObjectLiterals$InliningBehavior#void#afterExitScope#?,NodeTraversal,ReferenceMap#94	0.23570226039551587	0.23570226039551587	0.36815549610202025	isInlinableObject(referenceInfo.references)	_
com.google.javascript.rhino.Node#int[]#getSortedPropTypes#?#861	0.14744195615489714	0.14744195615489714	0.29488391230979427	x != null	_
com.google.javascript.rhino.Node$NodeMismatch#?#NodeMismatch#?,Node,Node#2127	0.2886751345948129	0.0	0.2886751345948129		_
com.google.javascript.rhino.Node#void#toStringTreeHelper#?,Node,int,Appendable#1017	0.1386750490563073	0.1386750490563073	0.2773500981126146	cursor != null	_
com.google.javascript.jscomp.InlineObjectLiterals$InliningBehavior#void#blacklistVarReferencesInTree#?,Node,Scope#116	0.25	0.0	0.25		_
com.google.javascript.jscomp.NodeUtil#void#visitPreOrder#?,Node,Visitor,Predicate<Node>#2724	0.12309149097933272	0.12309149097933272	0.24618298195866545	traverseChildrenPred.apply(node)	_
com.google.javascript.rhino.Node#String#propToString#?,int#133	0.2182178902359924	0.0	0.2182178902359924		_
com.google.javascript.rhino.InputId#String#toString#?#74	0.2182178902359924	0.0	0.2182178902359924		_
com.google.javascript.jscomp.CodeGenerator#void#add#?,Node,Context#647	0.19245008972987526	0.05913123959890826	0.19245008972987526		_
com.google.javascript.rhino.Node$IntPropListItem#String#toString#?#343	0.1690308509457033	0.0	0.1690308509457033		_
com.google.javascript.jscomp.parsing.IRFactory#int#transformTokenType#?,int#1276	0.15811388300841897	0.0	0.15811388300841897		_
com.google.javascript.jscomp.NodeUtil#Node#newVarNode#?,String,Node#2552	0.08006407690254357	0.08006407690254357	0.1541890085686537	value != null	_
com.google.javascript.jscomp.SourceFile#String#toString#?#303	0.14744195615489714	0.0	0.14744195615489714		_
com.google.javascript.rhino.Node$ObjectPropListItem#String#toString#?#311	0.14744195615489714	0.0	0.14744195615489714		_
com.google.javascript.jscomp.ReferenceCollectingCallback$ReferenceCollection#boolean#isWellDefined#?#326	0.07179581586177382	0.07352146220938077	0.14531727807115458	!(!initBlock.provablyExecutesBefore(references.get(i).getBasicBlock()))	_
com.google.javascript.jscomp.ReferenceCollectingCallback$BasicBlock#boolean#provablyExecutesBefore#?,BasicBlock#715	0.07198157507486945	0.07198157507486945	0.1426922531935242	currentBlock == this	_
com.google.javascript.jscomp.NodeUtil#Node#getAssignedValue#?,Node#1556	0.07312724241271307	0.07312724241271307	0.1421337983469485	parent.isVar()	_
com.google.javascript.jscomp.ReferenceCollectingCallback$ReferenceCollection#Reference#getInitializingReference#?#396	0.07124704998790965	0.07124704998790965	0.14041849637451712	isInitializingDeclarationAt(0)	_
com.google.javascript.jscomp.ReferenceCollectingCallback$Reference#boolean#isLhsOfForInExpression#?,Node#608	0.06967330142916177	0.06967330142916177	0.13934660285832354	!(parent.isVar())	_
com.google.javascript.jscomp.ReferenceCollectingCallback$ReferenceCollection#boolean#isInitializingDeclarationAt#?,int#359	0.06950480468569159	0.06950480468569159	0.13707854252564017	maybeInit.isInitializingDeclaration()	_
com.google.javascript.rhino.Node#void#appendStringTree#?,Appendable#1006	0.13608276348795434	0.0	0.13608276348795434		_
com.google.javascript.rhino.Node#String#toStringTree#?#992	0.13608276348795434	0.0	0.13608276348795434		_
com.google.javascript.rhino.Node#String#toStringTreeImpl#?#999	0.13608276348795434	0.0	0.13608276348795434		_
com.google.javascript.jscomp.InlineObjectLiterals$InliningBehavior#boolean#isVarOrAssignExprLhs#?,Node#257	0.13245323570650439	0.0	0.13245323570650439		_
com.google.javascript.rhino.Node#String#toString#?#917	0.12803687993289598	0.0	0.12803687993289598		_
com.google.javascript.rhino.Node#String#toString#?,boolean,boolean,boolean#925	0.11396057645963795	0.0	0.11396057645963795		_
com.google.javascript.jscomp.GlobalVarReferenceMap#void#resetGlobalVarReferences#?,Map<Var,ReferenceCollection>#83	0.05157106231293967	0.06008417681261097	0.11138309441686867	!(var.isGlobal())	_
com.google.javascript.rhino.TokenStream#boolean#isJSIdentifier#?,String#197	0.05547001962252291	0.05555555555555555	0.11102557517807846	!(!Character.isJavaIdentifierPart(s.charAt(i)))	_
com.google.javascript.jscomp.ReferenceCollectingCallback#void#exitScope#?,NodeTraversal#182	0.05652334189442215	0.05652334189442215	0.10671190321727171	!(t.getScope().isGlobal())	_
