line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.PeepholeFoldConstants#Node#performArithmeticOp#?,int,Node,Node#717	1.0	1.0	1.3333333333333335	rval == 0	GT
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldLeftChildOp#?,Node,Node,Node#777	0.4545454545454546	1.0	1.25	!(replacement == null)	_
com.google.javascript.jscomp.PeepholeFoldConstants#void#tryConvertToNumber#?,Node#233	1.0	0.4285714285714286	1.0		_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldAssign#?,Node,Node,Node#481	1.0	0.5	1.0		_
com.google.javascript.jscomp.NodeUtil#String#opToStr#?,int#2130	1.0	0.0	1.0		_
com.google.javascript.jscomp.NodeUtil#Double#getStringNumberValue#?,String#304	0.5	0.5	1.0	!(s.length() == 0)	_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldUnaryOperator#?,Node#355	0.5	0.5	1.0	NodeUtil.isNumericResult(left)	_
com.google.javascript.jscomp.NodeUtil#Double#getNumberValue#?,Node#270	0.5	0.5	0.9166666666666666	!(name.equals("Infinity"))	_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldBinaryOperator#?,Node#145	0.5	0.5	0.8125	!(result != subtree)	_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldArithmeticOp#?,Node,Node,Node#652	0.41666666666666663	0.41666666666666663	0.6439393939393939	!(result != null)	_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldAdd#?,Node,Node,Node#812	0.33333333333333337	0.33333333333333337	0.5555555555555556	!(result != node)	_
com.google.javascript.jscomp.NodeUtil#String#trimJsWhiteSpace#?,String#351	0.5	0.0	0.5		_
com.google.javascript.jscomp.NodeUtil#boolean#isStrWhiteSpaceChar#?,int#371	0.5	0.0	0.5		_
com.google.javascript.jscomp.NodeUtil#boolean#isCommutative#?,int#1349	0.5	0.0	0.5		_
com.google.javascript.jscomp.PeepholeFoldConstants#void#tryReduceOperandsForOp#?,Node#196	0.5	0.2222222222222222	0.5		_
com.google.javascript.jscomp.NodeUtil#boolean#isNumericResultHelper#?,Node#1217	0.2222222222222222	0.2222222222222222	0.42222222222222217	!(name.equals("Infinity"))	_
com.google.javascript.jscomp.NodeUtil#boolean#mayBeString#?,Node,boolean#1304	0.2222222222222222	0.2222222222222222	0.42222222222222217	!(recurse)	_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldAddConstantString#?,Node,Node,Node#629	0.19999999999999996	0.19999999999999996	0.3999999999999999	left.getType() == Token.STRING || right.getType() == Token.STRING	_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldChildAddString#?,Node,Node,Node#576	0.19999999999999996	0.19999999999999996	0.3999999999999999	!(NodeUtil.isLiteralValue(right,false) && left.getType() == Token.ADD)	_
com.google.javascript.jscomp.PeepholeFoldConstants#void#tryConvertOperandsToNumber#?,Node#218	0.1923076923076923	0.1923076923076923	0.3846153846153846	c != null	_
com.google.javascript.jscomp.NodeUtil#int#precedence#?,int#1096	0.33333333333333337	0.0	0.33333333333333337		_
com.google.javascript.jscomp.parsing.IRFactory#int#transformTokenType#?,int#1179	0.25	0.0	0.25		_
com.google.javascript.jscomp.NodeUtil#boolean#mayBeString#?,Node#1300	0.19999999999999996	0.0	0.19999999999999996		_
com.google.javascript.jscomp.AbstractPeepholeOptimization#void#error#?,DiagnosticType,Node#53	0.19999999999999996	0.0	0.19999999999999996		_
com.google.javascript.jscomp.NodeUtil$MayBeStringResultPredicate#boolean#apply#?,Node#1289	0.19999999999999996	0.0	0.19999999999999996		_
com.google.javascript.jscomp.NodeUtil#boolean#mayBeStringHelper#?,Node#1312	0.19999999999999996	0.0	0.19999999999999996		_
com.google.javascript.jscomp.NodeUtil#boolean#isNumericResult#?,Node#1187	0.19047619047619047	0.0	0.19047619047619047		_
com.google.javascript.jscomp.NodeUtil$NumbericResultPredicate#boolean#apply#?,Node#1176	0.19047619047619047	0.0	0.19047619047619047		_
com.google.javascript.jscomp.NodeUtil#boolean#valueCheck#?,Node,Predicate<Node>#1170	0.18181818181818177	0.0	0.18181818181818177		_
com.google.javascript.jscomp.NodeUtil#boolean#isBooleanResultHelper#?,Node#1265	0.16666666666666663	0.0	0.16666666666666663		_
com.google.javascript.jscomp.NodeUtil#boolean#isBooleanResult#?,Node#1239	0.1578947368421053	0.0	0.1578947368421053		_
com.google.javascript.jscomp.NodeUtil$BooleanResultPredicate#boolean#apply#?,Node#1228	0.1578947368421053	0.0	0.1578947368421053		_
com.google.javascript.jscomp.NodeUtil#boolean#isNull#?,Node#1280	0.15000000000000002	0.0	0.15000000000000002		_
com.google.javascript.jscomp.NodeUtil#boolean#isUndefined#?,Node#1276	0.15000000000000002	0.0	0.15000000000000002		_
com.google.javascript.jscomp.CodeConsumer#void#addNumber#?,double#241	0.1428571428571429	0.1428571428571429	0.14633903700756068	!((long)x == x)	_
com.google.javascript.jscomp.Compiler#boolean#areNodesEqualForInlining#?,Node,Node#929	0.06818181818181823	0.06818181818181823	0.13636363636363646	!(options.ambiguateProperties || options.disambiguateProperties)	_
com.google.javascript.jscomp.NodeUtil#boolean#isAssociative#?,int#1330	0.11904761904761907	0.0	0.11904761904761907		_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldAndOr#?,Node,Node,Node#553	0.05555555555555558	0.05555555555555558	0.101010101010101	!(result != null)	_
com.google.javascript.jscomp.AbstractPeepholeOptimization#boolean#areNodesEqualForInlining#?,Node,Node#74	0.08108108108108103	0.0	0.08108108108108103		_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#959	0.045454545454545414	0.045454545454545414	0.056207233626588415	type == Token.NUMBER	_
com.google.javascript.jscomp.PeepholeOptimizationsPass#void#visit#?,NodeTraversal,Node,Node#82	0.026490066225165587	0.03305785123966942	0.05023998182386191	somethingChanged	_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#optimizeSubtree#?,Node#84	0.038461538461538436	0.0	0.038461538461538436		_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldKnownStringMethods#?,Node#1231	0.016949152542372836	0.016949152542372836	0.03103365958462634	!NodeUtil.isGet(callTarget)	_
com.google.javascript.jscomp.NodeUtil#TernaryValue#getBooleanValue#?,Node#133	0.015625	0.015625	0.030776515151515138	!("Infinity".equals(name))	_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldArrayJoin#?,Node#1335	0.016393442622950838	0.016393442622950838	0.030282331511839677	callTarget == null || !NodeUtil.isGetProp(callTarget)	_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldKnownMethods#?,Node#1210	0.014084507042253502	0.014084507042253502	0.027973395931142342	subtree.getType() == Token.CALL	_
com.google.javascript.rhino.Token#String#name#?,int#315	0.02777777777777779	0.0010615711252653925	0.02777777777777779		_
com.google.javascript.rhino.Node#int[]#getSortedPropTypes#?#844	0.012820512820512775	0.012820512820512775	0.02564102564102555	x != null	_
com.google.javascript.jscomp.JSError#String#toString#?#189	0.023255813953488413	0.0	0.023255813953488413		_
com.google.javascript.jscomp.NodeUtil#boolean#checkForStateChangeHelper#?,Node,boolean,AbstractCompiler#749	0.0117647058823529	0.0117647058823529	0.021831819976312672	!(n.getFirstChild() != null)	_
com.google.javascript.jscomp.AbstractPeepholeOptimization#void#reportCodeChange#?#62	0.020618556701030966	0.0	0.020618556701030966		_
com.google.javascript.rhino.Node#String#toString#?,boolean,boolean,boolean#915	0.009345794392523366	0.009345794392523366	0.01869158878504673	Token.printTrees	_
com.google.javascript.jscomp.CodeGenerator#void#add#?,Node,Context#217	0.017857142857142905	0.0031055900621117516	0.017857142857142905		_
com.google.javascript.jscomp.AbstractPeepholeOptimization#void#endTraversal#?,NodeTraversal#100	0.017241379310344862	0.0	0.017241379310344862		_
com.google.javascript.jscomp.PeepholeOptimizationsPass#void#beginTraversal#?,NodeTraversal#91	0.017241379310344862	0.0	0.017241379310344862		_
com.google.javascript.jscomp.AbstractPeepholeOptimization#void#beginTraversal#?,NodeTraversal#93	0.017241379310344862	0.0	0.017241379310344862		_
com.google.javascript.jscomp.PeepholeOptimizationsPass#void#endTraversal#?,NodeTraversal#97	0.017241379310344862	0.0	0.017241379310344862		_
com.google.javascript.jscomp.PeepholeOptimizationsPass#void#process#?,Node,Node#58	0.01718213058419249	0.0	0.01718213058419249		_
