line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.PeepholeFoldConstants#Node#performArithmeticOp#?,int,Node,Node#683	0.0	0.8018290102108704	0.8018290102108704	rValObj == null	GT
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldArithmeticOp#?,Node,Node,Node#652	0.0	0.3184713375796179	0.3184713375796179	!(result != null)	_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldBinaryOperator#?,Node#145	0.0	0.31578947368421056	0.31578947368421056	!(result != subtree)	_
com.google.javascript.jscomp.PeepholeFoldConstants#void#tryConvertToNumber#?,Node#246	0.0	0.2362677207560098	0.2362677207560098	result == null	_
com.google.javascript.jscomp.NodeUtil#Double#getNumberValue#?,Node#270	0.0	0.1538461538461538	0.1538461538461538	!(name.equals("Infinity"))	_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldAssign#?,Node,Node,Node#454	0.0	0.14777663726654164	0.14777663726654164	!(!right.hasChildren() || right.getFirstChild().getNext() != right.getLastChild())	_
com.google.javascript.jscomp.NodeUtil#boolean#isNumericResultHelper#?,Node#1217	0.0	0.0422637048091047	0.0422637048091047	!(name.equals("Infinity"))	_
com.google.javascript.jscomp.NodeUtil#boolean#mayBeString#?,Node,boolean#1304	0.0	0.0422637048091047	0.0422637048091047	!(recurse)	_
com.google.javascript.jscomp.PeepholeOptimizationsPass#void#visit#?,NodeTraversal,Node,Node#82	0.0	0.031176817003687716	0.031176817003687716	somethingChanged	_
com.google.javascript.jscomp.CodeGenerator#void#addExpr#?,Node,int,Context#839	0.0	0.017572561677100345	0.017572561677100345	(NodeUtil.precedence(n.getType()) < minPrecedence) || ((context == Context.IN_FOR_INIT_CLAUSE) && (n.getType() == Token.IN))	_
com.google.javascript.rhino.Node#void#replaceChild#?,Node,Node#705	0.0	0.006615866905254904	0.006615866905254904	!(child == first)	_
com.google.javascript.jscomp.NodeUtil#boolean#checkForStateChangeHelper#?,Node,boolean,AbstractCompiler#749	0.0	0.003386760949474332	0.003386760949474332	!(n.getFirstChild() != null)	_
com.google.javascript.jscomp.CodeGenerator#void#add#?,Node,Context#94	0.0	0.0029974384440388585	0.0029974384440388585	opstr != null && first != last	_
com.google.javascript.rhino.Node#boolean#isEquivalentTo#?,Node,boolean,boolean#1584	0.0	0.0026803073157565904	0.0026803073157565904	type != node.getType() || getChildCount() != node.getChildCount() || getNodeClass(this) != getNodeClass(node)	_
