line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.lang3.math.NumberUtils#Number#createNumber#?,String#510	Infinity	Infinity	Infinity	!(dec == null && exp == null && (numeric.charAt(0) == '-' && isDigits(numeric.substring(1)) || isDigits(numeric)))	_
org.apache.commons.lang3.math.NumberUtils#boolean#isAllZeros#?,String#621	Infinity	Infinity	Infinity		_
org.apache.commons.lang3.math.NumberUtils#boolean#isNumber#?,String#1354	Infinity	Infinity	Infinity	chars[i] >= '0' && chars[i] <= '9'	GT
org.apache.commons.lang3.math.NumberUtils#BigInteger#createBigInteger#?,String#701	0.5	0.5	1.0	!(str == null)	_
org.apache.commons.lang3.math.NumberUtils#Integer#createInteger#?,String#668	0.5	0.5	1.0	!(str == null)	_
org.apache.commons.lang3.math.NumberUtils#BigDecimal#createBigDecimal#?,String#717	0.5	0.5	1.0	!(str == null)	_
org.apache.commons.lang3.math.NumberUtils#Double#createDouble#?,String#651	0.5	0.5	1.0	!(str == null)	_
org.apache.commons.lang3.math.NumberUtils#Float#createFloat#?,String#635	0.5	0.5	1.0	!(str == null)	_
org.apache.commons.lang3.math.NumberUtils#Long#createLong#?,String#685	0.3333333333333333	0.3333333333333333	0.6666666666666666	!(str == null)	_
org.apache.commons.lang3.math.NumberUtils#boolean#isDigits#?,String#1299	0.3333333333333333	0.3333333333333333	0.6666666666666666	!(!Character.isDigit(str.charAt(i)))	_
org.apache.commons.lang3.StringUtils#boolean#isBlank#?,CharSequence#239	0.1111111111111111	0.1111111111111111	0.15458937198067632	cs == null || (strLen=cs.length()) == 0	_
org.apache.commons.lang3.StringUtils#boolean#isEmpty#?,CharSequence#199	0.01	0.0	0.01		_
