line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.lang3.StringUtils#boolean#containsNone#?,CharSequence,String#1715	0.6666666666666667	0.6666666666666667	1.3333333333333335	!(cs == null || invalidChars == null)	_
org.apache.commons.lang3.StringUtils#boolean#containsNone#?,CharSequence,char[]#1681	0.5	0.5	1.0	j < searchLen	GT
org.apache.commons.lang3.StringUtils#int#indexOfAny#?,CharSequence,char[]#1372	0.5	0.5	1.0	!(isEmpty(cs) || ArrayUtils.isEmpty(searchChars))	GT
org.apache.commons.lang3.StringUtils#int#indexOfAnyBut#?,String,String#1570	0.5	0.5	1.0	!(isEmpty(str) || isEmpty(searchChars))	GT
org.apache.commons.lang3.StringUtils#int#indexOfAny#?,CharSequence,String#1412	0.5	0.5	1.0	!(isEmpty(cs) || isEmpty(searchChars))	_
org.apache.commons.lang3.StringUtils#boolean#containsAny#?,CharSequence,String#1498	0.33333333333333337	0.33333333333333337	0.6666666666666667	!(searchChars == null)	GT
org.apache.commons.lang3.StringUtils#boolean#containsAny#?,CharSequence,char[]#1455	0.2857142857142857	0.2857142857142857	0.5357142857142857	!(i < csLast && j < searchLast && ch >= Character.MIN_HIGH_SURROGATE && ch <= Character.MAX_HIGH_SURROGATE)	GT
org.apache.commons.lang3.ArrayUtils#boolean#isEmpty#?,char[]#3279	0.25	0.25	0.5	!(array == null || array.length == 0)	_
org.apache.commons.lang3.StringUtils#int#indexOfAnyBut#?,CharSequence,char[]#1529	0.1428571428571429	0.1428571428571429	0.2857142857142858	!(isEmpty(cs) || ArrayUtils.isEmpty(searchChars))	GT
org.apache.commons.lang3.StringUtils#boolean#isEmpty#?,CharSequence#194	0.06060606060606055	0.0	0.06060606060606055		_
