line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.lang.time.FastDateFormat$TextField#int#estimateLength#?#1157	1.997673065735893	1.997673065735893	3.995346131471786	len > max	_
org.apache.commons.lang.time.FastDateFormat#List#parsePattern#?#619	2.0	2.0	3.990692262943572	tokenLen >= 4	_
org.apache.commons.lang.time.FastDateFormat#?#FastDateFormat#?,String,TimeZone,Locale#551	1.9924374636416522	1.9959278650378127	3.985456660849331	!(locale == null)	_
org.apache.commons.lang.time.FastDateFormat$PaddedNumberField#?#PaddedNumberField#?,int,int#1273	1.9912739965095987	1.9912739965095987	3.9825479930191974	!(size < 3)	_
org.apache.commons.lang.time.FastDateFormat#String#parseToken#?,String,int[]#737	1.9901105293775452	1.9901105293775452	3.9802210587550904	i < length	_
org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getInstance#?,String,TimeZone,Locale#214	1.9901105293775452	1.9901105293775452	3.979639325189064	format == null	_
org.apache.commons.lang.time.FastDateFormat#void#init#?#565	1.9895287958115184	1.9895287958115184	3.979057591623037	!(--i >= 0)	_
org.apache.commons.lang.time.FastDateFormat$TimeZoneNameRule#?#TimeZoneNameRule#?,TimeZone,boolean,Locale,int#1544	1.0	1.0	2.0	!(timeZoneForced)	_
org.apache.commons.lang.time.FastDateFormat$Pair#boolean#equals#?,Object#1717	1.0	1.0	2.0	!(this == obj)	_
org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getDateTimeInstance#?,int,int,TimeZone,Locale#462	1.0	1.0	2.0	!(timeZone != null)	GT
org.apache.commons.lang.time.FastDateFormat$TimeZoneNameRule#int#estimateLength#?#1559	1.0	1.0	2.0	mStyle == TimeZone.SHORT	_
org.apache.commons.lang.time.FastDateFormat$Pair#?#Pair#?,Object,Object#1710	1.9994182664339732	0.0	1.9994182664339732		_
org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getDateInstance#?,int,TimeZone,Locale#291	1.0	1.0	1.9994182664339732	!(format == null)	GT
org.apache.commons.lang.time.FastDateFormat$Pair#int#hashCode#?#1738	1.9994182664339732	0.0	1.9994182664339732		_
org.apache.commons.lang.time.FastDateFormat$StringLiteral#int#estimateLength#?#1120	1.9982547993019197	0.0	1.9982547993019197		_
org.apache.commons.lang.time.FastDateFormat$UnpaddedNumberField#int#estimateLength#?#1193	1.9982547993019197	0.0	1.9982547993019197		_
org.apache.commons.lang.time.FastDateFormat$StringLiteral#?#StringLiteral#?,String#1113	1.9982547993019197	0.0	1.9982547993019197		_
org.apache.commons.lang.time.FastDateFormat#NumberRule#selectNumberRule#?,int,int#772	1.9982547993019197	0.0	1.9982547993019197		_
org.apache.commons.lang.time.FastDateFormat$UnpaddedNumberField#?#UnpaddedNumberField#?,int#1186	1.9982547993019197	0.0	1.9982547993019197		_
org.apache.commons.lang.time.FastDateFormat#Locale#getLocale#?#954	1.9982547993019197	0.0	1.9982547993019197		_
org.apache.commons.lang.time.FastDateFormat$TextField#?#TextField#?,int,String[]#1147	1.997673065735893	0.0	1.997673065735893		_
org.apache.commons.lang.time.FastDateFormat$PaddedNumberField#int#estimateLength#?#1285	1.9912739965095987	0.0	1.9912739965095987		_
org.apache.commons.lang.time.FastDateFormat$CharacterLiteral#int#estimateLength#?#1089	1.9901105293775452	0.0	1.9901105293775452		_
org.apache.commons.lang.time.FastDateFormat$CharacterLiteral#?#CharacterLiteral#?,char#1082	1.9901105293775452	0.0	1.9901105293775452		_
org.apache.commons.lang.time.FastDateFormat#int#hashCode#?#1005	1.9895287958115184	0.0	1.9895287958115184		_
org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getDateTimeInstance#?,int,int#408	1.0	0.0	1.0		_
org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getDateTimeInstance#?,int,int,Locale#425	1.0	0.0	1.0		_
org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getDateInstance#?,int#234	1.0	0.0	1.0		_
org.apache.commons.lang.time.FastDateFormat$TwelveHourField#int#estimateLength#?#1455	0.9994182664339732	0.0	0.9994182664339732		_
org.apache.commons.lang.time.FastDateFormat$TwelveHourField#?#TwelveHourField#?,NumberRule#1448	0.9994182664339732	0.0	0.9994182664339732		_
org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getDateInstance#?,int,Locale#249	0.9994182664339732	0.0	0.9994182664339732		_
org.apache.commons.lang.time.FastDateFormat$TwoDigitNumberField#?#TwoDigitNumberField#?,int#1333	0.9901105293775451	0.0	0.9901105293775451		_
org.apache.commons.lang.time.FastDateFormat$TwoDigitNumberField#int#estimateLength#?#1340	0.9901105293775451	0.0	0.9901105293775451		_
