line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.optimization.linear.SimplexTableau#RealMatrix#createTableau#?,boolean#214	0.0	0.09259259259259259	0.09259259259259259	!(!restrictToNonNegative)	_
org.apache.commons.math.optimization.linear.SimplexTableau#void#initializeColumnLabels#?#161	0.0	0.09259259259259259	0.09259259259259259	!(!restrictToNonNegative)	_
org.apache.commons.math.optimization.linear.SimplexTableau#void#dropPhase1Objective#?#328	0.0	0.022408963585434177	0.022408963585434177	!(getNumObjectiveFunctions() == 1)	_
org.apache.commons.math.util.Precision#boolean#equals#?,double,double,int#284	0.0	0.019806813822924294	0.019806813822924294	yInt < 0	_
org.apache.commons.math.optimization.linear.SimplexSolver#void#solvePhase1#?,SimplexTableau#178	0.0	0.019736842105263164	0.019736842105263164	!(!Precision.equals(tableau.getEntry(0,tableau.getRhsOffset()),0d,epsilon))	_
org.apache.commons.math.util.Precision#int#compareTo#?,double,double,int#91	0.0	0.013043478260869575	0.013043478260869575	equals(x,y,maxUlps)	_
org.apache.commons.math.optimization.linear.SimplexTableau#Integer#getBasicRow#?,int#316	0.0	0.010025062656641603	0.010025062656641603	!(!Precision.equals(entry,0d,maxUlps))	_
org.apache.commons.math.optimization.linear.SimplexTableau#boolean#isOptimal#?#384	0.0	0.0082815734989648	0.0082815734989648	Precision.compareTo(entry,0d,epsilon) < 0	_
org.apache.commons.math.util.Precision#int#compareTo#?,double,double,double#67	0.0	0.006956521739130431	0.006956521739130431	x < y	_
org.apache.commons.math.optimization.linear.SimplexTableau#LinearConstraint#normalize#?,LinearConstraint#260	0.0	0.005925925925925932	0.005925925925925932	!(constraint.getValue() < 0)	_
org.apache.commons.math.linear.ArrayRealVector#void#checkVectorDimensions#?,int#762	0.0	9.746588693957114E-4	9.746588693957114E-4	!(data.length != n)	_
org.apache.commons.math.linear.AbstractRealMatrix#?#AbstractRealMatrix#?,int,int#54	0.0	1.4413791115339483E-5	1.4413791115339483E-5	!(rowDimension < 1)	_
org.apache.commons.math.util.MathUtils#void#checkNotNull#?,Object#330	0.0	1.137501137501171E-5	1.137501137501171E-5	!(o == null)	_
org.apache.commons.math.linear.AbstractRealMatrix#void#setRowVector#?,int,RealVector#489	0.0	0.0	0.0	i < nCols	_
org.apache.commons.math.linear.ArrayRealVector#double#dotProduct#?,RealVector#447	0.0	0.0	0.0	v instanceof ArrayRealVector	_
org.apache.commons.math.linear.Array2DRowRealMatrix#void#setSubMatrix#?,double[][],int,int#261	0.0	0.0	0.0	data == null	_
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer#void#incrementIterationsCounter#?#98	0.0	0.0	0.0	!(++iterations > maxIterations)	_
org.apache.commons.math.linear.MatrixUtils#void#checkColumnIndex#?,AnyMatrix,int#394	0.0	0.0	0.0	!(column < 0 || column >= m.getColumnDimension())	_
org.apache.commons.math.optimization.linear.SimplexSolver#Integer#getPivotRow#?,SimplexTableau,int#111	0.0	0.0	0.0	!(minRatioPositions.size() > 1)	_
org.apache.commons.math.optimization.linear.SimplexTableau#int#getConstraintTypeCounts#?,Relationship#285	0.0	0.0	0.0	constraint.getRelationship() == relationship	_
org.apache.commons.math.linear.ArrayRealVector#RealVector#mapMultiplyToSelf#?,double#373	0.0	0.0	0.0	!(i < data.length)	_
org.apache.commons.math.optimization.linear.SimplexSolver#Integer#getPivotColumn#?,SimplexTableau#72	0.0	0.0	0.0	i < tableau.getWidth() - 1	_
org.apache.commons.math.linear.ArrayRealVector#?#ArrayRealVector#?,double[],boolean#102	0.0	0.0	0.0	!(d == null)	_
org.apache.commons.math.optimization.linear.SimplexSolver#void#doIteration#?,SimplexTableau#141	0.0	0.0	0.0	!(pivotRow == null)	_
org.apache.commons.math.linear.AbstractRealMatrix#double[]#getRow#?,int#517	0.0	0.0	0.0	!(i < nCols)	_
org.apache.commons.math.optimization.linear.SimplexTableau#RealPointValuePair#getSolution#?#405	0.0	0.0	0.0	!(colIndex < 0)	GT
org.apache.commons.math.linear.MatrixUtils#void#checkRowIndex#?,AnyMatrix,int#379	0.0	0.0	0.0	!(row < 0 || row >= m.getRowDimension())	_
org.apache.commons.math.optimization.linear.SimplexTableau#void#divideRow#?,int,double#437	0.0	0.0	0.0	!(j < getWidth())	_
org.apache.commons.math.linear.ArrayRealVector#ArrayRealVector#subtract#?,RealVector#315	0.0	0.0	0.0	v instanceof ArrayRealVector	_
