line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.linear.OpenMapRealMatrix#?#OpenMapRealMatrix#?,int,int#49	0.032258064516129004	0.0	0.032258064516129004		GT
org.apache.commons.math.util.OpenIntToDoubleHashMap#int#computeCapacity#?,int#155	0.015873015873015928	0.015873015873015928	0.03149801587301593	powerOfTwo == capacity	_
org.apache.commons.math.util.OpenIntToDoubleHashMap#?#OpenIntToDoubleHashMap#?,double#100	0.02083333333333337	0.0	0.02083333333333337		_
org.apache.commons.math.util.OpenIntToDoubleHashMap#?#OpenIntToDoubleHashMap#?,int,double#119	0.01538461538461533	0.0	0.01538461538461533		_
org.apache.commons.math.util.FastMath#double#ceil#?,double#3349	0.005681818181818232	0.005681818181818232	0.011237373737373768	y == x	_
org.apache.commons.math.util.FastMath#double#floor#?,double#3330	0.003154574132492094	0.003154574132492094	0.00590939506913124	!(y == 0)	_
org.apache.commons.math.linear.AbstractRealMatrix#?#AbstractRealMatrix#?,int,int#57	0.002739726027397249	0.002739726027397249	0.005479452054794498	!(columnDimension < 1)	_
org.apache.commons.math.stat.descriptive.summary.Sum#double#evaluate#?,double[],double[],int,int#160	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#double#log#?,double#1096	0.0	0.0	0.0		_
org.apache.commons.math.util.ResizableDoubleArray#void#setInitialCapacity#?,int#760	0.0	0.0	0.0		_
org.apache.commons.math.random.RandomDataImpl#int#nextInt#?,int,int#243	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMathLiteralArrays#double[]#loadExpIntB#?#6150	0.0	0.0	0.0		_
org.apache.commons.math.random.RandomDataImpl#RandomGenerator#getRan#?#841	0.0	0.0	0.0		_
org.apache.commons.math.util.ResizableDoubleArray#?#ResizableDoubleArray#?,int#161	0.0	0.0	0.0		_
org.apache.commons.math.stat.descriptive.moment.Mean#double#evaluate#?,double[],double[]#247	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMathLiteralArrays#double[]#loadExpIntA#?#6142	0.0	0.0	0.0		_
org.apache.commons.math.stat.descriptive.moment.Mean#double#evaluate#?,double[],int,int#171	0.0	0.0	0.0		_
org.apache.commons.math.stat.descriptive.summary.Sum#double#evaluate#?,double[],int,int#124	0.0	0.0	0.0		_
org.apache.commons.math.util.ResizableDoubleArray#void#addElement#?,double#306	0.0	0.0	0.0		_
org.apache.commons.math.random.RandomDataImpl#double#nextGaussian#?,double,double#504	0.0	0.0	0.0		_
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic#boolean#test#?,double[],int,int#137	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMathLiteralArrays#double[]#loadExpFracA#?#6158	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMathLiteralArrays#double[]#loadExpFracB#?#6166	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#double#pow#?,double,double#1499	0.0	0.0	0.0		_
org.apache.commons.math.util.ResizableDoubleArray#double[]#getElements#?#600	0.0	0.0	0.0		_
org.apache.commons.math.util.MathUtils#long#factorial#?,int#791	0.0	0.0	0.0		_
org.apache.commons.math.util.ResizableDoubleArray#void#contract#?#436	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#double#abs#?,double#3003	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMathLiteralArrays#double[][]#loadLnMant#?#6174	0.0	0.0	0.0		_
org.apache.commons.math.util.ResizableDoubleArray#void#expand#?#538	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#931	0.0	0.0	0.0		_
org.apache.commons.math.stat.descriptive.moment.Mean#?#Mean#?#81	0.0	0.0	0.0		_
org.apache.commons.math.stat.descriptive.AbstractStorelessUnivariateStatistic#double#evaluate#?,double[]#61	0.0	0.0	0.0		_
org.apache.commons.math.util.ResizableDoubleArray#boolean#shouldContract#?#800	0.0	0.0	0.0		_
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic#boolean#test#?,double[],double[],int,int#222	0.0	0.0	0.0		_
org.apache.commons.math.stat.descriptive.moment.FirstMoment#?#FirstMoment#?#81	0.0	0.0	0.0		_
org.apache.commons.math.stat.descriptive.summary.Sum#?#Sum#?#58	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1274	0.0	0.0	0.0		_
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic#boolean#test#?,double[],int,int,boolean#175	0.0	0.0	0.0		_
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic#boolean#test#?,double[],double[],int,int,boolean#286	0.0	0.0	0.0		_
org.apache.commons.math.stat.descriptive.moment.Mean#double#evaluate#?,double[],double[],int,int#213	0.0	0.0	0.0		_
