line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.util.OpenIntToDoubleHashMap#int#computeCapacity#?,int#155	0.9762906309751433	0.9762906309751433	1.9521988527724665	powerOfTwo == capacity	_
org.apache.commons.math.util.FastMath#double#ceil#?,double#3349	0.9330783938814532	0.9330783938814532	1.8646271510516252	y == x	_
org.apache.commons.math.util.FastMath#double#floor#?,double#3330	0.8791586998087955	0.8791586998087955	1.7407265774378584	!(y == 0)	_
org.apache.commons.math.linear.AbstractRealMatrix#?#AbstractRealMatrix#?,int,int#57	0.8608030592734226	0.8608030592734226	1.7216061185468452	!(columnDimension < 1)	_
org.apache.commons.math.linear.OpenMapRealMatrix#?#OpenMapRealMatrix#?,int,int#49	0.988527724665392	0.0	0.988527724665392		GT
org.apache.commons.math.util.OpenIntToDoubleHashMap#?#OpenIntToDoubleHashMap#?,double#100	0.9820267686424474	0.0	0.9820267686424474		_
org.apache.commons.math.util.OpenIntToDoubleHashMap#?#OpenIntToDoubleHashMap#?,int,double#119	0.9755258126195029	0.0	0.9755258126195029		_
org.apache.commons.math.util.ResizableDoubleArray#void#setInitialCapacity#?,int#760	-3.824091778202677E-4	0.0	-3.824091778202677E-4		_
org.apache.commons.math.stat.descriptive.moment.Mean#double#evaluate#?,double[],double[]#247	-3.824091778202677E-4	0.0	-3.824091778202677E-4		_
org.apache.commons.math.util.FastMath#double#pow#?,double,double#1476	-3.824091778202677E-4	0.0	-3.824091778202677E-4		_
org.apache.commons.math.util.MathUtils#long#factorial#?,int#789	-3.824091778202677E-4	0.0	-3.824091778202677E-4		_
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#831	-3.824091778202677E-4	0.0	-3.824091778202677E-4		_
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1125	-3.824091778202677E-4	0.0	-3.824091778202677E-4		_
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic#boolean#test#?,double[],int,int,boolean#176	-3.824091778202677E-4	0.0	-3.824091778202677E-4		_
org.apache.commons.math.util.ResizableDoubleArray#void#expand#?#536	-7.648183556405354E-4	0.0	-7.648183556405354E-4		_
