line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math3.distribution.DiscreteDistribution#?#DiscreteDistribution#?,List<Pair<T,Double>>#69	Infinity	0.0	Infinity		_
org.apache.commons.math3.distribution.DiscreteDistribution#T[]#sample#?,int#189	Infinity	Infinity	Infinity	i < sampleSize	GT
org.apache.commons.math3.distribution.DiscreteDistribution#?#DiscreteDistribution#?,RandomGenerator,List<Pair<T,Double>>#95	0.5	0.5	1.0	!(sample.getValue() < 0)	_
org.apache.commons.math3.util.MathArrays#double[]#normalizeArray#?,double[],double#1269	0.5	0.5	1.0	i < len	_
org.apache.commons.math3.distribution.DiscreteDistribution#T#sample#?#162	0.5	0.5	1.0	randomValue < sum	_
org.apache.commons.math3.random.Well19937c#int#next#?,int#86	0.022222222222222223	0.0	0.022222222222222223		_
org.apache.commons.math3.random.AbstractWell#void#setSeed#?,int[]#154	0.00546448087431694	0.00546448087431694	0.00970176900991016	seed == null	_
org.apache.commons.math3.random.AbstractWell#?#AbstractWell#?,int,int,int,int,int[]#111	0.00423728813559322	0.00423728813559322	0.00847457627118644	!(j < r)	_
org.apache.commons.math3.random.BitsStreamGenerator#double#nextDouble#?#91	0.006944444444444444	0.0	0.006944444444444444		_
org.apache.commons.math3.random.Well19937c#?#Well19937c#?#57	0.00546448087431694	0.0	0.00546448087431694		_
org.apache.commons.math3.random.AbstractWell#?#AbstractWell#?,int,int,int,int#72	0.00546448087431694	0.0	0.00546448087431694		_
org.apache.commons.math3.random.AbstractWell#void#setSeed#?,long#179	0.00510204081632653	0.0	0.00510204081632653		_
org.apache.commons.math3.util.Pair#V#getValue#?#74	0.003676470588235294	0.0	0.003676470588235294		_
org.apache.commons.math3.random.BitsStreamGenerator#void#clear#?#170	0.003484320557491289	0.0	0.003484320557491289		_
org.apache.commons.math3.random.BitsStreamGenerator#?#BitsStreamGenerator#?#41	0.003484320557491289	0.0	0.003484320557491289		_
org.apache.commons.math3.util.Pair#K#getKey#?#65	0.0027624309392265192	0.0	0.0027624309392265192		_
org.apache.commons.math3.util.Pair#?#Pair#?,K,V#47	0.002242152466367713	0.0	0.002242152466367713		_
