line	original_score	max_predicate_score	total	predicate	label
org.joda.time.format.FormatUtils#int#calculateDigitCount#?,long#336	0.0	0.6434108527131782	0.6434108527131782	value < 0	_
org.joda.time.format.FormatUtils#void#appendUnpaddedInteger#?,StringBuffer,int#236	0.0	0.3188405797101449	0.3188405797101449	value < 0	_
org.joda.time.format.PeriodFormatterBuilder$Separator#void#printTo#?,StringBuffer,ReadablePeriod,Locale#1673	0.0	0.1313131313131313	0.1313131313131313	!(iUseAfter && after.countFieldsToPrint(period,1,locale) > 0)	_
org.joda.time.format.PeriodFormatterBuilder$Separator#int#calculatePrintedLength#?,ReadablePeriod,Locale#1650	0.0	0.12698412698412698	0.12698412698412698	!(iUseAfter && after.countFieldsToPrint(period,1,locale) > 0)	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#int#calculatePrintedLength#?,ReadablePeriod,Locale#1095	0.0	0.11007751937984495	0.11007751937984495	iFieldType >= SECONDS_MILLIS	GT
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#void#printTo#?,StringBuffer,ReadablePeriod,Locale#1139	0.0	0.10201149425287356	0.10201149425287356	iFieldType >= SECONDS_MILLIS	GT
org.joda.time.format.FormatUtils#void#appendPaddedInteger#?,StringBuffer,int,int#80	0.0	0.08627946127946129	0.08627946127946129	value < 1000	_
org.joda.time.format.ISOPeriodFormat#PeriodFormatter#standard#?#65	0.0	0.07149161518093558	0.07149161518093558	cStandard == null	_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatter#toFormatter#?,List<Object>,boolean,boolean#799	0.0	0.029054054054054056	0.029054054054054056	size >= 2 && elementPairs.get(0) instanceof Separator	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#boolean#isZero#?,ReadablePeriod#1465	0.0	0.023646071700991606	0.023646071700991606	period.getValue(i) != 0	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#int#countFieldsToPrint#?,ReadablePeriod,int,Locale#1082	0.0	0.021978021978021976	0.021978021978021976	!(iPrintZeroSetting == PRINT_ZERO_ALWAYS || getFieldValue(period) != Long.MAX_VALUE)	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#long#getFieldValue#?,ReadablePeriod#1434	0.0	0.01849516603614964	0.01849516603614964	!(isZero(period) && iFieldFormatters[iFieldType] == this)	_
org.joda.time.format.PeriodFormatterBuilder$Separator#?#Separator#?,String,String,String[],PeriodPrinter,PeriodParser,boolean,boolean#1599	0.0	0.014911463187325252	0.014911463187325252	(finalText == null || text.equals(finalText)) && (variants == null || variants.length == 0)	_
org.joda.time.PeriodType#boolean#setIndexedField#?,ReadablePeriod,int,int[],int#689	0.0	0.004761904761904773	0.004761904761904773	!(realIndex == -1)	_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendSuffix#?,PeriodFieldAffix#599	0.0	0.003088803088803084	0.003088803088803084	!(originalPrinter == null || originalParser == null || originalPrinter != originalParser || !(originalPrinter instanceof FieldFormatter))	_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendSuffix#?,String#552	0.0	0.0026455026455026454	0.0026455026455026454	!(text == null)	_
org.joda.time.DateTimeUtils#PeriodType#getPeriodType#?,PeriodType#316	0.0	8.307668571496388E-4	8.307668571496388E-4	!(type == null)	_
org.joda.time.format.PeriodFormatter#void#checkPrinter#?#251	0.0	2.4968789013732687E-4	2.4968789013732687E-4	!(iPrinter == null)	_
org.joda.time.PeriodType#int#indexOf#?,DurationFieldType#649	0.0	1.5712016200834528E-4	1.5712016200834528E-4	!(iTypes[i] == type)	_
org.joda.time.PeriodType#PeriodType#standard#?#103	0.0	8.902697962617605E-5	8.902697962617605E-5	!(type == null)	_
org.joda.time.base.BasePeriod#void#checkAndUpdate#?,DurationFieldType,int[],int#391	0.0	7.465472191116058E-5	7.465472191116058E-5	!(index == -1)	_
org.joda.time.format.PeriodFormatterBuilder$Composite#void#printTo#?,StringBuffer,ReadablePeriod,Locale#1808	0.0	0.0	0.0	i < len	_
org.joda.time.format.PeriodFormatter#void#checkPeriod#?,ReadablePeriod#262	0.0	0.0	0.0	!(period == null)	_
org.joda.time.base.AbstractPeriod#int[]#getValues#?#96	0.0	0.0	0.0	!(i < result.length)	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#?#FieldFormatter#?,FieldFormatter,PeriodFieldAffix#1072	0.0	0.0	0.0	!(field.iSuffix != null)	_
org.joda.time.base.AbstractPeriod#int#get#?,DurationFieldType#114	0.0	0.0	0.0	!(index == -1)	_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendSeparator#?,String,String,String[],boolean,boolean#738	0.0	0.0	0.0	!(pairs.size() == 0)	_
org.joda.time.format.PeriodFormatterBuilder$Composite#void#decompose#?,List<Object>,List<Object>,List<Object>#1838	0.0	0.0	0.0	i < size	_
org.joda.time.format.PeriodFormatterBuilder$Composite#int#calculatePrintedLength#?,ReadablePeriod,Locale#1799	0.0	0.0	0.0	--i >= 0	_
org.joda.time.format.PeriodFormatterBuilder#void#clear#?#176	0.0	0.0	0.0	iElementPairs == null	_
org.joda.time.format.PeriodFormatterBuilder$Composite#?#Composite#?,List<Object>#1779	0.0	0.0	0.0	!(parserList.size() <= 0)	_
org.joda.time.format.PeriodFormatterBuilder#void#clearPrefix#?#779	0.0	0.0	0.0	!(iPrefix != null)	_
org.joda.time.format.PeriodFormatterBuilder$Composite#int#countFieldsToPrint#?,ReadablePeriod,int,Locale#1790	0.0	0.0	0.0	!(sum < stopAt && --i >= 0)	_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendLiteral#?,String#228	0.0	0.0	0.0	!(text == null)	_
