line	original_score	max_predicate_score	total	predicate	label
org.joda.time.format.DateTimeParserBucket$SavedField#int#compareTo#?,SavedField#485	0.0	0.6104577528496472	0.6104577528496472	!(result != 0)	_
org.joda.time.chrono.BasicChronology#int#getWeekOfWeekyear#?,long,int#517	0.0	0.38726278546156323	0.38726278546156323	instant < firstWeekMillis1	_
org.joda.time.field.BaseDurationField#int#compareTo#?,DurationField#149	0.0	0.3347605559581055	0.3347605559581055	thisMillis == otherMillis	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#yearMonthDay#?#1326	0.0	0.17494245314041434	0.17494245314041434	!(ymd == null)	_
org.joda.time.chrono.BasicWeekyearDateTimeField#long#set#?,long,int#179	0.0	0.17398291380316444	0.17398291380316444	workWoyYear < year	_
org.joda.time.chrono.BasicChronology#int#getWeekyear#?,long#497	0.0	0.1629826642581909	0.1629826642581909	week > 51	_
org.joda.time.chrono.GJChronology$CutoverField#int#get#?,long#631	0.0	0.15602836879432622	0.15602836879432622	instant >= iCutover	_
org.joda.time.chrono.GJChronology$CutoverField#long#set#?,long,int#699	0.0	0.1464264962231261	0.1464264962231261	!(instant < iCutover)	_
org.joda.time.chrono.GJChronology$CutoverField#long#roundFloor#?,long#851	0.0	0.12898653437278523	0.12898653437278523	instant >= iCutover	_
org.joda.time.base.AbstractInstant#boolean#equals#?,Object#259	0.0	0.12699010124581278	0.12699010124581278	this == readableInstant	_
org.joda.time.DateTimeZone#DateTimeZone#fixedOffsetZone#?,String,int#349	0.0	0.12159494670351362	0.12159494670351362	offset == 0	_
org.joda.time.chrono.BasicWeekyearDateTimeField#long#roundFloor#?,long#236	0.0	0.09167289994992367	0.09167289994992367	!(wow > 1)	_
org.joda.time.format.DateTimeFormatter#Chronology#selectChronology#?,Chronology#916	0.0	0.05527895105280131	0.05527895105280131	iChrono != null	_
org.joda.time.chrono.BasicChronology#long#getFirstWeekOfYearMillis#?,int#342	0.0	0.03600452628330421	0.03600452628330421	jan1dayOfWeek > (8 - iMinDaysInFirstWeek)	_
org.joda.time.LocalDate#boolean#isSupported#?,DateTimeFieldType#512	0.0	0.035131744040150514	0.035131744040150514	DATE_DURATION_TYPES.contains(durType) || durType.getField(getChronology()).getUnitMillis() >= getChronology().days().getUnitMillis()	_
org.joda.time.LocalDate#int#get#?,DateTimeFieldType#493	0.0	0.025044722719141328	0.025044722719141328	!(isSupported(fieldType) == false)	_
org.joda.time.chrono.BasicGJChronology#long#setYear#?,long,int#179	0.0	0.02341129792411057	0.02341129792411057	!(dayOfYear > (31 + 28))	_
org.joda.time.format.DateTimeFormat#void#parsePatternTo#?,DateTimeFormatterBuilder,String#479	0.0	0.02155001617791672	0.02155001617791672	!(tokenLen >= 3)	_
org.joda.time.format.DateTimeParserBucket#int#compareReverse#?,DurationField,DurationField#494	0.0	0.02140630274628169	0.02140630274628169	a == null || !a.isSupported()	_
org.joda.time.DateTimeZone#long#getMillisKeepLocal#?,DateTimeZone,long#1030	0.0	0.021174139040036156	0.021174139040036156	newZone == this	_
org.joda.time.format.DateTimeFormat#String#parseToken#?,String,int[]#580	0.0	0.01587208938110882	0.01587208938110882	!(c >= 'A' && c <= 'Z' || c >= 'a' && c <= 'z')	_
org.joda.time.chrono.BasicChronology#int#getYear#?,long#411	0.0	0.01557107981409927	0.01557107981409927	diff >= DateTimeConstants.MILLIS_PER_DAY * 365L	_
org.joda.time.format.DateTimeFormatterBuilder$NumberFormatter#int#parseInto#?,DateTimeParserBucket,String,int#1289	0.0	0.014629049111807726	0.014629049111807726	c < '0' || c > '9'	_
org.joda.time.DateTimeUtils#DateTimeZone#getZone#?,DateTimeZone#269	0.0	0.013342409802586786	0.013342409802586786	!(zone == null)	_
org.joda.time.chrono.GJChronology#DateTimeZone#getZone#?#293	0.0	0.012879484820607167	0.012879484820607167	!((base=getBase()) != null)	_
org.joda.time.chrono.GregorianChronology#long#calculateFirstDayOfYearMillis#?,int#212	0.0	0.01181653084099939	0.01181653084099939	isLeapYear(year)	_
org.joda.time.chrono.GJChronology#GJChronology#getInstance#?,DateTimeZone,ReadableInstant,int#191	0.0	0.011306735583912129	0.011306735583912129	!(gregorianCutover == null)	_
org.joda.time.format.DateTimeFormatter#DateTimeFormatter#withChronology#?,Chronology#255	0.0	0.010516772438803263	0.010516772438803263	!(iChrono == chrono)	_
org.joda.time.format.DateTimeParserBucket#long#computeMillis#?,boolean,String#362	0.0	0.010356822438732621	0.010356822438732621	iZone == null	GT
org.joda.time.chrono.GJChronology#Chronology#withZone#?,DateTimeZone#320	0.0	0.010050251256281388	0.010050251256281388	zone == getZone()	_
org.joda.time.LocalDate#boolean#equals#?,Object#575	0.0	0.009922041105598868	0.009922041105598868	iChronology.equals(other.iChronology)	_
org.joda.time.DateTimeUtils#Chronology#getChronology#?,Chronology#252	0.0	0.007463526483160723	0.007463526483160723	chrono == null	_
org.joda.time.chrono.BasicChronology#YearInfo#getYearInfo#?,int#739	0.0	0.007211672611419481	0.007211672611419481	info == null || info.iYear != year	_
org.joda.time.DateTimeZone#String#printOffset#?,int#631	0.0	0.007031642390758407	0.007031642390758407	offset >= 0	_
org.joda.time.format.FormatUtils#void#appendPaddedInteger#?,StringBuffer,int,int#67	0.0	0.006520160903690649	0.006520160903690649	!(value < 100)	_
org.joda.time.chrono.BasicGJChronology#long#getTotalMillisByYearMonth#?,int,int#139	0.0	0.005515457913906191	0.005515457913906191	isLeapYear(year)	_
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral#int#parseInto#?,DateTimeParserBucket,String,int#1180	0.0	0.004506860890909824	0.004506860890909824	!(a != b)	_
org.joda.time.field.PreciseDurationDateTimeField#long#roundFloor#?,long#92	0.0	0.0029719033828145137	0.0029719033828145137	instant >= 0	_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendDecimal#?,DateTimeFieldType,int,int#405	0.0	0.0024624029170116505	0.0024624029170116505	!(minDigits <= 1)	_
org.joda.time.format.DateTimeParserBucket#void#sort#?,SavedField[],int#402	0.0	0.002103336656787357	0.002103336656787357	i < high	_
org.joda.time.format.DateTimeFormatterBuilder#boolean#isPrinter#?,Object#1099	0.0	0.0018675533848847748	0.0018675533848847748	f instanceof Composite	_
org.joda.time.format.DateTimeFormatterBuilder#Object#getFormatter#?#1087	0.0	0.001842265495543641	0.001842265495543641	f == null	_
org.joda.time.format.DateTimeFormatterBuilder#boolean#isParser#?,Object#1109	0.0	0.0017857906732863676	0.0017857906732863676	f instanceof Composite	_
org.joda.time.format.DateTimeParserBucket$SavedField#long#set#?,long,boolean#470	0.0	0.0014323506628275743	0.0014323506628275743	reset	_
org.joda.time.format.DateTimeFormatterBuilder$Composite#void#decompose#?,List<Object>,List<Object>,List<Object>#2613	0.0	0.001081339810672851	0.001081339810672851	!(element instanceof Composite)	_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendSignedDecimal#?,DateTimeFieldType,int,int#457	0.0	0.0010370894176486465	0.0010370894176486465	!(minDigits <= 1)	_
