line	original_score	max_predicate_score	total	predicate	label
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#void#add#?,BoxAndWhiskerItem,Comparable,Comparable#175	1.0	1.0	2.0	c<r	GT
org.jfree.data.KeyedObjects2D#void#setObject#?,Object,Comparable,Comparable#280	0.9902853673345476	0.9963570127504554	1.9751062537947783	this.columnKeys.indexOf(columnKey)>rowIndex	_
org.jfree.data.KeyedObjects#void#setObject#?,Comparable,Object#202	0.9957498482088646	0.9957498482088646	1.96842744383728	keyIndex >= 0	_
org.jfree.data.KeyedObjects#int#getIndex#?,Comparable#135	0.9775349119611415	0.9775349119611415	1.9520340012143291	ko.getKey().equals(key)	_
org.jfree.data.Range#boolean#equals#?,Object#334	0.9969641772920461	0.9969641772920461	1.9465695203400122	!(this.lower == range.lower)	_
org.jfree.data.Range#?#Range#?,double,double#91	0.8482088646023073	0.9805707346690953	1.8287795992714027	lower>=upper	_
org.jfree.data.Range#String#toString#?#365	1.0	0.0	1.0		_
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#void#updateBounds#?#740	0.9993928354584092	0.0	0.9993928354584092		GT
org.jfree.data.statistics.BoxAndWhiskerItem#?#BoxAndWhiskerItem#?,double,double,double,double,double,double,double,double,List#147	0.9987856709168185	0.0	0.9987856709168185		_
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#Range#getRangeBounds#?,boolean#532	0.9963570127504554	0.0	0.9963570127504554		_
org.jfree.data.KeyedObject#void#setObject#?,Object#103	0.9957498482088646	0.0	0.9957498482088646		_
org.jfree.data.statistics.BoxAndWhiskerItem#Number#getMinOutlier#?#214	0.9939283545840923	0.0	0.9939283545840923		_
org.jfree.data.statistics.BoxAndWhiskerItem#Number#getMaxOutlier#?#223	0.9939283545840923	0.0	0.9939283545840923		_
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#?#DefaultBoxAndWhiskerCategoryDataset#?#107	0.9933211900425015	0.0	0.9933211900425015		_
org.jfree.data.statistics.BoxAndWhiskerItem#?#BoxAndWhiskerItem#?,Number,Number,Number,Number,Number,Number,Number,Number,List#118	0.9914996964177292	0.0	0.9914996964177292		_
org.jfree.data.KeyedObjects2D#int#getColumnIndex#?,Comparable#187	0.98421372191864	0.0	0.98421372191864		_
org.jfree.data.KeyedObjects2D#int#getRowIndex#?,Comparable#150	0.98421372191864	0.0	0.98421372191864		_
org.jfree.data.KeyedObjects2D#void#addObject#?,Object,Comparable,Comparable#250	0.9823922282938676	0.0	0.9823922282938676		_
org.jfree.data.KeyedObjects2D#?#KeyedObjects2D#?#75	0.9775349119611415	0.0	0.9775349119611415		_
org.jfree.data.KeyedObject#Comparable#getKey#?#85	0.9744990892531876	0.0	0.9744990892531876		_
org.jfree.data.KeyedObjects#?#KeyedObjects#?#68	0.9726775956284153	0.0	0.9726775956284153		_
org.jfree.data.KeyedObject#?#KeyedObject#?,Comparable,Object#75	0.9702489374620522	0.0	0.9702489374620522		_
org.jfree.data.general.AbstractDataset#void#fireDatasetChanged#?#172	0.8348512446873102	0.0	0.8348512446873102		_
org.jfree.data.general.AbstractDataset#void#notifyListeners#?,DatasetChangeEvent#186	0.8099574984820886	0.0	0.8099574984820886		_
org.jfree.data.general.DatasetChangeEvent#?#DatasetChangeEvent#?,Object,Dataset#74	0.7777777777777778	0.0	0.7777777777777778		_
org.jfree.data.general.AbstractDataset#?#AbstractDataset#?#98	0.76381299332119	0.0	0.76381299332119		_
org.jfree.data.general.DatasetGroup#?#DatasetGroup#?#66	0.7632058287795993	0.0	0.7632058287795993		_
