line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.renderer.category.LineRenderer3D#void#drawBackground#?,Graphics2D,CategoryPlot,Rectangle2D#273	1.0	1.0	2.0	!(backgroundImage != null)	_
org.jfree.chart.axis.CategoryAxis#double#calculateCategorySize#?,int,Rectangle2D,RectangleEdge#676	1.0	1.0	2.0	available * (1 - getLowerMargin() - getUpperMargin()- getCategoryMargin())<=available	_
org.jfree.data.category.DefaultIntervalCategoryDataset#Comparable#getRowKey#?,int#667	1.0	1.0	2.0	!((row >= getRowCount()) || (row < 0))	_
org.jfree.chart.axis.CategoryAxis#double#calculateCategoryGapSize#?,int,Rectangle2D,RectangleEdge#713	1.0	1.0	2.0	available * getCategoryMargin() / (categoryCount - 1)!=available	_
org.jfree.chart.axis.NumberAxis3D#AxisState#draw#?,Graphics2D,double,Rectangle2D,Rectangle2D,RectangleEdge,PlotRenderingInfo#158	1.0	1.0	2.0	dataArea.getWidth() - xOffset>=adjustedX	_
org.jfree.chart.text.TextUtilities#TextBlock#createTextBlock#?,String,Font,Paint,float,int,TextMeasurer#213	1.0	1.0	2.0	oldStr.length() > 3	_
org.jfree.chart.text.TextBlock#TextLine#getLastLine#?#141	1.0	1.0	2.0	index >= 0	_
org.jfree.chart.text.TextUtilities#int#nextLineBreak#?,String,int,float,BreakIterator,TextMeasurer#265	1.0	1.0	2.0	iterator.previous()==current	_
org.jfree.chart.text.TextFragment#boolean#equals#?,Object#265	1.0	1.0	2.0	obj == this	_
org.jfree.chart.renderer.category.BarRenderer3D#void#drawBackground#?,Graphics2D,CategoryPlot,Rectangle2D#290	1.0	1.0	2.0	x0 + (float)Math.abs(this.xOffset)>=x0	_
org.jfree.chart.text.TextLine#TextFragment#getLastTextFragment#?#211	1.0	1.0	2.0	this.fragments.size() > 0	_
org.jfree.chart.ChartFactory#JFreeChart#createGanttChart#?,String,String,String,IntervalCategoryDataset,boolean,boolean,boolean#1067	1.0	1.0	2.0	urls	_
org.jfree.chart.plot.CategoryPlot#List#datasetsMappedToDomainAxis#?,int#3108	0.9166666666666666	1.0	1.9166666666666665	!(dataset != null)	_
org.jfree.chart.axis.CategoryAxis#AxisSpace#reserveSpace#?,Graphics2D,Plot,Rectangle2D,RectangleEdge,AxisSpace#777	0.9166666666666666	1.0	1.9166666666666665	labelEnclosure.getWidth()>tickLabelWidth	_
org.jfree.chart.axis.Axis#AxisState#drawLabel#?,String,Graphics2D,Rectangle2D,Rectangle2D,RectangleEdge,AxisState,PlotRenderingInfo#1120	0.9166666666666666	1.0	1.9166666666666665	(float)labelBounds.getHeight()<=w	GT
org.jfree.chart.plot.CategoryPlot#void#draw#?,Graphics2D,Rectangle2D,Point2D,PlotState,PlotRenderingInfo#2543	1.0	1.0	1.9166666666666665	state == null	_
org.jfree.chart.plot.CategoryPlot#LegendItemCollection#getLegendItems#?#1734	0.9166666666666666	1.0	1.9166666666666665	!(dataset != null)	_
org.jfree.chart.axis.CategoryAxis#AxisState#drawCategoryLabels#?,Graphics2D,Rectangle2D,Rectangle2D,RectangleEdge,AxisState,PlotRenderingInfo#893	0.9166666666666666	1.0	1.8888888888888888	state.getCursor() + this.categoryLabelPositionOffset>=x1	_
org.jfree.chart.plot.CategoryPlot#AxisSpace#calculateRangeAxisSpace#?,Graphics2D,Rectangle2D,AxisSpace#2470	0.9166666666666666	0.9166666666666666	1.8333333333333333	!(this.fixedRangeAxisSpace != null)	_
org.jfree.chart.axis.AxisState#void#cursorUp#?,double#130	0.9166666666666666	0.9166666666666666	1.8333333333333333	this.cursor - units!=units	_
org.jfree.chart.plot.Plot#RectangleEdge#resolveRangeAxisLocation#?,AxisLocation,PlotOrientation#1388	0.9166666666666666	0.9166666666666666	1.8333333333333333	orientation == PlotOrientation.VERTICAL	_
org.jfree.chart.text.TextUtilities#float[]#deriveTextBoundsAnchorOffsets#?,Graphics2D,String,TextAnchor#664	0.9166666666666666	0.9166666666666666	1.8333333333333333	anchor == TextAnchor.BOTTOM_LEFT || anchor == TextAnchor.BOTTOM_CENTER || anchor == TextAnchor.BOTTOM_RIGHT	_
