line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.rhino.Node#NodeMismatch#checkTreeEqualsImpl#?,Node#1458	4.5	4.5	4.502559726962457	res != null	_
com.google.javascript.rhino.Node#String#checkTreeEquals#?,Node#1429	4.5	4.5	4.5025568181818185	diff != null	_
com.google.javascript.rhino.Node#String#propToString#?,int#132	4.0	0.0	4.0		_
com.google.javascript.jscomp.FlowSensitiveInlineVariables$Candidate#boolean#canInline#?#364	1.0	1.3333333333333333	2.333333333333333	!(pathCheck.somePathsSatisfyPredicate())	_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#973	0.5294117647058824	1.8	2.0195121951219512	!(lineno != -1)	_
com.google.javascript.rhino.Node$NodeMismatch#?#NodeMismatch#?,Node,Node#2144	1.5	0.0	1.5		_
com.google.javascript.jscomp.FlowSensitiveInlineVariables$Candidate#void#inlineVariable#?#388	0.6923076923076923	0.6923076923076923	1.3846153846153846	defParent.isVar()	_
com.google.javascript.jscomp.CheckPathsBetweenNodes#boolean#checkSomePathsWithoutBackEdges#?,DiGraphNode<N,E>,DiGraphNode<N,E>#224	0.8	0.8	1.3714285714285714	!(checkSomePathsWithoutBackEdges(next,b))	_
com.google.javascript.jscomp.MustBeReachingVariableDef#boolean#dependsOnOuterScopeVars#?,String,Node#432	0.6	0.6428571428571429	1.2428571428571429	!(s.scope != jsScope)	GT
com.google.javascript.jscomp.FlowSensitiveInlineVariables#boolean#checkLeftOf#?,Node,Node,Predicate<Node>#485	0.4	0.5	0.9	!(predicate.apply(cur))	_
com.google.javascript.jscomp.FlowSensitiveInlineVariables#boolean#checkRightOf#?,Node,Node,Predicate<Node>#464	0.25	0.3333333333333333	0.5833333333333333	!(predicate.apply(cur))	_
com.google.javascript.jscomp.FlowSensitiveInlineVariables#void#enterScope#?,NodeTraversal#146	0.391304347826087	0.391304347826087	0.5297658862876254	c.canInline()	_
com.google.javascript.rhino.Token#String#name#?,int#227	0.5294117647058824	0.0	0.5294117647058824		_
com.google.javascript.rhino.Node#void#toStringTreeHelper#?,Node,int,Appendable#1030	0.2647058823529412	0.2647058823529412	0.5294117647058824	i != level	_
com.google.javascript.jscomp.CheckPathsBetweenNodes#boolean#somePathsSatisfyPredicate#?#123	0.5	0.0	0.5		_
com.google.javascript.rhino.Node#int[]#getSortedPropTypes#?#880	0.23076923076923078	0.23076923076923078	0.46153846153846156	x != null	_
com.google.javascript.rhino.InputId#String#toString#?#74	0.45	0.0	0.45		_
com.google.javascript.jscomp.NodeUtil#boolean#checkForStateChangeHelper#?,Node,boolean,AbstractCompiler#860	0.4	0.4	0.40904977375565615	!functionCallHasSideEffects(n,compiler)	_
com.google.javascript.jscomp.CheckPathsBetweenNodes#void#discoverBackEdges#?,DiGraphNode<N,E>#142	0.19047619047619047	0.19047619047619047	0.38095238095238093	!(ignoreEdge(e))	_
com.google.javascript.jscomp.MaybeReachingVariableUse#void#computeMayUse#?,Node,Node,ReachingUses,boolean#205	0.15789473684210525	0.225	0.34662162162162163	!(varName.hasChildren())	_
com.google.javascript.jscomp.graph.Graph#void#pushNodeAnnotations#?#246	0.16666666666666666	0.16666666666666666	0.3333333333333333	nodeAnnotationStack == null	_
com.google.javascript.jscomp.graph.Graph#void#pushEdgeAnnotations#?#267	0.16666666666666666	0.16666666666666666	0.3333333333333333	edgeAnnotationStack == null	_
com.google.javascript.jscomp.MustBeReachingVariableDef#void#computeMustDef#?,Node,Node,MustDef,boolean#270	0.15254237288135594	0.1956521739130435	0.3081521739130435	!(c.hasChildren())	_
com.google.javascript.rhino.Node$IntPropListItem#String#toString#?#352	0.2647058823529412	0.0	0.2647058823529412		_
com.google.javascript.jscomp.Scope#boolean#isDeclared#?,String,boolean#568	0.2571428571428571	0.2571428571428571	0.2589799667570641	scope.parent != null && recurse	_
com.google.javascript.rhino.Node#void#appendStringTree#?,Appendable#1025	0.2571428571428571	0.0	0.2571428571428571		_
com.google.javascript.rhino.Node#String#toStringTreeImpl#?#1016	0.2571428571428571	0.0	0.2571428571428571		_
com.google.javascript.rhino.Node#String#toStringTree#?#1011	0.2571428571428571	0.0	0.2571428571428571		_
com.google.javascript.jscomp.MaybeReachingVariableUse#void#removeFromUseIfLocal#?,String,ReachingUses#264	0.1232876712328767	0.1232876712328767	0.2432876712328767	!escaped.contains(var)	_
com.google.javascript.jscomp.MaybeReachingVariableUse#void#addToUseIfLocal#?,String,Node,ReachingUses#246	0.13043478260869565	0.13043478260869565	0.23155837811431362	var == null || var.scope != jsScope	_
com.google.javascript.jscomp.SourceFile#String#toString#?#305	0.23076923076923078	0.0	0.23076923076923078		_
com.google.javascript.rhino.Node$ObjectPropListItem#String#toString#?#320	0.23076923076923078	0.0	0.23076923076923078		_
com.google.javascript.jscomp.MustBeReachingVariableDef#void#addToDefIfLocal#?,String,Node,Node,MustDef#332	0.125	0.125	0.2296511627906977	var == null || var.scope != jsScope	_
com.google.javascript.rhino.Node#String#toString#?#936	0.21951219512195122	0.0	0.21951219512195122		_
com.google.javascript.jscomp.MaybeReachingVariableUse#Collection<Node>#getUses#?,String,Node#283	0.20930232558139536	0.0	0.20930232558139536		_
com.google.javascript.jscomp.MustBeReachingVariableDef#Node#getDef#?,String,Node#418	0.11538461538461539	0.11538461538461539	0.2091346153846154	def == null	_
com.google.javascript.jscomp.FlowSensitiveInlineVariables$GatherCandiates#void#visit#?,NodeTraversal,Node,Node#180	0.10465116279069768	0.10465116279069768	0.1984011627906977	graphNode == null	_
com.google.javascript.jscomp.graph.LinkedDirectedGraph$AnnotatedLinkedDirectedGraphEdge#A#getAnnotation#?#573	0.19047619047619047	0.0	0.19047619047619047		_
com.google.javascript.jscomp.CheckPathsBetweenNodes#boolean#ignoreEdge#?,DiGraphEdge<N,E>#156	0.19047619047619047	0.0	0.19047619047619047		_
com.google.javascript.jscomp.graph.LinkedDirectedGraph#List<GraphEdge<N,E>>#getEdges#?#316	0.19047619047619047	0.0	0.19047619047619047		_
com.google.javascript.jscomp.graph.LinkedDirectedGraph$AnnotatedLinkedDirectedGraphEdge#void#setAnnotation#?,Annotation#578	0.19047619047619047	0.0	0.19047619047619047		_
com.google.javascript.jscomp.FlowSensitiveInlineVariables$Candidate#void#getNumUseInUseCfgNode#?,Node,Node#448	0.1875	0.0	0.1875		_
com.google.javascript.jscomp.FlowSensitiveInlineVariables$Candidate#void#getDefinition#?,Node,Node#404	0.1875	0.0	0.1875		_
com.google.javascript.jscomp.MustBeReachingVariableDef$MustDef#?#MustDef#?,Iterator<Var>#121	0.09375	0.09375	0.1875	vars.hasNext()	_
com.google.javascript.jscomp.CheckPathsBetweenNodes#void#setUp#?#131	0.18181818181818182	0.0	0.18181818181818182		_
com.google.javascript.jscomp.CheckPathsBetweenNodes#void#tearDown#?#136	0.18181818181818182	0.0	0.18181818181818182		_
com.google.javascript.jscomp.CheckPathsBetweenNodes#?#CheckPathsBetweenNodes#?,DiGraph<N,E>,DiGraphNode<N,E>,DiGraphNode<N,E>,Predicate<N>,Predicate<DiGraphEdge<N,E>>,boolean#89	0.18181818181818182	0.0	0.18181818181818182		_
com.google.javascript.jscomp.graph.Graph#void#popEdgeAnnotations#?#278	0.16666666666666666	0.0	0.16666666666666666		_
com.google.javascript.jscomp.graph.Graph#void#pushAnnotations#?,Deque<GraphAnnotationState>,Collection<? extends Annotatable>#340	0.16666666666666666	0.0	0.16666666666666666		_
com.google.javascript.jscomp.graph.Graph$GraphAnnotationState#?#GraphAnnotationState#?,int#80	0.16666666666666666	0.0	0.16666666666666666		_
com.google.javascript.jscomp.graph.Graph#void#popAnnotations#?,Deque<GraphAnnotationState>#350	0.16666666666666666	0.0	0.16666666666666666		_
com.google.javascript.jscomp.graph.Graph#void#popNodeAnnotations#?#257	0.16666666666666666	0.0	0.16666666666666666		_
com.google.javascript.jscomp.graph.Graph$AnnotationState#?#AnnotationState#?,Annotatable,Annotation#68	0.16666666666666666	0.0	0.16666666666666666		_
com.google.javascript.rhino.Node#String#toString#?,boolean,boolean,boolean#943	0.15789473684210525	0.0	0.15789473684210525		_
com.google.javascript.jscomp.MarkNoSideEffectCalls$SetNoSideEffectCallProperty#void#visit#?,NodeTraversal,Node,Node#196	0.15384615384615385	0.14285714285714285	0.15384615384615385		_
com.google.javascript.jscomp.NodeUtil#boolean#isWithinLoop#?,Node#1607	0.10843373493975904	0.10843373493975904	0.15276871030921718	parent.isFunction()	_
com.google.javascript.jscomp.DataFlowAnalysis#void#joinInputs#?,DiGraphNode<N,Branch>#293	0.07563025210084033	0.07563025210084033	0.15126050420168066	inNodes.size() == 1	_
