line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.rhino.Node$FileLevelJsDocBuilder#void#append#?,String#1849	0.6666666666666666	0.6666666666666666	1.3333333333333333	jsDocInfo == null	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#ExtractionInfo#extractMultilineTextualBlock#?,JsDocToken,WhitespaceOption#1421	0.6030226891555273	0.7071067811865475	1.0993390514629156	!(option != WhitespaceOption.PRESERVE)	GT
com.google.javascript.rhino.JSDocInfo#void#setLicense#?,String#1207	0.6666666666666666	0.0	0.6666666666666666		_
com.google.javascript.rhino.JSDocInfo#String#getLicense#?#1196	0.6666666666666666	0.0	0.6666666666666666		_
com.google.javascript.jscomp.Compiler$CodeBuilder#CodeBuilder#append#?,String#1744	0.20412414523193154	0.20412414523193154	0.4082482904638631	(index=str.indexOf('\n',index + 1)) >= 0	_
com.google.javascript.jscomp.Compiler#Node#parseInputs#?#1340	0.1889822365046136	0.1889822365046136	0.3779644730092272	!(info.isNoCompile())	_
com.google.javascript.rhino.JSDocInfoBuilder#void#markText#?,String,int,int,int,int#169	0.14744195615489714	0.2	0.34744195615489715	!(currentMarker != null)	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#String#toString#?,JsDocToken#1226	0.3086066999241838	0.0	0.3086066999241838		_
com.google.javascript.jscomp.parsing.IRFactory#void#setFileOverviewJsDoc#?,Node#196	0.25	0.25	0.2562514653589354	rootNodeJsDoc != null	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#String#getRemainingJSDocLine#?#207	0.13514747567989718	0.10825317547305484	0.21650635094610968	!(peekChar() != '/')	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getCharIgnoreLineEnd#?#396	0.10825317547305484	0.10825317547305484	0.21650635094610968	!(charno == -1)	_
com.google.javascript.rhino.JSDocInfoBuilder#JSDocInfo#build#?,Node#125	0.11713032141645455	0.11713032141645455	0.15016223740820708	!(populated)	_
com.google.javascript.jscomp.ReplaceIdGenerators$GatherGenerators#void#visit#?,NodeTraversal,Node,Node#84	0.07216878364870323	0.07216878364870323	0.13839540150195542	!doc.isConsistentIdGenerator() && !doc.isIdGenerator()	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#void#update#?#327	0.12649110640673517	0.0	0.12649110640673517		_
com.google.javascript.jscomp.parsing.JsDocInfoParser$ExtractionInfo#?#ExtractionInfo#?,String,JsDocToken#1252	0.11664236870396086	0.0	0.11664236870396086		_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#peekChar#?#331	0.10825317547305484	0.0	0.10825317547305484		_
com.google.javascript.jscomp.parsing.JsDocTokenStream#?#JsDocTokenStream#?,String,int,int#50	0.03312693299999688	0.07444375004781977	0.10757068304781664	this.cursor=0==initCharno	_
com.google.javascript.jscomp.parsing.IRFactory#Node#transformTree#?,AstRoot,StaticSourceFile,String,Config,ErrorReporter#177	0.0944911182523068	0.0944911182523068	0.10326439833160175	comment.getCommentType() == CommentType.JSDOC && !irFactory.parsedComments.contains(comment)	_
com.google.javascript.jscomp.parsing.IRFactory#void#handlePossibleFileOverviewJsDoc#?,Comment,Node#257	0.0944911182523068	0.0	0.0944911182523068		_
com.google.javascript.jscomp.DefaultPassConfig#List<PassFactory>#getCodeRemovingPasses#?#716	0.04436782547080569	0.04602873089491617	0.08982237092535114	!(options.inlineConstantVars)	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getChar#?#365	0.040225899335456484	0.04394808402890489	0.08416584952556921	sourceCursor - 1>c	_
com.google.javascript.jscomp.CreateSyntheticBlocks$Callback#void#visit#?,NodeTraversal,Node,Node#171	0.041666666666666664	0.041666666666666664	0.08333333333333333	!n.isCall() || !n.getFirstChild().isName()	_
com.google.javascript.jscomp.DefaultPassConfig#List<PassFactory>#getOptimizations#?#365	0.04109974682633932	0.0472455591261534	0.08134527609967707	!(options.closurePass && (options.removeAbstractMethods || options.removeClosureAsserts))	_
com.google.javascript.jscomp.ReplaceIdGenerators#void#process#?,Node,Node#122	0.0397778642087865	0.04109974682633932	0.08087761103512582	!(!nameGenerators.isEmpty() || !this.consistNameGenerators.isEmpty())	_
com.google.javascript.jscomp.ReplaceIdGenerators#?#ReplaceIdGenerators#?,AbstractCompiler,Set<String>#66	0.0397778642087865	0.0397778642087865	0.079555728417573	idGens != null	_
com.google.javascript.jscomp.Compiler#Result#compileModules#?,List<T>,List<JSModule>,CompilerOptions#569	0.0397778642087865	0.0397778642087865	0.079555728417573	!(hasErrors())	_
com.google.javascript.rhino.JSDocInfo#void#lazyInitInfo#?#622	0.03969160358359708	0.03969160358359708	0.07938320716719416	info == null	_
com.google.javascript.jscomp.DefaultPassConfig#List<PassFactory>#getMainOptimizationLoop#?#692	0.034099716973523674	0.043852900965351466	0.07795261793887515	!(options.removeUnusedVars || options.removeUnusedLocalVars)	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#JsDocToken#getJsDocToken#?#179	0.040217765496664316	0.040217765496664316	0.07475657517068268	isJSDocString(c2)	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#?#JsDocTokenStream#?,String,int#42	0.07444375004781977	0.0	0.07444375004781977		_
com.google.javascript.jscomp.LoggerErrorManager#void#printSummary#?#69	0.035355339059327376	0.037371754637596795	0.07272709369692418	!(getErrorCount() + getWarningCount() > 0)	_
com.google.javascript.rhino.jstype.SimpleSourceFile#String#getName#?#57	0.07071067811865475	0.0	0.07071067811865475		_
com.google.javascript.jscomp.CheckSideEffects$StripProtection#void#visit#?,NodeTraversal,Node,Node#219	0.034421419541075714	0.034421419541075714	0.06884283908215143	!(n.isCall())	_
com.google.javascript.jscomp.testing.TestErrorReporter#boolean#hasEncounteredAllWarnings#?#78	0.06882472016116853	0.0	0.06882472016116853		_
com.google.javascript.jscomp.Compiler#void#optimize#?#1805	0.034179296351233165	0.03450327796711771	0.06868257431835087	!(hasErrors())	_
com.google.javascript.jscomp.AstValidator#void#process#?,Node,Node#59	0.03425943549137658	0.03425943549137658	0.06851887098275317	externs != null	_
com.google.javascript.rhino.jstype.SimpleSourceFile#?#SimpleSourceFile#?,String,boolean#52	0.06839411288813298	0.0	0.06839411288813298		_
com.google.javascript.jscomp.parsing.JsDocInfoParser#boolean#parse#?#203	0.03408485762923172	0.03423433148310233	0.06831918911233405	!(token != JsDocToken.ANNOTATION && token != JsDocToken.EOC)	_
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter#void#enterScope#?,NodeTraversal#301	0.034020690871988585	0.034020690871988585	0.06804138174397717	t.inGlobalScope()	_
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter#void#exitScope#?,NodeTraversal#315	0.034020690871988585	0.034020690871988585	0.06804138174397717	t.inGlobalScope()	_
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter#void#visit#?,NodeTraversal,Node,Node#393	0.034020690871988585	0.034020690871988585	0.06804138174397717	t.inGlobalScope()	_
com.google.javascript.rhino.JSDocInfoBuilder#void#markAnnotation#?,String,int,int#151	0.03331020926996522	0.034099716973523674	0.06740992624348889	!(marker != null)	_
com.google.javascript.rhino.JSDocInfo#Marker#addMarker#?#648	0.034099716973523674	0.034099716973523674	0.06740992624348889	!lazyInitDocumentation()	_
com.google.javascript.rhino.JSDocInfoBuilder#void#recordOriginalCommentString#?,String#79	0.03325031120358776	0.03408485762923172	0.06733516883281948	!(parseDocumentation)	_
com.google.javascript.rhino.JSDocInfo#boolean#lazyInitDocumentation#?#632	0.03408485762923172	0.03408485762923172	0.06733057466199222	!includeDocumentation	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#boolean#matchChar#?,int#262	0.03317246832458401	0.03345435965894823	0.06662682798353224	cursor<c	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#boolean#isAlpha#?,int#272	0.03325031120358776	0.03325031120358776	0.06649602823634826	c <= 'Z'	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#?#JsDocInfoParser#?,JsDocTokenStream,Comment,Node,Config,ErrorReporter#138	0.03325031120358776	0.03325031120358776	0.06647308591284254	commentNode != null	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#JsDocToken#next#?#2273	0.033227359374247166	0.033227359374247166	0.06645013408350194	!(unreadToken == NO_UNREAD_TOKEN)	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#void#addToString#?,int#242	0.033149677206589796	0.033149677206589796	0.06629935441317959	stringBufferTop<=c	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#boolean#isJSSpace#?,int#310	0.03313147809612858	0.03313147809612858	0.06626295619225717	c <= 127	_
com.google.javascript.rhino.JSDocInfo#boolean#isIdGenerator#?#547	0.06622661785325219	0.0	0.06622661785325219		_
com.google.javascript.rhino.JSDocInfo#boolean#isConsistentIdGenerator#?#434	0.06622661785325219	0.0	0.06622661785325219		_
com.google.javascript.jscomp.Denormalize#void#maybeCollapseIntoForStatements#?,Node,Node#73	0.032826608214930636	0.032826608214930636	0.06565321642986127	!n.isExprResult() && !n.isVar()	_
com.google.javascript.jscomp.testing.TestErrorReporter#?#TestErrorReporter#?,String[],String[]#44	0.06534102628035482	0.0	0.06534102628035482		_
com.google.javascript.jscomp.PhaseOptimizer#void#process#?,Node,Node#184	0.026499947000159	0.03880752628531664	0.06530747328547565	progressRange.initialValue<progressStep	_
com.google.javascript.jscomp.Compiler#void#maybeSanityCheck#?#818	0.032478490123081544	0.032478490123081544	0.06495698024616309	!(options.devMode == DevMode.EVERY_PASS)	_
com.google.javascript.jscomp.DefaultPassConfig#Map<String,Node>#getAdditionalReplacements#?,CompilerOptions#2212	0.02711630722733202	0.036369648372665396	0.06348595559999742	!(options.markAsCompiled || options.closurePass)	_
com.google.javascript.jscomp.DefaultPassConfig#List<PassFactory>#getChecks#?#303	0.026537244621713762	0.035623524993954825	0.06216076961566859	!(options.closurePass)	_
com.google.javascript.jscomp.Compiler#void#compileInternal#?#692	0.034099716973523674	0.034099716973523674	0.061216024200855694	!options.ideMode	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#JsDocToken#parseModifiesTag#?,JsDocToken#1052	0.030542361089076306	0.03059950306810523	0.061141864157181536	!(!jsdocBuilder.recordModifies(modifies))	_
com.google.javascript.rhino.JSDocInfoBuilder#boolean#recordModifies#?,Set<String>#419	0.03059950306810523	0.03059950306810523	0.061141864157181536	!hasAnySingletonSideEffectTags() && currentInfo.setModifies(modifies)	_
com.google.javascript.rhino.JSDocInfo#boolean#setModifies#?,Set<String>#723	0.030542361089076306	0.030542361089076306	0.06108472217815261	!(info.modifies != null)	_
com.google.javascript.jscomp.VarCheck$NameRefInExternsCheck#void#visit#?,NodeTraversal,Node,Node#246	0.030151134457776358	0.030542361089076306	0.06069349554685266	!(var == null)	_
com.google.javascript.jscomp.VarCheck#void#process#?,Node,Node#98	0.024968808471946116	0.03268602252303067	0.05750060587230392	!(!sanityCheck)	_
com.google.javascript.jscomp.CheckSideEffects#void#process#?,Node,Node#73	0.02631578947368421	0.03059950306810523	0.05691529254178944	!(protectSideEffectFreeCode)	_
com.google.javascript.jscomp.ProcessDefines#void#process#?,Node,Node#117	0.02993421700446248	0.02993421700446248	0.055583675806591334	namespace == null	_
