line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.ClosureCodingConvention#String#extractClassNameIfGoog#?,Node,Node,String#193	0.08333333333333337	0.08333333333333337	0.16666666666666674	callee != null && callee.getType() == Token.GETPROP	GT
com.google.javascript.jscomp.ClosureCodingConvention#String#extractClassNameIfRequire#?,Node,Node#185	0.11111111111111116	0.0	0.11111111111111116		_
com.google.javascript.jscomp.Compiler#Node#parseTestCode#?,String#1326	0.0014326647564469885	0.0014326647564469885	0.0028411154606723388	inputsById == null	_
com.google.javascript.jscomp.Compiler#void#initCompilerOptionsIfTesting#?#1308	0.0022371364653244186	0.0022371364653244186	0.002492368726682237	options == null	_
com.google.javascript.jscomp.Compiler#void#initOptions#?,CompilerOptions#247	0.001210653753026647	0.001210653753026647	0.0023940857056893305	!options.checkTypes	_
com.google.javascript.jscomp.DiagnosticGroup#DiagnosticGroup#forType#?,DiagnosticType#72	0.0011614401858304202	0.001204819277108471	0.002366259462938891	!(!singletons.containsKey(type))	_
com.google.javascript.jscomp.DiagnosticGroup#boolean#isSubGroup#?,DiagnosticGroup#119	0.0011185682326622093	0.0011185682326622093	0.0022371364653244186	!matches(type)	_
com.google.javascript.jscomp.parsing.ParserRunner#Node#parse#?,StaticSourceFile,String,Config,ErrorReporter,Logger#120	1.6716817118023197E-4	0.0015948963317384823	0.0017614519613187163	!(config.isIdeMode || config.languageMode != LanguageMode.ECMASCRIPT3)	_
com.google.javascript.jscomp.NodeUtil#boolean#isExprCall#?,Node#1605	0.0017152658662092923	0.0	0.0017152658662092923		_
com.google.javascript.jscomp.Compiler#Config#getParserConfig#?#1769	0.001468428781204123	1.691474966170059E-4	0.001468428781204123		_
com.google.javascript.jscomp.DiagnosticGroupWarningsGuard#boolean#enables#?,DiagnosticGroup#50	3.793626707132569E-4	0.0011185682326622093	0.0012936689155548242	!(level.isOn())	_
com.google.javascript.jscomp.parsing.IRFactory#?#IRFactory#?,String,StaticSourceFile,Config,ErrorReporter#140	0.0011709601873536313	0.0	0.0011709601873536313		_
com.google.javascript.jscomp.PrepareAst$PrepareAnnotations#void#annotateCalls#?,Node#181	3.278688524590567E-4	8.347245409014992E-4	0.001162593393360556	!(!NodeUtil.isGet(first))	_
com.google.javascript.jscomp.CompilerOptions#boolean#disables#?,DiagnosticGroup#1008	0.0011614401858304202	0.0	0.0011614401858304202		_
com.google.javascript.jscomp.parsing.TypeSafeDispatcher#T#process#?,AstNode#257	8.438818565400519E-4	1.8494544109493027E-4	8.438818565400519E-4		_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processStringLiteral#?,StringLiteral#865	8.438818565400519E-4	0.0	8.438818565400519E-4		_
com.google.javascript.jscomp.parsing.IRFactory#Node#newStringNode#?,String#1288	8.116883116883189E-4	0.0	8.116883116883189E-4		_
com.google.javascript.rhino.Node#Node#newString#?,String#608	7.917656373713777E-4	0.0	7.917656373713777E-4		_
com.google.javascript.jscomp.ComposeWarningsGuard#boolean#enables#?,DiagnosticGroup#144	4.022526146419958E-4	3.793626707132569E-4	7.587253414265138E-4	!(guard.disables(group))	_
com.google.javascript.rhino.Node#String#getQualifiedName#?#1943	3.032140691328067E-4	3.032140691328067E-4	6.063362273626138E-4	!(left == null)	_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processFunctionCall#?,FunctionCall#590	5.205622071837723E-4	0.0	5.205622071837723E-4		_
com.google.javascript.jscomp.parsing.IRFactory#Node#transformNameAsString#?,Name#276	2.442598925256334E-4	2.448579823701724E-4	4.891178748958058E-4	!(jsDocInfo != null)	_
