line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.dfp.Dfp#Dfp#newInstance#?,Dfp#595	0.0	0.0	0.0	!(field.getRadixDigits() != d.field.getRadixDigits())	_
org.apache.commons.math.dfp.DfpField#Dfp#computePi#?,Dfp,Dfp,Dfp#615	0.0	0.0	0.0	i < 20	_
org.apache.commons.math.dfp.Dfp#String#toString#?#1955	0.0	0.0	0.0	!(nans != FINITE)	_
org.apache.commons.math.dfp.Dfp#?#Dfp#?,DfpField,long#240	0.0	0.0	0.0	!(isLongMin)	_
org.apache.commons.math.dfp.Dfp#void#shiftRight#?#679	0.0	0.0	0.0	i < mant.length - 1	_
org.apache.commons.math.dfp.DfpField#Dfp#computeExp#?,Dfp,Dfp#656	0.0	0.0	0.0	!(y.equals(py))	_
org.apache.commons.math.dfp.Dfp#boolean#lessThan#?,Dfp#754	0.0	0.0	0.0	!(field.getRadixDigits() != x.field.getRadixDigits())	_
org.apache.commons.math.dfp.Dfp#int#log10#?#1096	0.0	0.0	0.0	!(mant[mant.length - 1] > 1000)	_
org.apache.commons.math.dfp.DfpField#Dfp#computeLn#?,Dfp,Dfp,Dfp#740	0.0	0.0	0.0	!(y.equals(py))	_
org.apache.commons.math.dfp.Dfp#int#align#?,int#700	0.0	0.0	0.0	diff<lostdigit	_
org.apache.commons.math.dfp.Dfp#Dfp#add#?,Dfp#1303	0.0	0.0	0.0	excp != 0	_
org.apache.commons.math.dfp.Dfp#int#complement#?,int#1150	0.0	0.0	0.0	extra / RADIX!=extra	_
org.apache.commons.math.dfp.Dfp#Dfp#divide#?,Dfp#1727	0.0	0.0	0.0	trial + 1<=max	_
org.apache.commons.math.dfp.Dfp#double#toDouble#?#2366	0.0	0.0	0.0	!(exponent <= -1023)	GT
org.apache.commons.math.dfp.Dfp#void#shiftLeft#?#667	0.0	0.0	0.0	!(i > 0)	_
org.apache.commons.math.dfp.Dfp#boolean#greaterThan#?,Dfp#788	0.0	0.0	0.0	!(isNaN() || x.isNaN())	_
org.apache.commons.math.dfp.Dfp#int#compare#?,Dfp,Dfp#874	0.0	0.0	0.0	!(a.nans == INFINITE && b.nans == FINITE)	_
org.apache.commons.math.dfp.Dfp#String#dfp2string#?#2105	0.0	0.0	0.0	buffer[q] == '0'	_
org.apache.commons.math.dfp.Dfp#boolean#equals#?,Object#820	0.0	0.0	0.0	!(isNaN() || x.isNaN() || field.getRadixDigits() != x.field.getRadixDigits())	_
org.apache.commons.math.dfp.Dfp#Dfp#sqrt#?#1899	0.0	0.0	0.0	!(x.exp < -1 || x.exp > 1)	_
org.apache.commons.math.dfp.DfpField#void#setIEEEFlagsBits#?,int#328	0.0	0.0	0.0	bits & (FLAG_INVALID | FLAG_DIV_ZERO | FLAG_OVERFLOW| FLAG_UNDERFLOW| FLAG_INEXACT)>=bits	_
org.apache.commons.math.dfp.Dfp#boolean#unequal#?,Dfp#845	0.0	0.0	0.0	!(isNaN() || x.isNaN() || field.getRadixDigits() != x.field.getRadixDigits())	_
org.apache.commons.math.dfp.Dfp#Dfp#multiply#?,Dfp#1413	0.0	0.0	0.0	!(field.getRadixDigits() != x.field.getRadixDigits())	_
org.apache.commons.math.dfp.Dfp#Dfp#trunc#?,DfpField.RoundingMode#976	0.0	0.0	0.0	!(exp < 0)	_
org.apache.commons.math.dfp.Dfp#int#round#?,int#1390	0.0	0.0	0.0	!(exp > MAX_EXP)	_
org.apache.commons.math.dfp.Dfp#Dfp#divide#?,int#1797	0.0	0.0	0.0	!(nans != FINITE)	_
org.apache.commons.math.dfp.DfpField#Dfp[]#split#?,String#555	0.0	0.0	0.0	!(buf[i] >= '0' && buf[i] <= '9' && i < sp)	_
org.apache.commons.math.dfp.DfpMath#Dfp#pow#?,Dfp,int#249	0.0	0.0	0.0	invert	_
org.apache.commons.math.dfp.DfpField#void#computeStringConstants#?,int#570	0.0	0.0	0.0	sqr2String == null || sqr2String.length() < highPrecisionDecimalDigits - 3	_
org.apache.commons.math.dfp.Dfp#?#Dfp#?,DfpField,String#428	0.0	0.0	0.0	offset!=decimalPos	_
org.apache.commons.math.dfp.DfpField#?#DfpField#?,int,boolean#190	0.0	0.0	0.0	(decimalDigits < 13) ? 4 : (decimalDigits + 3) / 4!=decimalDigits	_
