line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.optimization.univariate.BrentOptimizer#double#localMin#?,boolean,UnivariateRealFunction,GoalType,double,double,double,double,double#165	0.0	0.7272727272727273	0.7272727272727273	tol1>=v	GT
org.apache.commons.math.exception.MathIllegalArgumentException#List<Object>#flatten#?,Object[]#107	0.0	0.6538461538461539	0.6538461538461539	!(array != null)	_
org.apache.commons.math.stat.descriptive.rank.Percentile#double#evaluate#?,double[],int,int,double#212	0.0	0.6511627906976745	0.6511627906976745	p * (n + 1) / 100>=p	_
org.apache.commons.math.stat.descriptive.moment.Mean#double#evaluate#?,double[],int,int#165	0.0	0.06319702602230483	0.06319702602230483	values[i] - xbar>xbar	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#void#setResult#?,double,double,int#126	0.0	0.05555555555555547	0.05555555555555547	x<fx	_
org.apache.commons.math.stat.descriptive.DescriptiveStatistics#void#addValue#?,double#144	0.0	0.021917808219178086	0.021917808219178086	!(windowSize != INFINITE_WINDOW)	_
org.apache.commons.math.util.ResizableDoubleArray#void#addElement#?,double#268	0.0	0.010706638115631686	0.010706638115631686	(startIndex + numElements) > internalArray.length	_
org.apache.commons.math.util.ResizableDoubleArray#boolean#shouldContract#?#771	0.0	0.0018903591682419643	0.0018903591682419643	expansionMode == MULTIPLICATIVE_MODE	_
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic#boolean#test#?,double[],int,int#99	0.0	1.2911972626618036E-4	1.2911972626618036E-4	!(length == 0)	_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#double#optimize#?,UnivariateRealFunction,GoalType,double,double#256	0.0	0.0	0.0	optimizer.getIterationCount()!=i	_
org.apache.commons.math.util.ResizableDoubleArray#void#expand#?#481	0.0	0.0	0.0	expansionMode == MULTIPLICATIVE_MODE	_
org.apache.commons.math.stat.descriptive.summary.Sum#double#evaluate#?,double[],int,int#122	0.0	0.0	0.0	test(values,begin,length)	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#getResult#?#97	0.0	0.0	0.0	!resultComputed	_
org.apache.commons.math.stat.descriptive.rank.Percentile#void#setQuantile#?,double#250	0.0	0.0	0.0	!(p <= 0 || p > 100)	_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#double[]#getOptima#?#193	0.0	0.0	0.0	!(optima == null)	_
org.apache.commons.math.stat.descriptive.DescriptiveStatistics#double#getPercentile#?,double#380	0.0	0.0	0.0	percentileImpl instanceof Percentile	_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#double[]#getOptimaValues#?#219	0.0	0.0	0.0	optimaValues == null	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#computeObjectiveValue#?,UnivariateRealFunction,double#193	0.0	0.0	0.0	!(++evaluations > maxEvaluations)	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#getFunctionValue#?#105	0.0	0.0	0.0	!(functionValue == Double.NaN)	_
