line	original_score	max_predicate_score	total	predicate	label
org.joda.time.format.FormatUtils#void#appendPaddedInteger#?,StringBuffer,int,int#53	0.0	0.6179564324231965	0.6179564324231965	-value<=size	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#set#?,long,int#302	0.0	0.45243380116005866	0.45243380116005866	iChronology.getDayOfMonth(instant,thisYear)==thisYear	_
org.joda.time.chrono.BasicChronology#int#getDayOfMonth#?,long,int#458	0.0	0.45243380116005866	0.45243380116005866	getMonthOfYear(millis,year)==year	_
org.joda.time.chrono.BasicGJChronology#long#setYear#?,long,int#177	0.0	0.36728107136054444	0.36728107136054444	getMillisOfDay(instant)==year	_
org.joda.time.chrono.BasicGJChronology#int#getMonthOfYear#?,long,int#88	0.0	0.3659360611707377	0.3659360611707377	(int)((millis - getYearMillis(year)) >> 10)==year	_
org.joda.time.chrono.GregorianChronology#long#calculateFirstDayOfYearMillis#?,int#202	0.0	0.36092782284127495	0.36092782284127495	year / 100==year	_
org.joda.time.field.PreciseDurationDateTimeField#long#remainder#?,long#126	0.0	0.31750304523896944	0.31750304523896944	!(instant >= 0)	_
org.joda.time.chrono.BasicChronology#int#getDayOfMonth#?,long#449	0.0	0.2547244350892222	0.2547244350892222	getMonthOfYear(millis,year)>year	_
org.joda.time.LocalDate#LocalDate#fromCalendarFields#?,Calendar#207	0.0	0.25339584447728947	0.25339584447728947	!(calendar == null)	GT
org.joda.time.LocalDateTime#LocalDateTime#fromCalendarFields#?,Calendar#196	0.0	0.25339584447728947	0.25339584447728947	!(calendar == null)	GT
org.joda.time.chrono.BasicChronology#int#getYear#?,long#407	0.0	0.22126647325825655	0.22126647325825655	instant - yearStart>=i2	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#dayOfMonthElement#?#1604	0.0	0.19835781035240033	0.19835781035240033	!(dme == null)	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#monthElement#?#1594	0.0	0.17243353951372548	0.17243353951372548	!(mye == null)	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#yearMonthDay#?#1358	0.0	0.10196480926382576	0.10196480926382576	!(ymd == null)	_
org.joda.time.chrono.BasicChronology#int#getDayOfMonth#?,long,int,int#469	0.0	0.07531368901451536	0.07531368901451536	getTotalMillisByYearMonth(year,month)>millis	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#secondElement#?#1681	0.0	0.0705128205128205	0.0705128205128205	!(sme == null)	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#minuteElement#?#1671	0.0	0.062322946175637405	0.062322946175637405	!(mhe == null)	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#hourElement#?#1662	0.0	0.05555555555555555	0.05555555555555555	!(hde == null)	_
org.joda.time.LocalDateTime#LocalDateTime#fromDateFields#?,Date#233	0.0	0.04265048062891726	0.04265048062891726	!(date == null)	GT
org.joda.time.LocalDate#LocalDate#fromDateFields#?,Date#240	0.0	0.04265048062891726	0.04265048062891726	!(date == null)	GT
org.joda.time.chrono.BasicChronology#int#getMillisOfDay#?,long#551	0.0	0.04175753283226862	0.04175753283226862	!(instant >= 0)	_
org.joda.time.field.PreciseDateTimeField#int#get#?,long#79	0.0	0.0368138909141335	0.0368138909141335	!(instant >= 0)	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#yearElement#?#1585	0.0	0.036283574552410304	0.036283574552410304	!(ye == null)	_
org.joda.time.format.DateTimeFormatterBuilder$Fraction#void#printTo#?,StringBuffer,Writer,long,Chronology#1924	0.0	0.032084442178326504	0.032084442178326504	!(fraction == 0)	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#dateTime#?#953	0.0	0.026386901923382607	0.026386901923382607	dt == null	_
org.joda.time.LocalDate#boolean#isSupported#?,DateTimeFieldType#564	0.0	0.025223216106552097	0.025223216106552097	DATE_DURATION_TYPES.contains(durType) || durType.getField(getChronology()).getUnitMillis() >= getChronology().days().getUnitMillis()	_
org.joda.time.format.DateTimeFormatterBuilder$Composite#void#decompose#?,List<Object>,List<Object>,List<Object>#2719	0.0	0.022605563641208356	0.022605563641208356	element instanceof Composite	_
org.joda.time.LocalDate#int#get#?,DateTimeFieldType#545	0.0	0.018816086268461575	0.018816086268461575	!(isSupported(fieldType) == false)	_
org.joda.time.chrono.BasicChronology#int#getDayOfYear#?,long,int#485	0.0	0.017215196356488147	0.017215196356488147	getYearMillis(year)==instant	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#literalTElement#?#1653	0.0	0.012715712988192558	0.012715712988192558	lte == null	_
org.joda.time.chrono.BasicChronology#YearInfo#getYearInfo#?,int#739	0.0	0.01106262112941274	0.01106262112941274	info == null || info.iYear != year	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#tTime#?#916	0.0	0.010787486515641855	0.010787486515641855	tt == null	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#offsetElement#?#1703	0.0	0.009094088842252535	0.009094088842252535	ze == null	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#time#?#879	0.0	0.009029345372460496	0.009029345372460496	t == null	_
org.joda.time.LocalDateTime#boolean#equals#?,Object#668	0.0	0.006129478559426838	0.006129478559426838	iChronology.equals(other.iChronology)	_
org.joda.time.format.DateTimeFormatterBuilder#boolean#isPrinter#?,Object#1129	0.0	0.004592310322927355	0.004592310322927355	!(f instanceof Composite)	_
org.joda.time.LocalDate#boolean#equals#?,Object#627	0.0	0.004289157593788	0.004289157593788	iChronology.equals(other.iChronology)	_
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset#int#estimatePrintedLength#?#2101	0.0	0.004140786749482404	0.004140786749482404	iShowSeparators	_
org.joda.time.format.DateTimeFormatterBuilder#boolean#isParser#?,Object#1139	0.0	0.0039447731755424065	0.0039447731755424065	!(f instanceof Composite)	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#hourMinuteSecondFraction#?#1482	0.0	0.0036429872495446275	0.0036429872495446275	hmsf == null	_
org.joda.time.format.DateTimeFormatterBuilder#Object#getFormatter#?#1104	0.0	0.0034498207885304655	0.0034498207885304655	iElementPairs.size() == 2	_
org.joda.time.chrono.BasicGJChronology#int#getDaysInYearMonth#?,int,int#120	0.0	0.0017440750576204036	0.0017440750576204036	!(isLeapYear(year))	_
org.joda.time.chrono.BasicGJChronology#long#getTotalMillisByYearMonth#?,int,int#139	0.0	0.0012711628565705375	0.0012711628565705375	!(isLeapYear(year))	_
org.joda.time.chrono.AssembledChronology#long#getDateTimeMillis#?,int,int,int,int#118	0.0	0.001007218214389215	0.001007218214389215	(base=iBase) != null && (iBaseFlags & 6) == 6	_
org.joda.time.format.DateTimeFormatterBuilder$Composite#?#Composite#?,List<Object>#2579	0.0	9.326077286177714E-4	9.326077286177714E-4	!(printerList.contains(null) || printerList.isEmpty())	_
org.joda.time.DateTimeUtils#Chronology#getChronology#?,Chronology#282	0.0	8.068129955304744E-4	8.068129955304744E-4	!(chrono == null)	_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatter#toFormatter#?#107	0.0	4.5720631327622705E-4	4.5720631327622705E-4	isPrinter(f)	_
org.joda.time.chrono.AssembledChronology#long#getDateTimeMillis#?,int,int,int,int,int,int,int#131	0.0	1.9666810734224202E-4	1.9666810734224202E-4	(base=iBase) != null && (iBaseFlags & 5) == 5	_
org.joda.time.field.FieldUtils#void#verifyValueBounds#?,DateTimeField,int,int,int#217	0.0	1.3276586955790144E-5	1.3276586955790144E-5	!((value < lowerBound) || (value > upperBound))	_
org.joda.time.field.FieldUtils#void#verifyValueBounds#?,DateTimeFieldType,int,int,int#235	0.0	1.102818854430844E-5	1.102818854430844E-5	!((value < lowerBound) || (value > upperBound))	_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#append#?,DateTimeFormatter#210	0.0	0.0	0.0	!(formatter == null)	_
org.joda.time.LocalDateTime#int#get#?,DateTimeFieldType#597	0.0	0.0	0.0	!(type == null)	_
org.joda.time.format.DateTimeFormatter#DateTimePrinter#requirePrinter#?#658	0.0	0.0	0.0	!(printer == null)	_
org.joda.time.chrono.BaseChronology#long#set#?,ReadablePartial,long#239	0.0	0.0	0.0	!(i < isize)	_
org.joda.time.format.DateTimeFormatter#void#printTo#?,StringBuffer,ReadablePartial#534	0.0	0.0	0.0	!(partial == null)	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#fractionElement#?#1691	0.0	0.0	0.0	fse == null	_
org.joda.time.format.DateTimeFormatterBuilder$Fraction#?#Fraction#?,DateTimeFieldType,int,int#1861	0.0	0.0	0.0	!(maxDigits > 18)	_
org.joda.time.chrono.BasicChronology#long#getDateTimeMillis#?,int,int,int,int#153	0.0	0.0	0.0	!((base=getBase()) != null)	_
org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber#void#printTo#?,StringBuffer,ReadablePartial,Locale#1457	0.0	0.0	0.0	partial.isSupported(iFieldType)	_
org.joda.time.format.DateTimeFormatterBuilder$Fraction#long[]#getFractionData#?,long,DateTimeField#2016	0.0	0.0	0.0	((rangeMillis * scalar) / scalar) == rangeMillis	_
org.joda.time.format.DateTimeFormatterBuilder$Composite#void#addArrayToList#?,List<Object>,Object[]#2735	0.0	0.0	0.0	array != null	_
org.joda.time.LocalDateTime#boolean#isSupported#?,DateTimeFieldType#612	0.0	0.0	0.0	!(type == null)	_
