line	original_score	max_predicate_score	total	predicate	label
org.joda.time.chrono.BasicMonthOfYearDateTimeField#int[]#add#?,ReadablePartial,int,int[],int#206	4.923076923076923	4.923076923076923	9.846153846153847	!(valueToAdd == 0)	GT
org.joda.time.MonthDay#MonthDay#withFieldAdded#?,DurationFieldType,int#515	4.923076923076923	4.923076923076923	8.478632478632479	!(amount == 0)	_
org.joda.time.chrono.BasicDayOfMonthDateTimeField#int#getMaximumValue#?,ReadablePartial,int[]#82	1.1428571428571428	7.111111111111111	7.558663558663558	values[i]==size	_
org.joda.time.DateTimeUtils#boolean#isContiguous#?,ReadablePartial#341	2.0	2.0	3.8823529411764706	!(loopField.getRangeDurationField().getType() != lastType)	_
org.joda.time.chrono.BasicChronology#int#getDayOfMonth#?,long,int,int#469	0.04730229120473023	2.206896551724138	2.254198842928868	getTotalMillisByYearMonth(year,month)==millis	_
org.joda.time.base.AbstractPartial#int#indexOfSupported#?,DurationFieldType#220	0.9552238805970149	0.9552238805970149	1.7081650570676032	!(index == -1)	_
org.joda.time.chrono.BaseChronology#void#validate#?,ReadablePartial,int[]#200	0.125	1.4222222222222223	1.5472222222222223	values[i]==size	_
org.joda.time.base.AbstractPartial#int#indexOf#?,DurationFieldType#203	0.8205128205128205	0.8205128205128205	1.4871794871794872	getFieldType(i).getDurationType() == type	_
org.joda.time.chrono.BasicGJChronology#int#getDaysInMonthMax#?,int#129	1.1428571428571428	0.0	1.1428571428571428		_
org.joda.time.chrono.BasicChronology#int#getDaysInMonthMax#?,long#576	0.5203252032520326	0.5245901639344263	1.0449153671864588	getMonthOfYear(instant,thisYear)<=thisYear	_
org.joda.time.MonthDay#?#MonthDay#?,int,int,Chronology#352	0.9142857142857143	0.0	0.9142857142857143		_
org.joda.time.MonthDay#MonthDay#plusMonths#?,int#592	0.9	0.0	0.9		_
org.joda.time.MonthDay#MonthDay#minusMonths#?,int#652	0.9	0.0	0.9		_
org.joda.time.MonthDay#DateTimeField#getField#?,int,Chronology#412	0.8767123287671232	0.0	0.8767123287671232		_
org.joda.time.field.FieldUtils#int#safeNegate#?,int#49	0.36363636363636365	0.36363636363636365	0.7272727272727273	!(value == Integer.MIN_VALUE)	_
org.joda.time.IllegalFieldValueException#String#createMessage#?,String,Number,Number,Number,String#50	0.37894736842105264	0.37894736842105264	0.703271692745377	!(upperBound == null)	_
org.joda.time.MonthDay#DateTimeFieldType#getFieldType#?,int#426	0.6808510638297872	0.0	0.6808510638297872		_
org.joda.time.MonthDay#int#size#?#395	0.6464646464646465	0.0	0.6464646464646465		_
org.joda.time.format.ISODateTimeFormat#boolean#dateByMonth#?,DateTimeFormatterBuilder,Collection<DateTimeFieldType>,boolean,boolean#326	0.3076923076923077	0.3076923076923077	0.5934065934065934	fields.remove(DateTimeFieldType.dayOfMonth())	_
org.joda.time.field.FieldUtils#void#verifyValueBounds#?,DateTimeField,int,int,int#217	0.48	0.48	0.5281565086531226	(value < lowerBound) || (value > upperBound)	_
org.joda.time.field.BaseDateTimeField#int[]#add#?,ReadablePartial,int,int[],int#323	0.23529411764705882	0.2857142857142857	0.5210084033613445	(max + 1) - values[fieldIndex]<=fieldIndex	_
org.joda.time.base.BasePartial#int[]#getValues#?#237	0.4740740740740741	0.0	0.4740740740740741		_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#add#?,long,int#139	0.19047619047619047	0.19047619047619047	0.38095238095238093	maxDay>thisMonth	_
org.joda.time.chrono.BasicChronology#int#getDaysInMonthMax#?#565	0.34972677595628415	0.0	0.34972677595628415		_
org.joda.time.base.AbstractPartial#boolean#equals#?,Object#266	0.3076923076923077	0.3076923076923077	0.3427800269905533	getValue(i) != other.getValue(i) || getFieldType(i) != other.getFieldType(i)	_
org.joda.time.format.ISODateTimeFormat#void#appendSeparator#?,DateTimeFormatterBuilder,boolean#549	0.16666666666666666	0.16666666666666666	0.3333333333333333	extended	_
org.joda.time.MonthDay#String#toString#?#783	0.3333333333333333	0.0	0.3333333333333333		_
org.joda.time.IllegalFieldValueException#?#IllegalFieldValueException#?,DateTimeFieldType,Number,Number,Number#110	0.3130434782608696	0.0	0.3130434782608696		_
