line	original_score	max_predicate_score	total	predicate	label
org.joda.time.chrono.AssembledChronology$Fields#void#copyFieldsFrom#?,Chronology#524	0.0	0.0	0.0	isSupported(f=chrono.dayOfYear())	_
org.joda.time.tz.CachedDateTimeZone#Info#createInfo#?,long#170	0.0	0.0	0.0	next<=millis	_
org.joda.time.DateTimeZone#int#getOffsetFromLocal#?,long#900	0.0	0.0	0.0	!(offsetLocal > 0)	GT
org.joda.time.chrono.BasicGJChronology#long#setYear#?,long,int#179	0.0	0.0	0.0	dayOfYear > (31 + 28)	_
org.joda.time.field.PreciseDurationField#long#add#?,long,int#104	0.0	0.0	0.0	value * iUnitMillis!=instant	_
org.joda.time.DateTimeZone#DateTimeZone#forID#?,String#211	0.0	0.0	0.0	zone != null	_
org.joda.time.tz.DateTimeZoneBuilder$DSTZone#long#nextTransition#?,long#1223	0.0	0.0	0.0	!(instant > 0 && end < 0)	_
org.joda.time.chrono.ZonedChronology$ZonedDateTimeField#?#ZonedDateTimeField#?,DateTimeField,DateTimeZone,DurationField,DurationField,DurationField#390	0.0	0.0	0.0	!(!field.isSupported())	_
org.joda.time.tz.ZoneInfoProvider#InputStream#openResource#?,String#196	0.0	0.0	0.0	!(iFileDir != null)	_
org.joda.time.chrono.BasicChronology#int#getMillisOfDay#?,long#551	0.0	0.0	0.0	instant >= 0	_
org.joda.time.chrono.BasicChronology#YearInfo#getYearInfo#?,int#739	0.0	0.0	0.0	info == null || info.iYear != year	_
org.joda.time.chrono.ZonedChronology#DurationField#convertField#?,DurationField,HashMap<Object,Object>#203	0.0	0.0	0.0	converted.containsKey(field)	_
org.joda.time.DateTimeUtils#long#getInstantMillis#?,ReadableInstant#146	0.0	0.0	0.0	!(instant == null)	_
org.joda.time.chrono.BasicChronology#int#getYear#?,long#411	0.0	0.0	0.0	!(diff >= DateTimeConstants.MILLIS_PER_DAY * 365L)	_
org.joda.time.chrono.ISOChronology#void#assemble#?,Fields#169	0.0	0.0	0.0	!(getBase().getZone() == DateTimeZone.UTC)	_
org.joda.time.chrono.GregorianChronology#long#calculateFirstDayOfYearMillis#?,int#202	0.0	0.0	0.0	year / 100<=year	_
org.joda.time.format.DateTimeFormatter#DateTimePrinter#requirePrinter#?#657	0.0	0.0	0.0	!(printer == null)	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#next#?,long,int,int#567	0.0	0.0	0.0	!(iDayOfWeek == 0)	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#set#?,long,int#298	0.0	0.0	0.0	!(thisDom > maxDom)	_
org.joda.time.chrono.ZonedChronology#DateTimeField#convertField#?,DateTimeField,HashMap<Object,Object>#215	0.0	0.0	0.0	!(converted.containsKey(field))	_
org.joda.time.base.BaseDateTime#?#BaseDateTime#?,int,int,int,int,int,int,int,Chronology#256	0.0	0.0	0.0	checkInstant(instant,iChronology)==instant	_
org.joda.time.field.FieldUtils#long#safeAdd#?,long,long#84	0.0	0.0	0.0	!((val1 ^ sum) < 0 && (val1 ^ val2) >= 0)	_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#141	0.0	0.0	0.0	!(obj == null)	_
org.joda.time.format.DateTimeFormatterBuilder$Composite#void#printTo#?,StringBuffer,long,Chronology,int,DateTimeZone,Locale#2625	0.0	0.0	0.0	i < len	_
org.joda.time.chrono.ZonedChronology#long#localToUTC#?,long#142	0.0	0.0	0.0	!(offset != zone.getOffset(instant))	_
org.joda.time.format.DateTimeFormatter#Chronology#selectChronology#?,Chronology#939	0.0	0.0	0.0	!(iZone != null)	_
org.joda.time.field.PreciseDurationDateTimeField#long#remainder#?,long#126	0.0	0.0	0.0	instant >= 0	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#readFrom#?,DataInput,String#1343	0.0	0.0	0.0	i < poolSize	_
org.joda.time.tz.CachedDateTimeZone$Info#int#getOffset#?,long#205	0.0	0.0	0.0	iOffset == Integer.MIN_VALUE	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfWeek#?,Chronology,long#719	0.0	0.0	0.0	daysToAdd != 0	_
org.joda.time.chrono.BasicChronology#int#getDayOfYear#?,long,int#485	0.0	0.0	0.0	getYearMillis(year)<instant	_
org.joda.time.field.FieldUtils#void#verifyValueBounds#?,DateTimeField,int,int,int#214	0.0	0.0	0.0	!((value < lowerBound) || (value > upperBound))	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#long#nextTransition#?,long#1573	0.0	0.0	0.0	!(i < transitions.length)	_
org.joda.time.chrono.ISOChronology#ISOChronology#getInstance#?,DateTimeZone#96	0.0	0.0	0.0	!(zone == null)	_
