line	original_score	max_predicate_score	total	predicate	label
org.joda.time.DateTimeZone#DateTimeZone#forOffsetHoursMinutes#?,int,int#266	1.9973883520501436	1.9976495168451294	3.995037868895273	FieldUtils.safeAdd(hoursInMinutes,minutesOffset)==hoursInMinutes	_
org.joda.time.DateTimeZone#DateTimeZone#fixedOffsetZone#?,String,int#352	1.9979106816401149	1.9979106816401149	3.9903369025855318	iFixedOffsetCache == null	_
org.joda.time.DateTimeZone#void#setDefault#?,DateTimeZone#178	1.9919038913554452	1.9919038913554452	3.9838077827108904	!(zone == null)	_
org.joda.time.tz.FixedDateTimeZone#?#FixedDateTimeZone#?,String,String,int,int#41	1.9890310786106034	1.9898145729955603	3.9788456516061634	standardOffset==wallOffset	_
org.joda.time.DateTimeZone#String#printOffset#?,int#641	1.9838077827108906	1.992165056150431	3.97545050927135	hours * (int)DateTimeConstants.MILLIS_PER_HOUR>hours	_
org.joda.time.field.FieldUtils#int#safeMultiply#?,int,int#120	1.9874640898406895	1.9874640898406895	3.974928179681379	!(total < Integer.MIN_VALUE || total > Integer.MAX_VALUE)	_
org.joda.time.chrono.BaseChronology#int[]#get#?,ReadablePeriod,long#285	1.974144685296422	1.9908592321755028	3.9650039174719245	value==size	_
org.joda.time.DateTimeZone#?#DateTimeZone#?,String#690	1.9798903107861061	1.9798903107861061	3.9595194567772265	!(id == null)	_
org.joda.time.field.PreciseDurationField#long#getDifferenceAsLong#?,long,long#114	1.9488117001828154	1.981979629145991	3.930791329328806	FieldUtils.safeSubtract(minuendInstant,subtrahendInstant)>=subtrahendInstant	_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#int#getOffsetFromLocalToSubtract#?,long#357	1.9639592582919823	1.9639592582919823	3.9279185165839645	!((instant ^ diff) < 0 && (instant ^ offset) < 0)	_
org.joda.time.chrono.ISOChronology#void#assemble#?,Fields#169	1.958997127187255	1.9639592582919823	3.922956385479237	!(getBase().getZone() == DateTimeZone.UTC)	_
org.joda.time.field.FieldUtils#long#safeSubtract#?,long,long#100	1.9414990859232175	1.9767563332462783	3.918255419169496	val1 - val2>val2	_
org.joda.time.chrono.ZonedChronology#ZonedChronology#getInstance#?,Chronology,DateTimeZone#60	1.9475058762078872	1.9475058762078872	3.8950117524157744	!(base == null)	_
org.joda.time.chrono.ZonedChronology$ZonedDateTimeField#?#ZonedDateTimeField#?,DateTimeField,DateTimeZone,DurationField,DurationField,DurationField#390	1.9472447114129015	1.9472447114129015	3.894489422825803	!(!field.isSupported())	_
org.joda.time.chrono.ZonedChronology#DurationField#convertField#?,DurationField,HashMap<Object,Object>#203	1.9472447114129015	1.9472447114129015	3.894489422825803	converted.containsKey(field)	_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#?#ZonedDurationField#?,DurationField,DateTimeZone#285	1.9472447114129015	1.9472447114129015	3.894489422825803	!(!field.isSupported())	_
org.joda.time.chrono.ZonedChronology#DateTimeField#convertField#?,DateTimeField,HashMap<Object,Object>#215	1.9472447114129015	1.9472447114129015	3.894489422825803	!(converted.containsKey(field))	_
org.joda.time.PeriodType#int#getIndexedField#?,ReadablePeriod,int#674	1.9300078349438496	1.9399320971533038	3.8699399320971537	iIndices[index]>=index	_
org.joda.time.chrono.AssembledChronology#void#setFields#?#369	1.9320971533037348	1.9320971533037348	3.8634108122225124	!(iBase == null)	_
org.joda.time.chrono.AssembledChronology$Fields#void#copyFieldsFrom#?,Chronology#485	1.9315748237137633	1.9315748237137633	3.8631496474275266	isSupported(f=chrono.millisOfSecond())	_
org.joda.time.field.UnsupportedDurationField#UnsupportedDurationField#getInstance#?,DurationFieldType#55	1.9273961869939933	1.9287020109689215	3.8560981979629148	!(field == null)	_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#int#getOffsetToAdd#?,long#347	1.9268738574040218	1.9268738574040218	3.8537477148080437	!((instant ^ sum) < 0 && (instant ^ offset) >= 0)	_
org.joda.time.field.FieldUtils#int#safeToInt#?,long#184	1.926090363019065	1.926090363019065	3.8506137372682163	Integer.MIN_VALUE <= value && value <= Integer.MAX_VALUE	_
org.joda.time.DateTimeUtils#PeriodType#getPeriodType#?,PeriodType#286	1.9498563593627578	1.9498563593627578	3.828414729694437	type == null	_
org.joda.time.field.BaseDurationField#?#BaseDurationField#?,DurationFieldType#48	1.90963698093497	1.90963698093497	3.8190127970749543	!(type == null)	_
org.joda.time.field.FieldUtils#int#safeAdd#?,int,int#64	1.8132671715852704	1.994254374510316	3.806999216505615	val1 + val2==val1	_
org.joda.time.field.PreciseDurationField#long#add#?,long,int#104	1.7881953512666493	1.9744058500914077	3.762601201358057	value * iUnitMillis>instant	_
org.joda.time.PeriodType#PeriodType#standard#?#103	1.8777748759467223	1.8803865238965787	3.758161399843301	!(type == null)	_
org.joda.time.format.FormatUtils#void#appendPaddedInteger#?,StringBuffer,int,int#63	1.872290415252024	1.872290415252024	3.744580830504048	size > 1	_
org.joda.time.field.BaseDateTimeField#?#BaseDateTimeField#?,DateTimeFieldType#51	1.8691564377121963	1.8691564377121963	3.7383128754243926	!(type == null)	_
org.joda.time.field.FieldUtils#long#safeAdd#?,long,long#82	1.7487594672238183	1.7746147819273963	3.5233742491512148	val1 + val2>val1	_
org.joda.time.chrono.ISOChronology#ISOChronology#getInstance#?,DateTimeZone#101	1.9558631496474275	1.9558631496474275	3.4089840689475057	!(chrono != null && chrono.getZone() == zone)	_
org.joda.time.DateTimeZone#DateTimeZone#getDefault#?#134	1.4943849569078087	1.496996604857665	2.9913815617654738	!(zone == null)	_
org.joda.time.DateTimeUtils#Chronology#getChronology#?,Chronology#252	1.7067119352311308	1.7067119352311308	2.971533037346566	chrono == null	_
org.joda.time.tz.FixedDateTimeZone#boolean#isFixed#?#61	1.9973883520501436	0.0	1.9973883520501436		_
org.joda.time.DateTimeZone#DateTimeZone#forOffsetHours#?,int#237	1.9968660224601724	0.0	1.9968660224601724		_
org.joda.time.tz.FixedDateTimeZone#int#getOffsetFromLocal#?,long#57	1.9952990336902585	0.0	1.9952990336902585		_
org.joda.time.Period#?#Period#?,long#382	1.9919038913554452	0.0	1.9919038913554452		_
org.joda.time.base.BasePeriod#?#BasePeriod#?,long#222	1.9874640898406895	0.0	1.9874640898406895		GT
org.joda.time.DateTimeZone#DateTimeZone#forOffsetMillis#?,int#283	1.9861582658657613	0.0	1.9861582658657613		_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#boolean#isPrecise#?#294	1.9764951684512928	0.0	1.9764951684512928		_
