line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.renderer.category.StatisticalBarRenderer#void#drawItem#?,Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int,int#200	0.8944271909999159	0.8944271909999159	0.8944271909999159	!(!(data instanceof StatisticalCategoryDataset))	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Number#getMeanValue#?,int,int#110	0.8164965809277261	0.8164965809277261	0.8164965809277263	masd != null	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Number#getStdDevValue#?,int,int#172	0.8164965809277261	0.8164965809277261	0.8164965809277263	masd != null	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#int#getColumnCount#?#273	0.8164965809277261	0.8164965809277261	0.8164965809277263	this.data.getColumnCount()!=0	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#int#getRowCount#?#264	0.8164965809277261	0.8164965809277261	0.8164965809277263	this.data.getRowCount()!=0	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Range#getRangeBounds#?,boolean#379	0.7559289460184544	0.7559289460184544	0.7559289460184544	!Double.isNaN(this.minimumRangeValueIncStdDev) && !Double.isNaN(this.maximumRangeValueIncStdDev)	_
org.jfree.chart.renderer.category.BarRenderer#double#getLowerClip#?#459	0.7071067811865475	0.7559289460184544	0.7168712141529289	this.lowerClip!=0	_
org.jfree.chart.renderer.category.BarRenderer#double#getUpperClip#?#470	0.7071067811865475	0.7071067811865475	0.7071067811865475	this.upperClip!=0	_
org.jfree.chart.renderer.category.StatisticalBarRenderer#void#drawHorizontalItem#?,Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,StatisticalCategoryDataset,int,int#354	0.7071067811865475	0.7071067811865475	0.7071067811865475	!(entities != null)	GT
org.jfree.chart.renderer.category.BarRenderer#void#calculateBarWidth#?,CategoryPlot,Rectangle2D,int,CategoryItemRendererState#539	0.6324555320336759	0.8944271909999159	0.6848498638269239	!(rows > 1)	_
org.jfree.data.statistics.MeanAndStandardDeviation#Number#getMean#?#95	0.8164965809277261	0.0	0.653197264742181		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Comparable#getRowKey#?,int#246	0.8164965809277261	0.0	0.653197264742181		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Comparable#getColumnKey#?,int#215	0.8164965809277261	0.0	0.653197264742181		_
org.jfree.data.statistics.MeanAndStandardDeviation#Number#getStandardDeviation#?#104	0.8164965809277261	0.0	0.653197264742181		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Number#getValue#?,int,int#126	0.8164965809277261	0.0	0.653197264742181		_
