line	original_score	max_predicate_score	total	predicate	label
org.jfree.data.xy.XYSeries#XYDataItem#addOrUpdate#?,Number,Number#563	0.9995081160846039	0.9995081160846039	0.999114995881621	this.autoSort	GT
org.jfree.data.xy.XYSeries#int#indexOf#?,Number#590	0.9965669445806767	0.9990167158308751	0.9970568988307165	Collections.binarySearch(this.data,new XYDataItem(x,null))<0	_
org.jfree.data.xy.XYDataItem#int#compareTo#?,Object#187	0.9951028403525956	0.9951028403525956	0.9727473648339652	!(compare < 0.0)	_
org.jfree.data.xy.XYDataItem#?#XYDataItem#?,Number,Number#73	0.9517564402810305	0.9517564402810305	0.9517564402810306	!(x == null)	_
org.jfree.data.xy.XYSeries#int#getItemCount#?#186	0.9495327102803739	0.9499766245909304	0.9496214931424852	this.data.size()!=0	_
org.jfree.data.general.Series#void#fireSeriesChanged#?#313	0.8873362445414847	0.8873362445414847	0.8873362445414847	this.notify	_
org.jfree.data.general.Series#?#Series#?,Comparable,String#112	0.878133102852204	0.878133102852204	0.8781331028522041	!(key == null)	_
org.jfree.data.xy.XYSeries#XYDataItem#addOrUpdate#?,double,double#527	0.9995081160846039	0.0	0.7996064928676831		_
org.jfree.data.xy.XYDataItem#Number#getX#?#96	0.9553361542078044	0.0	0.7642689233662435		_
org.jfree.data.xy.XYSeries#?#XYSeries#?,Comparable,boolean,boolean#153	0.9495327102803739	0.0	0.7596261682242992		_
org.jfree.data.general.Series#void#notifyListeners#?,SeriesChangeEvent#326	0.8873362445414847	0.0	0.7098689956331878		_
org.jfree.data.general.SeriesChangeEvent#?#SeriesChangeEvent#?,Object#61	0.8873362445414847	0.0	0.7098689956331878		_
org.jfree.data.general.Series#?#Series#?,Comparable#102	0.878133102852204	0.0	0.7025064822817633		_
