line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.ScopedAliases$Traversal#void#fixTypeNode#?,Node#461	1.9978930734790623	1.9978930734790623	1.9978930734790623	!(endIndex == -1)	GT
com.google.javascript.jscomp.ScopedAliases$Traversal#void#findAliases#?,NodeTraversal#314	1.9957861469581248	1.999341585462207	1.9962865420068474	!(!aliases.containsKey(qNameRoot))	_
com.google.javascript.jscomp.ScopedAliases#void#hotSwapScript#?,Node,Node#120	1.9952594153278904	1.9948643666052146	1.9948643666052146	aliasDefinition.getParent().isVar() && aliasDefinition.getParent().hasOneChild()	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#visit#?,NodeTraversal,Node,Node#447	1.9978930734790623	1.997761390571504	1.9944956544640506	info != null	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#renameNamespaceShadows#?,NodeTraversal#352	1.9936792204371871	1.9939425862523044	1.9937318936002106	!(hasNamespaceShadows)	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#validateScopeCall#?,NodeTraversal,Node,Node#367	1.9938109033447458	1.9938109033447458	1.993705557018699	!(preprocessorSymbolTable != null)	_
com.google.javascript.rhino.JSDocInfo#Collection<Node>#getTypeNodes#?#1472	1.9932841717145116	1.9932841717145116	1.9931788253884646	parameterType != null	_
com.google.javascript.rhino.SourcePosition#void#setPositionInformation#?,int,int,int,int#93	1.9913089281011325	1.9926257571767185	1.9913089281011325	!(startLineno > endLineno)	_
com.google.javascript.jscomp.NodeUtil#boolean#tryMergeBlock#?,Node#1832	1.9906505135633394	1.9906505135633394	1.9906505135633394	block.hasChildren()	_
com.google.javascript.jscomp.ScopedAliases$Traversal#boolean#shouldTraverse#?,NodeTraversal,Node,Node#265	1.9803792467737689	1.9936792204371871	1.9830392415064528	!(parent == null || !isCallToScopeMethod(parent))	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#exitScope#?,NodeTraversal#252	1.9936792204371871	1.9936792204371871	1.9755596523571244	t.getScopeDepth() == 2	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#enterScope#?,NodeTraversal#239	1.9936792204371871	1.9936792204371871	1.9755596523571244	n != null && isCallToScopeMethod(n)	_
com.google.javascript.rhino.Node#Node#removeFirstChild#?#1638	1.949828812220174	1.949828812220174	1.949723465894127	child != null	_
com.google.javascript.rhino.Node#void#addChildrenAfter#?,Node,Node#682	1.976033710824335	1.976033710824335	1.944851198314459	node == last	_
com.google.javascript.jscomp.Scope$Var#Node#getInitialValue#?#245	1.9391624967079273	1.9391624967079273	1.9387411114037398	pType == Token.VAR	_
com.google.javascript.rhino.Node#Node#getChildBefore#?,Node#559	1.9124308664735317	1.9125625493810903	1.9124572030550435	!(n == null)	_
com.google.javascript.rhino.Node$StringNode#void#setString#?,String#227	1.8825388464577297	1.8825388464577297	1.8825388464577297	!(null == str)	_
com.google.javascript.rhino.Node#void#replaceChild#?,Node,Node#730	1.8654200684751119	1.926125888859626	1.8444824861732947	!(child == last)	_
com.google.javascript.rhino.Node#Node#copyInformationFrom#?,Node#1739	1.843692388727943	1.843692388727943	1.8436923887279433	!(getProp(SOURCENAME_PROP) == null)	_
com.google.javascript.jscomp.NodeUtil#JSDocInfo#getFunctionJSDocInfo#?,Node#2829	1.7846984461416908	1.9104556228601528	1.8098498814853834	!(parent.isName())	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseParamTypeExpressionAnnotation#?,JsDocToken#1593	1.7084540426652621	1.722544113774032	1.7112720568870161	!(match(JsDocToken.EQUALS))	_
com.google.javascript.rhino.JSDocInfoBuilder#void#markName#?,String,StaticSourceFile,int,int#207	1.7066104819594416	1.7195154069001843	1.7091914669475905	!(currentMarker != null)	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseAndRecordParamTypeNode#?,JsDocToken#1122	1.7067421648670003	1.7114827495391098	1.7076902818014221	stream.getLineno()<startCharno	_
com.google.javascript.rhino.JSDocInfo#boolean#declareParam#?,JSTypeExpression,String#894	1.7067421648670003	1.7067421648670003	1.7067421648670003	!info.parameters.containsKey(parameter)	_
com.google.javascript.rhino.JSDocInfoBuilder#boolean#recordParameter#?,String,JSTypeExpression#267	1.7067421648670003	1.7067421648670003	1.7066368185409535	!hasAnySingletonTypeTags() && currentInfo.declareParam(type,parameterName)	_
com.google.javascript.jscomp.SyntacticScopeCreator#void#scanRoot#?,Node,Scope#100	1.6876481432710033	1.6909402159599685	1.6883065578087963	!(!fnName.isEmpty() && NodeUtil.isFunctionExpression(n))	_
com.google.javascript.jscomp.SyntacticScopeCreator#void#scanVars#?,Node,Node#129	1.6701343165657097	1.6701343165657097	1.6701343165657099	child != null	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#JsDocToken#getJsDocToken#?#163	1.8670002633658151	1.8670002633658151	1.6621016592046354	!isJSDocString(c2)	_
com.google.javascript.rhino.JSDocInfo#void#lazyInitInfo#?#622	1.655649196734264	1.655649196734264	1.655649196734264	info == null	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseTopLevelTypeExpression#?,JsDocToken#1641	1.6434026863313143	1.645772978667369	1.642401896233869	!(match(JsDocToken.PIPE))	_
com.google.javascript.rhino.Node#?#Node#?,int,int,int#446	1.61653937318936	1.7345272583618647	1.640136950223861	nodeType<charno	_
com.google.javascript.jscomp.AstValidator#void#validateVar#?,Node#397	1.6711877798261785	1.7608638398735845	1.6399262575717672	!(c.hasChildren())	_
