line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.lang3.math.NumberUtils#boolean#isNumber#?,String#1391	1.0	1.0	1.0	chars[i] == 'e' || chars[i] == 'E'	GT
org.apache.commons.lang3.math.NumberUtils#Number#createNumber#?,String#480	1.0	1.0	0.8		_
org.apache.commons.lang3.math.NumberUtils#boolean#isAllZeros#?,String#621	1.0	1.0	0.8		_
org.apache.commons.lang3.math.NumberUtils#Integer#createInteger#?,String#672	0.5773502691896258	1.0	0.6618802153517007	Integer.decode(str)==0	_
org.apache.commons.lang3.math.NumberUtils#Float#createFloat#?,String#638	0.5773502691896258	0.7071067811865475	0.6033015715890102	Float.valueOf(str)<0	_
org.apache.commons.lang3.math.NumberUtils#BigInteger#createBigInteger#?,String#701	0.5773502691896258	0.5773502691896258	0.5773502691896258	!(str == null)	_
org.apache.commons.lang3.math.NumberUtils#BigDecimal#createBigDecimal#?,String#721	0.5773502691896258	0.5773502691896258	0.5773502691896258	!(StringUtils.isBlank(str))	_
org.apache.commons.lang3.math.NumberUtils#Double#createDouble#?,String#654	0.5773502691896258	0.5773502691896258	0.5773502691896258	Double.valueOf(str)!=0	_
org.apache.commons.lang3.math.NumberUtils#Long#createLong#?,String#685	0.5	0.5	0.5	!(str == null)	_
org.apache.commons.lang3.math.NumberUtils#boolean#isDigits#?,String#1298	0.5	0.5	0.5	i < str.length()	_
org.apache.commons.lang3.StringUtils#boolean#isBlank#?,CharSequence#240	0.31622776601683794	0.31622776601683794	0.2529822128134704		_
org.apache.commons.lang3.StringUtils#boolean#isEmpty#?,CharSequence#199	0.09950371902099892	0.0	0.07960297521679914		_
