line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.analysis.solvers.BaseSecantSolver#double#doSolve#?#189	1.0	1.0	1.0	computeObjectiveValue(x0)!=ftol	GT
org.apache.commons.math.analysis.solvers.BaseSecantSolver#double#solve#?,int,UnivariateRealFunction,double,double,double#124	0.9951749095295537	0.9963811821471653	0.995416164053076	solve(maxEval,f,min,max,startValue,AllowedSolution.ANY_SIDE)!=0	_
org.apache.commons.math.analysis.solvers.BaseSecantSolver#double#solve#?,int,UnivariateRealFunction,double,double,double,AllowedSolution#117	0.987535182951347	0.9927623642943305	0.9885806192199438	super.solve(maxEval,f,min,max,startValue)>0	_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils#boolean#isBracketing#?,UnivariateRealFunction,double,double#309	0.9843184559710495	0.9963811821471653	0.9867310012062727	function.value(upper)>upper	_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils#void#verifyBracketing#?,UnivariateRealFunction,double,double#375	0.9843184559710495	0.9867310012062727	0.9848009650180942	!(!isBracketing(function,lower,upper))	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#solve#?,int,FUNC,double,double#195	0.9618013671089666	0.9682348210695617	0.9630880579010856	solve(maxEval,f,min,max,min + 0.5 * (max - min))>0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getRelativeAccuracy#?#134	0.9585846401286691	0.9585846401286691	0.9585846401286691	relativeAccuracy!=0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getAbsoluteAccuracy#?#128	0.9561720948934459	0.9561720948934459	0.956172094893446	absoluteAccuracy!=0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getFunctionValueAccuracy#?#140	0.9557700040209087	0.9557700040209087	0.9557700040209088	functionValueAccuracy>=0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getMin#?#110	0.950140731805388	0.9702452754322477	0.95416164053076	searchMin>0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#solve#?,int,FUNC,double,double,double#190	0.9493365500603136	0.9581825492561319	0.9511057498994773	doSolve()>0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#computeObjectiveValue#?,double#154	0.9497386409328509	0.9525532770406112	0.950301568154403	function.value(point)<0	_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils#void#verifyInterval#?,double,double#336	0.950140731805388	0.9509449135504624	0.9503015681544029	!(lower >= upper)	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getMax#?#116	0.950140731805388	0.9505428226779252	0.9502211499798956	searchMax>=0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#void#setup#?,int,FUNC,double,double,double#178	0.9493365500603136	0.9505428226779252	0.9495778045838359	startValue>min	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#?#BaseAbstractUnivariateRealSolver#?,double,double,double#94	0.9473260956976277	0.9505428226779252	0.9479694410936872	relativeAccuracy<absoluteAccuracy	_
org.apache.commons.math.util.FastMath#void#buildSinCosTables#?#1946	0.9372738238841978	0.9372738238841978	0.9372738238841978	i < 14	_
org.apache.commons.math.util.FastMath#void#resplit#?,double#1068	0.9372738238841978	0.9372738238841978	0.9372738238841978	c - a[0] + d==c	_
org.apache.commons.math.util.FastMath#double[]#slowLog#?,double#1781	0.9372738238841978	0.9372738238841978	0.9372738238841978	a[1]!=xi	_
org.apache.commons.math.util.FastMath#void#quadMult#?,double,double,double#1175	0.9372738238841978	0.9372738238841978	0.9372738238841978	result[1] - (tmp - result[0] - zs[1])!=tmp	_
