line	original_score	max_predicate_score	total	predicate	label
org.joda.time.format.DateTimeFormatter#int#parseInto#?,ReadWritableInstant,String,int#708	0.0	0.2142857142857143	0.042857142857142864	instantMillis + chrono.getZone().getOffset(instantMillis)<instantMillis	GT
org.joda.time.format.DateTimeParserBucket#long#computeMillis#?,boolean,String#357	0.0	0.12435659757548256	0.024871319515096513	compareReverse(first,months) >= 0 && compareReverse(first,days) <= 0	_
org.joda.time.chrono.BasicChronology#int#getYear#?,long#418	0.0	0.12264388037195276	0.02452877607439055	diff < 0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#set#?,long,int#304	0.0	0.12122837602252917	0.024245675204505837	thisDom > maxDom	_
org.joda.time.format.DateTimeParserBucket#int#compareReverse#?,DurationField,DurationField#520	0.0	0.0890380680064704	0.01780761360129408	-a.compareTo(b)==0	_
org.joda.time.field.BaseDurationField#int#compareTo#?,DurationField#149	0.0	0.07067518424344939	0.014135036848689879	thisMillis == otherMillis	_
org.joda.time.format.DateTimeParserBucket#void#sort#?,SavedField[],int#420	0.0	0.05575442282525244	0.011150884565050489	j > 0 && (array[j - 1]).compareTo(array[j]) > 0	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#long#previousTransition#?,long#1605	0.0	0.05574007220216606	0.011148014440433214	!(iTailZone != null)	_
org.joda.time.format.DateTimeParserBucket$SavedField#int#compareTo#?,SavedField#503	0.0	0.05521077009885799	0.0110421540197716	result>0	_
org.joda.time.field.FieldUtils#void#verifyValueBounds#?,DateTimeField,int,int,int#217	0.0	0.04962853606074035	0.00992570721214807	(value < lowerBound) || (value > upperBound)	_
org.joda.time.tz.CachedDateTimeZone#long#previousTransition#?,long#119	0.0	0.036221482454265035	0.0072442964908530074	iZone.previousTransition(instant)<0	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#int#getOffset#?,long#1536	0.0	0.02194111720586589	0.004388223441173178	iWallOffsets[i - 1]<0	_
org.joda.time.DateTimeZone#int#getOffsetFromLocal#?,long#928	0.0	0.013822488808856542	0.0027644977617713087	!(offsetLocal >= 0)	_
org.joda.time.tz.CachedDateTimeZone#Info#getInfo#?,long#142	0.0	0.013142920077829584	0.002628584015565917	period & cInfoCacheMask>period	_
org.joda.time.DateTimeZone#long#convertUTCToLocal#?,long#953	0.0	0.008321208069526919	0.0016642416139053839	instantUTC + offset<instantUTC	_
org.joda.time.chrono.BasicChronology#YearInfo#getYearInfo#?,int#748	0.0	0.007907780227667673	0.0015815560455335346	info == null || info.iYear != year	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#long#nextTransition#?,long#1573	0.0	0.006740579201805621	0.0013481158403611242	i < transitions.length	_
org.joda.time.IllegalFieldValueException#String#createMessage#?,String,Number,Number,Number,String#50	0.0	0.006057629015815113	0.0012115258031630228	!(upperBound == null)	_
