line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.plot.XYPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean#2517	1.0	1.0	1.0	!(marker == null)	GT
org.jfree.chart.plot.CategoryPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean#2440	1.0	1.0	1.0	layer == Layer.FOREGROUND	GT
org.jfree.chart.plot.CategoryPlot#boolean#removeDomainMarker#?,int,Marker,Layer,boolean#2158	1.0	1.0	1.0	layer == Layer.FOREGROUND	GT
org.jfree.chart.plot.XYPlot#boolean#removeDomainMarker#?,int,Marker,Layer,boolean#2285	1.0	1.0	1.0	layer == Layer.FOREGROUND	GT
org.jfree.chart.plot.XYPlot#boolean#removeDomainMarker#?,Marker,Layer#2248	1.0	0.0	0.6		_
org.jfree.chart.plot.CategoryPlot#boolean#removeDomainMarker#?,int,Marker,Layer#2139	1.0	0.0	0.6		_
org.jfree.chart.plot.CategoryPlot#boolean#removeDomainMarker#?,Marker,Layer#2122	1.0	0.0	0.6		_
org.jfree.chart.plot.CategoryPlot#boolean#removeDomainMarker#?,Marker#2106	1.0	0.0	0.6		_
org.jfree.chart.plot.CategoryPlot#boolean#removeRangeMarker#?,Marker,Layer#2396	1.0	0.0	0.6		_
org.jfree.chart.plot.XYPlot#boolean#removeRangeMarker#?,int,Marker,Layer#2498	1.0	0.0	0.6		_
org.jfree.chart.plot.CategoryPlot#boolean#removeRangeMarker#?,Marker#2378	1.0	0.0	0.6		_
org.jfree.chart.plot.XYPlot#boolean#removeDomainMarker#?,Marker#2232	1.0	0.0	0.6		_
org.jfree.chart.plot.CategoryPlot#boolean#removeRangeMarker#?,int,Marker,Layer#2415	1.0	0.0	0.6		_
org.jfree.chart.plot.XYPlot#boolean#removeRangeMarker#?,Marker#2465	1.0	0.0	0.6		_
org.jfree.chart.plot.XYPlot#boolean#removeDomainMarker#?,int,Marker,Layer#2265	1.0	0.0	0.6		_
org.jfree.chart.plot.XYPlot#boolean#removeRangeMarker#?,Marker,Layer#2481	1.0	0.0	0.6		_
org.jfree.chart.plot.CategoryPlot#ValueAxis#getRangeAxis#?,int#900	0.11111111111111116	0.1333333333333333	0.12000000000000002	!(parent instanceof CategoryPlot)	_
org.jfree.chart.plot.CategoryPlot#?#CategoryPlot#?#430	0.18181818181818177	0.0	0.10909090909090906		_
org.jfree.chart.plot.CategoryMarker#?#CategoryMarker#?,Comparable#80	0.16666666666666663	0.0	0.09999999999999998		_
org.jfree.chart.plot.CategoryMarker#?#CategoryMarker#?,Comparable,Paint,Stroke#91	0.125	0.0	0.075		_
org.jfree.chart.plot.CategoryMarker#?#CategoryMarker#?,Comparable,Paint,Stroke,Paint,Stroke,float#109	0.125	0.0	0.075		_
org.jfree.chart.plot.CategoryPlot#?#CategoryPlot#?,CategoryDataset,CategoryAxis,ValueAxis,CategoryItemRenderer#489	0.02941176470588236	0.1333333333333333	0.07098039215686273	!(rangeAxis != null)	_
org.jfree.chart.plot.CategoryPlot#void#datasetChanged#?,DatasetChangeEvent#1858	0.025974025974025983	0.1333333333333333	0.0689177489177489	!(yAxis != null)	_
org.jfree.chart.plot.CategoryPlot#void#configureRangeAxes#?#1147	0.022727272727272707	0.1333333333333333	0.06696969696969694	!(axis != null)	_
org.jfree.chart.plot.CategoryPlot#void#configureDomainAxes#?#869	0.02941176470588236	0.11111111111111116	0.062091503267973885	!(axis != null)	_
org.jfree.chart.plot.Marker#?#Marker#?,Paint#153	0.10344827586206895	0.0	0.062068965517241365		_
org.jfree.chart.plot.Marker#?#Marker#?#144	0.10344827586206895	0.0	0.062068965517241365		_
org.jfree.chart.plot.ValueMarker#?#ValueMarker#?,double#69	0.10344827586206895	0.0	0.062068965517241365		_
org.jfree.chart.plot.XYPlot#?#XYPlot#?#501	0.09999999999999998	0.0	0.059999999999999984		_
org.jfree.chart.plot.Marker#void#setLabelOffsetType#?,LengthAdjustmentType#490	0.05882352941176472	0.05882352941176472	0.05882352941176472	!(adj == null)	_
org.jfree.chart.plot.XYPlot#?#XYPlot#?,XYDataset,ValueAxis,ValueAxis,XYItemRenderer#564	0.02857142857142858	0.07999999999999996	0.049142857142857134	!(rangeAxis != null)	_
org.jfree.chart.plot.XYPlot#void#configureRangeAxes#?#1162	0.025974025974025983	0.07692307692307687	0.04635364635364634	!(axis != null)	_
org.jfree.chart.plot.XYPlot#void#configureDomainAxes#?#862	0.025974025974025983	0.07407407407407407	0.04521404521404522	!(axis != null)	_
org.jfree.chart.plot.Marker#?#Marker#?,Paint,Stroke,Paint,Stroke,float#181	0.03883495145631066	0.03883495145631066	0.03883495145631066	!(alpha < 0.0f || alpha > 1.0f)	_
org.jfree.chart.plot.CategoryPlot#void#addRangeMarker#?,int,Marker,Layer,boolean#2239	0.02941176470588236	0.02941176470588236	0.02941176470588236	!(layer == Layer.FOREGROUND)	_
org.jfree.chart.plot.CategoryPlot#void#setRangeAxisLocation#?,int,AxisLocation,boolean#1081	0.02941176470588236	0.02941176470588236	0.02941176470588236	!(index == 0 && location == null)	_
