line	original_score	max_predicate_score	total	predicate	label
org.jfree.data.category.DefaultIntervalCategoryDataset#?#DefaultIntervalCategoryDataset#?,Comparable[],Comparable[],Number[][],Number[][]#163	10.666666666666666	10.666666666666666	7.220512820512821	!(seriesCount > 0)	GT
org.jfree.data.DataUtilities#Number[][]#createNumberArray2D#?,double[][]#125	4.571428571428571	4.571428571428571	4.571428571428571	!(data == null)	_
org.jfree.data.category.DefaultIntervalCategoryDataset#?#DefaultIntervalCategoryDataset#?,Number[][],Number[][]#107	4.923076923076923	0.0	2.953846153846154		_
org.jfree.data.category.DefaultIntervalCategoryDataset#?#DefaultIntervalCategoryDataset#?,double[][],double[][]#91	4.923076923076923	0.0	2.953846153846154		_
org.jfree.data.category.DefaultIntervalCategoryDataset#int#getColumnCount#?#690	0.5	0.0	0.3	this.categoryKeys.length<=0	_
org.jfree.data.category.DefaultIntervalCategoryDataset#int#getSeriesIndex#?,Comparable#241	0.4444444444444444	0.0	0.26666666666666666		_
org.jfree.data.category.DefaultIntervalCategoryDataset#int#getCategoryIndex#?,Comparable#573	0.4	0.0	0.24		_
org.jfree.data.general.AbstractSeriesDataset#?#AbstractSeriesDataset#?#65	0.2549800796812749	0.0	0.15298804780876493		_
org.jfree.data.category.DefaultIntervalCategoryDataset#void#setCategoryKeys#?,Comparable[]#335	0.14285714285714285	0.14285714285714285	0.14285714285714285	!(categoryKeys == null)	GT
org.jfree.data.category.DefaultIntervalCategoryDataset#int#getColumnIndex#?,Comparable#625	0.1	0.1	0.1	!(columnKey == null)	_
org.jfree.data.general.AbstractDataset#?#AbstractDataset#?#95	0.14780600461893764	0.0	0.08868360277136259		_
org.jfree.data.general.DatasetGroup#?#DatasetGroup#?#64	0.14746543778801843	0.0	0.08847926267281106		_
org.jfree.data.category.DefaultIntervalCategoryDataset#int#getRowIndex#?,Comparable#641	0.14285714285714285	0.0	0.0857142857142857		_
org.jfree.data.category.DefaultIntervalCategoryDataset#Object#clone#?#746	0.125	0.0	0.075		_
org.jfree.data.general.AbstractDataset#Object#clone#?#206	0.024390243902439025	0.0	0.014634146341463414		_
