line	original_score	max_predicate_score	total	predicate	label
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#create#?,String,boolean,ArrayList<Transition>,DSTZone#1464	1.0	1.0	1.0	tailZone.iStartRecurrence.getSaveMillis() > 0	_
org.joda.time.tz.DateTimeZoneBuilder#boolean#addTransition#?,ArrayList<Transition>,Transition#419	0.9984806280070904	1.0	0.9990883768042542	transitions.get(size - 2).getWallOffset()>=size	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#int#getStandardOffset#?#918	0.9982273993416054	0.9997467713345151	0.9988351481387693	iStandardOffset>0	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#int#getWallOffset#?#914	0.9982273993416054	0.9997467713345151	0.9988351481387693	iWallOffset>0	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#DSTZone#buildTailZone#?,String#1144	0.9987338566725753	0.9987338566725753	0.9985819194732843	startRule.getToYear() == Integer.MAX_VALUE && endRule.getToYear() == Integer.MAX_VALUE	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#long#next#?,long,int,int#873	0.9984806280070904	0.9987338566725753	0.9985819194732843	next<0	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#boolean#isCachable#?#1690	0.9987338566725753	0.9987338566725753	0.9985819194732843	iTailZone != null	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#toDateTimeZone#?,String,boolean#397	0.9987338566725753	0.9987338566725753	0.9985819194732843	zone.isCachable()	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#int#getSaveMillis#?#839	0.9984806280070904	0.9984806280070904	0.9984806280070904	iRecurrence.getSaveMillis()!=0	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZoneBuilder#addRecurringSavings#?,String,int,int,int,char,int,int,int,boolean,int#309	0.9984806280070904	0.9984806280070904	0.9984806280070904	fromYear <= toYear	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#boolean#isTransitionFrom#?,Transition#929	0.9984806280070904	0.9984806280070904	0.9984806280070904	other == null	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#nextTransition#?,long,int#1110	0.9984806280070904	0.9984806280070904	0.9984806280070904	!(chrono.year().get(nextMillis) >= YEAR_LIMIT)	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#int#getToYear#?#827	0.9984806280070904	0.9984806280070904	0.9984806280070904	iToYear>=0	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#firstTransition#?,long#1043	0.9984806280070904	0.9984806280070904	0.9984806280070904	rule.getSaveMillis() == 0	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#void#addRule#?,Rule#994	0.9984806280070904	0.9984806280070904	0.9984806280070904	!iRules.contains(rule)	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#int#getSaveMillis#?#922	0.9982273993416054	0.9984806280070904	0.9983286908077994	iWallOffset - iStandardOffset>0	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#long#getMillis#?#906	0.9982273993416054	0.9982273993416054	0.9982273993416054	iMillis<=0	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZoneBuilder#addCutover#?,int,char,int,int,int,boolean,int#252	0.9982273993416054	0.9982273993416054	0.9982273993416054	!(iRuleSets.size() > 0)	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#long#getUpperLimit#?,int#1131	0.9982273993416054	0.9982273993416054	0.9982273993416054	iUpperYear == Integer.MAX_VALUE	_
org.joda.time.tz.DateTimeZoneBuilder#RuleSet#getLastRuleSet#?#320	0.9982273993416054	0.9982273993416054	0.9982273993416054	!(iRuleSets.size() == 0)	_
org.joda.time.PeriodType#PeriodType#yearMonthDay#?#164	0.9989870853380602	0.9989870853380602	0.9979235249430236	type == null	_
org.joda.time.chrono.BasicYearDateTimeField#long#add#?,long,int#59	0.9951886553557863	0.9987338566725753	0.9966067358825019	instant<0	_
org.joda.time.chrono.BasicGJChronology#long#getYearDifference#?,long,long#161	0.9974677133451507	0.9984806280070904	0.9920992656368701	!(minuendRem >= FEB_29 && isLeapYear(minuendYear))	_
org.joda.time.chrono.GregorianChronology#long#calculateFirstDayOfYearMillis#?,int#209	0.9906305393770575	0.9913902253735123	0.9909344137756394	((year + 3) >> 2) - leapYears + ((leapYears + 3) >> 2) - 1>year	_
org.joda.time.chrono.BasicChronology#int#getDayOfWeek#?,long#540	0.9906305393770575	0.9906305393770575	0.9906305393770575	7 + (int)((daysSince19700101 + 4) % 7)>=0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#getDifferenceAsLong#?,long,long#252	0.9805013927576601	0.9982273993416054	0.9875917953912382	(minuendYear - subtrahendYear) * ((long)iMax) + minuendMonth - subtrahendMonth>minuendInstant	_
org.joda.time.chrono.BasicChronology#int#getYear#?,long#402	0.9972144846796658	0.9972144846796658	0.9863256520638136	i2 - unitMillis + 1<unitMillis	_
org.joda.time.chrono.BasicYearDateTimeField#long#getDifferenceAsLong#?,long,long#91	0.9802481640921752	0.9946821980248164	0.9860217776652316	iChronology.getYearDifference(minuendInstant,subtrahendInstant)==0	_
org.joda.time.DateTimeUtils$SystemMillisProvider#long#getMillis#?#515	0.9855659660673588	0.9855659660673588	0.9855659660673588	System.currentTimeMillis()!=0	_
org.joda.time.field.ImpreciseDateTimeField$LinkedDurationField#int#getDifference#?,long,long#190	0.9787287920992657	0.9944289693593314	0.985008863003292	ImpreciseDateTimeField.this.getDifference(minuendInstant,subtrahendInstant)==0	_
org.joda.time.chrono.BaseChronology#int[]#get#?,ReadablePeriod,long,long#260	0.977209420106356	0.9954418840212712	0.9845024056723222	field.getDifference(endInstant,startInstant)==size	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#?#OfYear#?,char,int,int,int,boolean,int#505	0.9840465940744493	0.9840465940744493	0.9840465940744492	!(mode != 'u' && mode != 'w' && mode != 's')	_
org.joda.time.field.ImpreciseDateTimeField#int#getDifference#?,long,long#91	0.9767029627753862	0.9934160546973917	0.9833881995441884	FieldUtils.safeToInt(getDifferenceAsLong(minuendInstant,subtrahendInstant))==0	_
org.joda.time.tz.CachedDateTimeZone#CachedDateTimeZone#forZone#?,DateTimeZone#68	0.9827804507470246	0.9827804507470246	0.9826285135477335	!(zone instanceof CachedDateTimeZone)	_
org.joda.time.field.ImpreciseDateTimeField$LinkedDurationField#long#add#?,long,int#182	0.970119017472778	0.9979741706761205	0.981261078754115	ImpreciseDateTimeField.this.add(instant,value)<=0	_
org.joda.time.Period#int#getYears#?#704	0.9711319321347176	0.9883514813876931	0.9780197518359078	getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX)>0	_
org.joda.time.Period#int#getMonths#?#713	0.9711319321347176	0.9878450240567233	0.9778171689035199	getPeriodType().getIndexedField(this,PeriodType.MONTH_INDEX)>0	_
org.joda.time.DateTimeZone#?#DateTimeZone#?,String#690	0.9741706761205369	0.9741706761205369	0.974018738921246	!(id == null)	_
org.joda.time.field.PreciseDurationField#long#getDifferenceAsLong#?,long,long#114	0.9498607242339833	0.996454798683211	0.9684983540136745	FieldUtils.safeSubtract(minuendInstant,subtrahendInstant)>minuendInstant	_
org.joda.time.chrono.BasicChronology#int#getMillisOfDay#?,long#554	0.9607495568498354	0.9797417067612054	0.9683464168143834	(DateTimeConstants.MILLIS_PER_DAY - 1) + (int)((instant + 1) % DateTimeConstants.MILLIS_PER_DAY)!=0	_
org.joda.time.field.FieldUtils#long#safeSubtract#?,long,long#100	0.9427703216004052	0.9946821980248164	0.9635350721701696	val1 - val2>val1	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#next#?,long,int,int#583	0.9931628260319069	0.9987338566725753	0.9630286148391998	next - offset<0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfMonthNext#?,Chronology,long#683	0.9392251202836162	0.9987338566725753	0.9630286148391998	next<0	_
org.joda.time.tz.DateTimeZoneBuilder$Recurrence#long#next#?,long,int,int#761	0.9392251202836162	0.9987338566725753	0.9630286148391998	iOfYear.next(instant,standardOffset,saveMillis)<=0	_
org.joda.time.field.PreciseDateTimeField#int#get#?,long#82	0.9534059255507723	0.9716383894656875	0.9606989111167383	iRange - 1 + (int)(((instant + 1) / getUnitMillis()) % iRange)>0	_
org.joda.time.field.BaseDurationField#int#getDifference#?,long,long#141	0.9496074955684983	0.9594834135224107	0.9535578627500634	FieldUtils.safeToInt(getDifferenceAsLong(minuendInstant,subtrahendInstant))>0	_
org.joda.time.chrono.BasicChronology#long#getYearMonthMillis#?,int,int#373	0.9273233730058242	0.9908837680425424	0.9527475310205116	millis<0	_
org.joda.time.chrono.BaseChronology#int[]#get#?,ReadablePeriod,long#278	0.9399848062800709	0.9637883008356546	0.9492023297037224	!(duration != 0)	_
org.joda.time.field.FieldUtils#int#safeToInt#?,long#188	0.9278298303367941	0.9592301848569258	0.9403899721448468	(int)value==0	_
org.joda.time.PeriodType#int#getIndexedField#?,ReadablePeriod,int#675	0.9311218029880982	0.9430235502658901	0.935882501899215	(realIndex == -1 ? 0 : period.getValue(realIndex))==0	_
org.joda.time.tz.FixedDateTimeZone#int#hashCode#?#102	0.9351734616358571	0.9290959736642188	0.9327424664472017	getID().hashCode() + 37 * iStandardOffset + 31 * iWallOffset>0	_
org.joda.time.PeriodType#PeriodType#standard#?#103	0.9886047100531781	0.9886047100531781	0.9216004051658648	type == null	_
org.joda.time.DateTimeUtils#PeriodType#getPeriodType#?,PeriodType#316	0.9612560141808053	0.9612560141808053	0.9153709799949354	type == null	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfWeek#?,Chronology,long#725	0.8424917700683717	1.0	0.905495062041023	!(daysToAdd > 0)	_
org.joda.time.DateTimeUtils#long#currentTimeMillis#?#86	0.9032666497847557	0.9032666497847557	0.9032666497847557	cMillisProvider.getMillis()>0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfMonth#?,Chronology,long#713	0.8424917700683717	0.9987338566725753	0.9016459863256521	instant<=0	_
org.joda.time.chrono.BasicGJChronology#long#setYear#?,long,int#188	0.947075208913649	0.9959483413522411	0.8986072423398329	isLeapYear(year)	_
org.joda.time.field.BaseDateTimeField#long#add#?,long,int#253	0.8288174221321853	0.9956951126867561	0.8955684983540138	getDurationField().add(instant,value)<=0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#add#?,long,int#115	0.8280577361357305	0.9931628260319069	0.8940997720942011	(monthToUse % iMax) + 1<months	_
org.joda.time.field.MillisDurationField#long#add#?,long,int#117	0.8088123575588757	0.9949354266903013	0.883261585211446	FieldUtils.safeAdd(instant,value)<=0	_
org.joda.time.base.BasePeriod#int#getValue#?,int#329	0.8700936946062294	0.9025069637883009	0.883059002279058	iValues[index]==0	_
org.joda.time.field.FieldUtils#int#safeAdd#?,int,int#64	0.807546214231451	0.9918966827044822	0.8809825272220816	val1 + val2<val2	_
org.joda.time.base.AbstractPeriod#int#size#?#56	0.8700936946062294	0.8700936946062294	0.8700936946062294	getPeriodType().size()>=0	_
org.joda.time.field.PreciseDurationField#long#add#?,long,int#105	0.784755634337807	0.9873385667257534	0.8657888072929856	FieldUtils.safeAdd(instant,addition)<0	_
org.joda.time.chrono.BasicGJChronology#long#getTotalMillisByYearMonth#?,int,int#140	0.8257786781463662	0.9106102810838187	0.8597113193213473	MAX_TOTAL_MILLIS_BY_MONTH_ARRAY[month - 1]==0	_
org.joda.time.PeriodType#int#size#?#617	0.8594580906558622	0.8594580906558622	0.8594580906558622	iTypes.length>0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#set#?,long,int#309	0.769815143074196	0.9680931881488984	0.8491263611040769	iChronology.getYearMonthDayMillis(thisYear,month,thisDom) + iChronology.getMillisOfDay(instant)<0	_
org.joda.time.field.PreciseDurationDateTimeField#long#set#?,long,int#80	0.7644973410990124	0.9645479868321094	0.8445175993922511	instant + (value - get(instant)) * iUnitMillis<0	_
org.joda.time.chrono.BasicChronology#int#getDayOfYear#?,long,int#485	0.7417067612053685	0.9977209420106357	0.8441124335274754	getYearMillis(year)>instant	_
org.joda.time.chrono.BasicYearDateTimeField#long#set#?,long,int#84	0.7632311977715878	0.9612560141808053	0.8424411243352747	iChronology.setYear(instant,year)<0	_
org.joda.time.field.FieldUtils#long#safeAdd#?,long,long#82	0.7465181058495822	0.9825272220815396	0.8409217523423652	val1 + val2<val2	_
org.joda.time.tz.DateTimeZoneBuilder$Recurrence#int#getSaveMillis#?#776	0.8369207394277032	0.8369207394277032	0.8369207394277032	iSaveMillis>0	_
org.joda.time.field.PreciseDateTimeField#long#set#?,long,int#112	0.7366421878956697	0.970119017472778	0.830032919726513	instant + (value - get(instant)) * iUnitMillis<0	_
org.joda.time.chrono.BasicGJChronology#int#getDaysInYearMonth#?,int,int#121	0.8194479615092428	0.8194479615092428	0.8194479615092428	MAX_DAYS_PER_MONTH_ARRAY[month - 1]>0	_
org.joda.time.chrono.GJDayOfWeekDateTimeField#int#get#?,long#56	0.8141301595340593	0.8141301595340593	0.8141301595340593	iChronology.getDayOfWeek(instant)!=0	_
org.joda.time.chrono.BasicYearDateTimeField#int#get#?,long#54	0.6538364142820967	0.9868321093947835	0.7870346923271714	iChronology.getYear(instant)<0	_
org.joda.time.chrono.BasicChronology#int#getDayOfMonth#?,long,int,int#469	0.6573816155988859	0.9561914408711066	0.7769055457077743	getTotalMillisByYearMonth(year,month)>millis	_
org.joda.time.chrono.BasicGJChronology#int#getDaysInMonthMaxForSet#?,long,int#134	0.7758926310458344	0.7758926310458344	0.7758926310458344	((value > 28 || value < 1) ? getDaysInMonthMax(instant) : 28)>=0	_
org.joda.time.chrono.BasicDayOfMonthDateTimeField#int#getMaximumValueForSet#?,long,int#96	0.7746264877184097	0.7746264877184097	0.7746264877184097	iChronology.getDaysInMonthMaxForSet(instant,value)!=0	_
