line	original_score	max_predicate_score	total	predicate	label
org.joda.time.DateTimeZone#DateTimeZone#forOffsetHoursMinutes#?,int,int#266	0.9973944762897343	0.9976544175136827	0.9974984527793136	FieldUtils.safeAdd(hoursInMinutes,minutesOffset)==hoursInMinutes	_
org.joda.time.tz.FixedDateTimeZone#int#getOffsetFromLocal#?,long#57	0.9953198127925116	0.9960967993754878	0.995630607425702	iWallOffset>=0	_
org.joda.time.DateTimeZone#DateTimeZone#fixedOffsetZone#?,String,int#352	0.9979144942648593	0.9979144942648593	0.994654519510455	iFixedOffsetCache == null	_
org.joda.time.DateTimeZone#void#setDefault#?,DateTimeZone#175	0.9919668307851776	0.9919668307851776	0.9919668307851776	!(sm != null)	_
org.joda.time.tz.FixedDateTimeZone#?#FixedDateTimeZone#?,String,String,int,int#41	0.9891472868217055	0.9899146625290924	0.9894542371046603	standardOffset<=wallOffset	_
org.joda.time.field.FieldUtils#int#safeMultiply#?,int,int#124	0.9876160990712074	0.9904269081500647	0.9887404227027503	(int)total>0	_
org.joda.time.DateTimeZone#String#printOffset#?,int#641	0.9840616966580977	0.9922239502332815	0.987023187493107	hours * (int)DateTimeConstants.MILLIS_PER_HOUR!=hours	_
org.joda.time.chrono.BaseChronology#int[]#get#?,ReadablePeriod,long#285	0.9747899159663864	0.9909396841832773	0.9812498232531428	value==size	_
org.joda.time.Period#int#getWeeks#?#722	0.9715736040609138	0.9940275253180991	0.9805551725637879	getPeriodType().getIndexedField(this,PeriodType.WEEK_INDEX)>0	_
org.joda.time.DateTimeZone#?#DateTimeZone#?,String#690	0.980281690140845	0.980281690140845	0.9801311092360615	!(id == null)	_
org.joda.time.Period#int#getMonths#?#713	0.9720670391061452	0.9817902026160553	0.9759563045101092	getPeriodType().getIndexedField(this,PeriodType.MONTH_INDEX)==0	_
org.joda.time.Period#int#getYears#?#704	0.9720670391061452	0.9815384615384615	0.9758556080790717	getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX)==0	_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#int#getOffsetFromLocalToSubtract#?,long#360	0.9652042360060514	0.9752866242038217	0.9692371912851596	offset>0	_
org.joda.time.field.PreciseDurationField#long#getDifferenceAsLong#?,long,long#114	0.9512922465208747	0.9822940723633565	0.9636929768578675	FieldUtils.safeSubtract(minuendInstant,subtrahendInstant)>=subtrahendInstant	_
org.joda.time.chrono.ISOChronology#void#assemble#?,Fields#169	0.9606022584692596	0.9652042360060514	0.9624430494839763	!(getBase().getZone() == DateTimeZone.UTC)	_
org.joda.time.field.MillisDurationField#int#getDifference#?,long,long#125	0.9601203912716327	0.9652042360060514	0.9621539291654002	FieldUtils.safeToInt(FieldUtils.safeSubtract(minuendInstant,subtrahendInstant))>0	_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#int#getDifference#?,long,long#331	0.9586776859504132	0.9603612644254891	0.9593511173404435	iField.getDifference(minuendInstant + (iTimeField ? offset : getOffsetToAdd(minuendInstant)),subtrahendInstant + offset)>0	_
org.joda.time.tz.FixedDateTimeZone#int#getOffset#?,long#49	0.9343422016109347	0.9940275253180991	0.9582163310938004	iWallOffset>0	_
org.joda.time.field.FieldUtils#long#safeSubtract#?,long,long#100	0.9447186574531096	0.9772785294868522	0.9577426062666066	val1 - val2>val2	_
org.joda.time.field.BaseDurationField#int#getDifference#?,long,long#141	0.951055900621118	0.9603612644254891	0.9547780461428664	FieldUtils.safeToInt(getDifferenceAsLong(minuendInstant,subtrahendInstant))>0	_
org.joda.time.field.ScaledDurationField#int#hashCode#?#151	0.9503475670307845	0.9503475670307845	0.9503475670307845	hash>=0	_
org.joda.time.field.PreciseDurationField#int#hashCode#?#145	0.9503475670307845	0.9503475670307845	0.9503475670307845	hash>0	_
org.joda.time.chrono.ZonedChronology#ZonedChronology#getInstance#?,Chronology,DateTimeZone#63	0.9501116902457186	0.9501116902457186	0.9501116902457185	!(zone == null)	_
org.joda.time.chrono.ZonedChronology$ZonedDateTimeField#?#ZonedDateTimeField#?,DateTimeField,DateTimeZone,DurationField,DurationField,DurationField#390	0.9498759305210919	0.9498759305210919	0.9498759305210919	!(!field.isSupported())	_
org.joda.time.chrono.ZonedChronology#DurationField#convertField#?,DurationField,HashMap<Object,Object>#203	0.9498759305210919	0.9498759305210919	0.9498759305210919	converted.containsKey(field)	_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#?#ZonedDurationField#?,DurationField,DateTimeZone#285	0.9498759305210919	0.9498759305210919	0.9498759305210919	!(!field.isSupported())	_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#long#getUnitMillis#?#298	0.9498759305210919	0.9498759305210919	0.9498759305210919	iField.getUnitMillis()!=0	_
org.joda.time.chrono.ZonedChronology#DateTimeField#convertField#?,DateTimeField,HashMap<Object,Object>#212	0.9498759305210919	0.9498759305210919	0.9498759305210919	!(field == null || !field.isSupported())	_
org.joda.time.field.UnsupportedDurationField#long#getUnitMillis#?#218	0.9496402877697843	0.9496402877697843	0.9496402877697843	0==0	_
org.joda.time.field.ScaledDurationField#long#getUnitMillis#?#109	0.9484638255698712	0.9484638255698712	0.9484638255698712	getWrappedField().getUnitMillis() * iScalar!=0	_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#long#add#?,long,int#320	0.9426249692194042	0.949404761904762	0.9453368862935474	instant - (iTimeField ? offset : getOffsetFromLocalToSubtract(instant))>0	_
org.joda.time.base.BaseDuration#long#getMillis#?#115	0.9382352941176471	0.9461196243203163	0.9413890261987147	iMillis>0	_
org.joda.time.PeriodType#int#getIndexedField#?,ReadablePeriod,int#675	0.9345703124999999	0.9449518637373487	0.9387229329949395	(realIndex == -1 ? 0 : period.getValue(realIndex))==0	_
org.joda.time.tz.FixedDateTimeZone#int#hashCode#?#102	0.9382352941176471	0.9384653101250306	0.9383273005206004	getID().hashCode() + 37 * iStandardOffset + 31 * iWallOffset>=0	_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#int#getOffsetToAdd#?,long#350	0.931840311587147	0.9479940564635959	0.9383018095377265	offset>0	_
org.joda.time.chrono.AssembledChronology#void#setFields#?#369	0.9363992172211351	0.9363992172211351	0.9359872107212577	!(iBase == null)	_
org.joda.time.chrono.AssembledChronology$Fields#void#copyFieldsFrom#?,Chronology#466	0.9359413202933986	0.9359413202933986	0.9359413202933986	isSupported(f=chrono.weekyears())	_
org.joda.time.field.FieldUtils#int#safeToInt#?,long#185	0.9311603016297738	0.9359413202933986	0.9330727090952237	(int)value>0	_
org.joda.time.field.UnsupportedDurationField#UnsupportedDurationField#getInstance#?,DurationFieldType#55	0.9322942036044812	0.9334308705193854	0.932748870370443	!(field == null)	_
org.joda.time.field.MillisDurationField#long#getUnitMillis#?#80	0.922409638554217	0.922409638554217	0.9224096385542169	1>=0	_
org.joda.time.field.BaseDurationField#?#BaseDurationField#?,DurationFieldType#48	0.9171058936272162	0.9171058936272162	0.9169740939778326	!(type == null)	_
org.joda.time.DateTimeUtils#PeriodType#getPeriodType#?,PeriodType#286	0.9522388059701492	0.9522388059701492	0.9159060045683531	type == null	_
org.joda.time.PeriodType#boolean#equals#?,Object#835	0.9193083573487032	0.9193083573487032	0.9158856341089323	this == obj	_
org.joda.time.field.FieldUtils#int#safeAdd#?,int,int#64	0.8426150121065376	0.9942857142857142	0.9030608203677509	val1 + val2==val1	_
org.joda.time.base.BasePeriod#int#getValue#?,int#335	0.885086705202312	0.9112116162818377	0.8955366696341223	iValues[index]==0	_
org.joda.time.PeriodType#PeriodType#standard#?#103	0.8910614525139664	0.8931404573028465	0.8918930544295185	!(type == null)	_
org.joda.time.format.FormatUtils#void#appendPaddedInteger#?,StringBuffer,int,int#63	0.8867268936761641	0.8867268936761641	0.8867268936761641	size > 1	_
org.joda.time.field.ImpreciseDateTimeField$LinkedDurationField#long#getUnitMillis#?#160	0.8854961832061068	0.8854961832061068	0.8854961832061068	iUnitMillis>0	_
org.joda.time.base.BasePeriod#int#size#?#313	0.8854961832061068	0.8854961832061068	0.8854961832061068	iType.size()>0	_
org.joda.time.field.PreciseDurationField#long#add#?,long,int#104	0.8251778400517352	0.9750382068262864	0.8851219867615556	value * iUnitMillis>instant	_
org.joda.time.field.BaseDateTimeField#?#BaseDateTimeField#?,DateTimeFieldType#51	0.8842688842688843	0.8842688842688843	0.8842688842688844	!(type == null)	_
org.joda.time.PeriodType#int#size#?#617	0.8771769019248397	0.8771769019248397	0.8771769019248397	iTypes.length>0	_
org.joda.time.field.PreciseDurationField#long#getUnitMillis#?#63	0.8463409241653769	0.8463409241653769	0.8463409241653769	iUnitMillis!=0	_
org.joda.time.field.MillisDurationField#long#add#?,long,int#117	0.8418737629206069	0.8435434111943588	0.8425416222301076	FieldUtils.safeAdd(instant,value)>=0	_
org.joda.time.field.FieldUtils#long#safeAdd#?,long,long#82	0.7991649269311065	0.8160306970795139	0.8059112349904695	val1 + val2>val1	_
org.joda.time.chrono.ISOChronology#ISOChronology#getInstance#?,DateTimeZone#101	0.9593984962406015	0.9567608097975506	0.770546269207774	!(chrono != null && chrono.getZone() == zone)	_
org.joda.time.DateTimeZone#DateTimeZone#getDefault#?#134	0.6641221374045801	0.6652763295099062	0.6645838142467106	!(zone == null)	_
org.joda.time.DateTimeUtils#Chronology#getChronology#?,Chronology#252	0.7731771359321349	0.7731771359321349	0.6550182576545038	chrono == null	_
org.joda.time.base.AbstractDuration#Period#toPeriod#?#80	0.9994778067885117	0.0	0.599686684073107		_
org.joda.time.tz.FixedDateTimeZone#boolean#isFixed#?#61	0.9973944762897343	0.0	0.5984366857738406		_
org.joda.time.DateTimeZone#DateTimeZone#forOffsetHours#?,int#237	0.9968750000000001	0.0	0.598125		_
org.joda.time.Period#?#Period#?,long#382	0.9919668307851776	0.0	0.5951800984711065		_
org.joda.time.base.BasePeriod#?#BasePeriod#?,long#222	0.9876160990712074	0.0	0.5925696594427244		GT
org.joda.time.DateTimeZone#DateTimeZone#forOffsetMillis#?,int#282	0.9863437258438547	0.0	0.5918062355063127		_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#boolean#isPrecise#?#294	0.9770290964777948	0.0	0.5862174578866769		_
