line	original_score	max_predicate_score	total	predicate	label
org.joda.time.chrono.BasicMonthOfYearDateTimeField#int[]#add#?,ReadablePartial,int,int[],int#206	0.6172133998483676	0.6172133998483676	1.2344267996967353	!(valueToAdd == 0)	GT
org.joda.time.MonthDay#MonthDay#withFieldAdded#?,DurationFieldType,int#515	0.6172133998483676	0.6172133998483676	1.1719135960735967	!(amount == 0)	_
org.joda.time.chrono.BasicDayOfMonthDateTimeField#int#getMaximumValue#?,ReadablePartial,int[]#82	0.35355339059327373	0.6859943405700353	0.9161684756294097	values[i]==size	_
org.joda.time.DateTimeUtils#boolean#isContiguous#?,ReadablePartial#341	0.4472135954999579	0.4472135954999579	0.8836493759719427	!(loopField.getRangeDurationField().getType() != lastType)	_
org.joda.time.chrono.BasicGJChronology#int#getDaysInMonthMax#?,int#129	0.35355339059327373	0.35355339059327373	0.7071067811865475	MAX_DAYS_PER_MONTH_ARRAY[month - 1]>0	_
org.joda.time.base.AbstractPartial#int#indexOfSupported#?,DurationFieldType#223	0.32659863237109044	0.32659863237109044	0.6531972647421809	index>=0	_
org.joda.time.field.FieldUtils#int#safeNegate#?,int#52	0.21320071635561041	0.4082482904638631	0.6214490068194735	-value>0	_
org.joda.time.base.AbstractPartial#int#indexOf#?,DurationFieldType#204	0.30499714066520933	0.30499714066520933	0.6099942813304187	i>=0	_
org.joda.time.MonthDay#int#size#?#395	0.2734343708098653	0.2734343708098653	0.5468687416197306	2!=0	_
org.joda.time.chrono.BasicChronology#int#getDayOfMonth#?,long,int,int#469	0.07666831718292774	0.46499055497527714	0.5416588721582049	getTotalMillisByYearMonth(year,month)==millis	_
org.joda.time.chrono.BaseChronology#void#validate#?,ReadablePartial,int[]#200	0.12403473458920847	0.38851434494290565	0.5125490795321141	values[i]==size	_
org.joda.time.chrono.BasicChronology#int#getDaysInMonthMax#?,long#576	0.24712082528608617	0.24806946917841693	0.49519029446450313	getMonthOfYear(instant,thisYear)<thisYear	_
org.joda.time.format.ISODateTimeFormat#boolean#dateByMonth#?,DateTimeFormatterBuilder,Collection<DateTimeFieldType>,boolean,boolean#326	0.23570226039551587	0.23570226039551587	0.45930905814549483	fields.remove(DateTimeFieldType.dayOfMonth())	_
org.joda.time.field.BaseDateTimeField#int[]#add#?,ReadablePartial,int,int[],int#323	0.19611613513818404	0.22360679774997896	0.419722932888163	(max + 1) - values[fieldIndex]==fieldIndex	_
org.joda.time.IllegalFieldValueException#String#createMessage#?,String,Number,Number,Number,String#50	0.21320071635561044	0.21320071635561044	0.41101485837434654	!(upperBound == null)	_
org.joda.time.chrono.BasicChronology#int#getDaysInMonthMax#?#565	0.20465780403866032	0.20465780403866032	0.40931560807732065	31!=0	_
org.joda.time.chrono.BasicDayOfMonthDateTimeField#int#getMaximumValue#?#59	0.18772930178557284	0.18772930178557284	0.3754586035711457	iChronology.getDaysInMonthMax()>=0	_
org.joda.time.MonthDay#MonthDay#plusMonths#?,int#592	0.375	0.0	0.375		_
org.joda.time.MonthDay#MonthDay#minusMonths#?,int#652	0.375	0.0	0.375		_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#add#?,long,int#139	0.17149858514250882	0.17149858514250882	0.34299717028501764	maxDay!=thisMonth	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#int#getMinimumValue#?#334	0.16695677422593644	0.16695677422593644	0.3339135484518729	MIN>0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#int#getMaximumValue#?#339	0.1663780661615406	0.1663780661615406	0.3327561323230812	iMax!=0	_
org.joda.time.MonthDay#?#MonthDay#?,int,int,Chronology#352	0.32025630761017426	0.0	0.32025630761017426		_
org.joda.time.format.ISODateTimeFormat#void#appendSeparator#?,DateTimeFormatterBuilder,boolean#549	0.15811388300841897	0.15811388300841897	0.31622776601683794	extended	_
org.joda.time.field.FieldUtils#void#verifyValueBounds#?,DateTimeField,int,int,int#217	0.23866718525271902	0.23866718525271902	0.31602056430341696	(value < lowerBound) || (value > upperBound)	_
org.joda.time.MonthDay#DateTimeField#getField#?,int,Chronology#410	0.31426968052735443	0.0	0.31426968052735443		_
org.joda.time.base.AbstractPartial#boolean#equals#?,Object#266	0.23570226039551587	0.23570226039551587	0.30312224664184007	getValue(i) != other.getValue(i) || getFieldType(i) != other.getFieldType(i)	_
org.joda.time.field.BaseDateTimeField#int#getMinimumValue#?,ReadablePartial,int[]#772	0.12160358006209633	0.16329931618554522	0.28490289624764153	getMinimumValue(instant)>0	_
org.joda.time.field.BaseDateTimeField#int#getMinimumValue#?,ReadablePartial#758	0.12115650656307654	0.16302782918784448	0.284184335750921	getMinimumValue()>0	_
org.joda.time.MonthDay#DateTimeFieldType#getFieldType#?,int#426	0.28005601680560194	0.0	0.28005601680560194		_
org.joda.time.MonthDay#String#toString#?#780	0.25	0.0	0.25		_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#forFields#?,Collection<DateTimeFieldType>,boolean,boolean#238	0.17149858514250882	0.17149858514250882	0.24687642128694973	workingFields.contains(DateTimeFieldType.monthOfYear())	_
org.joda.time.field.BaseDateTimeField#int#getMaximumValue#?,ReadablePartial,int[]#818	0.12216944435630522	0.12216944435630522	0.24433888871261045	getMaximumValue(instant)!=0	_
org.joda.time.field.BaseDateTimeField#int#getMaximumValue#?,ReadablePartial#804	0.12160358006209633	0.12160358006209633	0.24320716012419266	getMaximumValue()>=0	_
org.joda.time.base.BasePartial#int[]#getValues#?#237	0.23652495839563303	0.0	0.23652495839563303		_
org.joda.time.chrono.BasicGJChronology#int#getMonthOfYear#?,long,int#88	0.07611112726123628	0.1598721533954863	0.23598328065672258	(int)((millis - getYearMillis(year)) >> 10)<year	_
org.joda.time.chrono.BasicChronology#int#getYear#?,long#407	0.07382134705255622	0.15737789507292674	0.2311741114534177	instant - yearStart==yearStart	_
org.joda.time.chrono.BasicChronology#int#getMillisOfDay#?,long#552	0.08980265101338746	0.1363988678940947	0.22620151890748214	(int)(instant % DateTimeConstants.MILLIS_PER_DAY)==0	_
org.joda.time.format.ISODateTimeFormat#void#time#?,DateTimeFormatterBuilder,Collection<DateTimeFieldType>,boolean,boolean,boolean,boolean#474	0.12309149097933272	0.12309149097933272	0.19846932712377363	!hour && !minute && !second&& !milli	_
org.joda.time.chrono.BasicChronology#long#getYearMillis#?,int#360	0.07136033842007139	0.125	0.1963603384200714	getYearInfo(year).iFirstDayMillis==0	_
org.joda.time.IllegalFieldValueException#?#IllegalFieldValueException#?,DateTimeFieldType,Number,Number,Number#109	0.19446111706564934	0.0	0.19446111706564934		_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#set#?,long,int#297	0.09319984249239928	0.09931950957140454	0.19251935206380383	iChronology.getDayOfMonth(instant,thisYear)<month	_
org.joda.time.chrono.BasicGJChronology#int#getDaysInMonthMaxForSet#?,long,int#134	0.09443843292997713	0.09443843292997713	0.18887686585995425	(value > 28 ? getDaysInMonthMax(instant) : 28)!=0	_
