line	original_score	max_predicate_score	total	predicate	label
org.joda.time.field.BaseDateTimeField#int#getMinimumValue#?,ReadablePartial#758	0.0	0.0	0.0	getMinimumValue()!=0	_
org.joda.time.chrono.BasicYearDateTimeField#int#getMinimumValue#?#116	0.0	0.0	0.0	iChronology.getMinYear()<0	_
org.joda.time.DateTimeZone#DateTimeZone#getDefault#?#135	0.0	0.0	0.0	!(zone == null)	_
org.joda.time.chrono.GregorianChronology#int#getMaxYear#?#225	0.0	0.0	0.0	MAX_YEAR>=0	_
org.joda.time.field.BaseDateTimeField#int#getMinimumValue#?,ReadablePartial,int[]#772	0.0	0.0	0.0	getMinimumValue(instant)!=0	_
org.joda.time.field.BaseDateTimeField#int#getMaximumValue#?,ReadablePartial#804	0.0	0.0	0.0	getMaximumValue()>=0	_
org.joda.time.DateTimeUtils#Chronology#getChronology#?,Chronology#284	0.0	0.0	0.0	!(chrono == null)	_
org.joda.time.field.BaseDateTimeField#int#getMaximumValue#?,ReadablePartial,int[]#818	0.0	0.0	0.0	getMaximumValue(instant)>0	_
org.joda.time.Partial#?#Partial#?,DateTimeFieldType,int,Chronology#156	0.0	0.0	0.0	!(type == null)	_
org.joda.time.chrono.BaseChronology#void#validate#?,ReadablePartial,int[]#207	0.0	0.0	0.0	!(value > field.getMaximumValue(partial,values))	_
org.joda.time.field.UnsupportedDurationField#int#compareTo#?,DurationField#227	0.0	0.0	0.0	0==0	GT
org.joda.time.Partial#?#Partial#?,DateTimeFieldType[],int[],Chronology#223	0.0	0.0	0.0	loopType.getRangeDurationType() == null	GT
org.joda.time.chrono.GregorianChronology#int#getMinYear#?#221	0.0	0.0	0.0	MIN_YEAR<=0	_
org.joda.time.Partial#Partial#with#?,DateTimeFieldType,int#433	0.0	0.0	0.0	index == -1	GT
org.joda.time.base.AbstractPartial#int#indexOf#?,DateTimeFieldType#170	0.0	0.0	0.0	i < isize	_
org.joda.time.chrono.ISOChronology#ISOChronology#getInstance#?,DateTimeZone#96	0.0	0.0	0.0	!(zone == null)	_
org.joda.time.Partial#int#size#?#311	0.0	0.0	0.0	iTypes.length>=0	_
org.joda.time.chrono.BasicYearDateTimeField#int#getMaximumValue#?#120	0.0	0.0	0.0	iChronology.getMaxYear()!=0	_
