line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.ScopedAliases$Traversal#void#findAliases#?,NodeTraversal#366	0.0	0.6153846153846154	0.36923076923076925	!(isVar)	GT
com.google.javascript.jscomp.ScopedAliases#void#hotSwapScript#?,Node,Node#136	0.0	0.3227040816326531	0.19362244897959183	!(!traversal.hasErrors())	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#exitScope#?,NodeTraversal#305	0.0	0.1779398359161349	0.10676390154968095	t.getScopeDepth() > 2	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#visit#?,NodeTraversal,Node,Node#520	0.0	0.1342062193126023	0.08052373158756138	!(t.getScopeDepth() == 2)	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#enterScope#?,NodeTraversal#296	0.0	0.05016681082416904	0.03010008649450142	n != null && isCallToScopeMethod(n)	_
com.google.javascript.jscomp.ScopedAliases$Traversal#boolean#shouldTraverse#?,NodeTraversal,Node,Node#322	0.0	0.04347826086956521	0.026086956521739126	!(parent == null || !isCallToScopeMethod(parent))	_
com.google.javascript.rhino.SourcePosition#void#setPositionInformation#?,int,int,int,int#101	0.0	0.019899747484264877	0.011939848490558926	startLineno>startCharno	_
com.google.javascript.jscomp.Compiler#int#getErrorCount#?#2178	0.0	0.01306060322433642	0.00783636193460185	errorManager.getErrorCount()!=0	_
com.google.javascript.jscomp.BasicErrorManager#int#getErrorCount#?#75	0.0	0.012467955917531788	0.007480773550519073	errorCount>0	_
com.google.javascript.jscomp.BasicErrorManager#void#report#?,CheckLevel,JSError#46	0.0	0.01018913438014831	0.0061134806280889855	level == CheckLevel.ERROR	_
com.google.javascript.jscomp.SuppressDocWarningsGuard#CheckLevel#level#?,JSError#62	0.0	0.0030089978689038874	0.0018053987213423324	type == Token.FUNCTION	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#renameNamespaceShadows#?,NodeTraversal#462	0.0	0.002296211251435132	0.0013777267508610792	!(hasNamespaceShadows)	_
com.google.javascript.jscomp.PrepareAst$PrepareAnnotations#void#annotateCalls#?,Node#169	0.0	0.001499821798976877	8.998930793861262E-4	!(!NodeUtil.isGet(first))	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#validateScopeCall#?,NodeTraversal,Node,Node#480	0.0	0.0011293054771315649	6.775832862789389E-4	!(!parent.isExprResult())	_
com.google.javascript.jscomp.NodeUtil#JSDocInfo#getBestJSDocInfo#?,Node#3103	0.0	0.0010407932669461546	6.244759601676927E-4	!(parent.isVar() && parent.hasOneChild())	_
com.google.javascript.jscomp.AstValidator#void#validateBlock#?,Node#280	0.0	7.176277936913794E-4	4.3057667621482763E-4	c != null	_
com.google.javascript.jscomp.AstValidator#void#validateVar#?,Node#399	0.0	7.064797439010929E-4	4.238878463406558E-4	!(c.hasChildren())	_
com.google.javascript.rhino.Node#boolean#isEquivalentTo#?,Node,boolean,boolean,boolean#1547	0.0	6.662004891482215E-4	3.997202934889329E-4	type == Token.CALL	_
com.google.javascript.jscomp.JSError#?#JSError#?,String,Node,int,int,DiagnosticType,CheckLevel,String#159	0.0	6.086303787709724E-4	3.651782272625834E-4	charno>lineno	_
com.google.javascript.rhino.Node#int#getCharno#?#1144	0.0	5.909834538593158E-4	3.5459007231558945E-4	extractCharno(sourcePosition)==0	_
com.google.javascript.jscomp.NodeUtil#void#mtocHelper#?,Map<Node,Node>,Node,Node#3334	0.0	5.748814835323931E-4	3.449288901194359E-4	main.isFunction()	_
com.google.javascript.rhino.Node#int#extractCharno#?,int#1224	0.0	5.2314682925229E-4	3.13888097551374E-4	lineCharNo & COLUMN_MASK==0	_
