line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#double#optimize#?,UnivariateRealFunction,GoalType,double,double#297	Infinity	Infinity	Infinity	optimaValues[j]>currX	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#getResult#?#80	Infinity	Infinity	Infinity	result<0	_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#double#getRelativeAccuracy#?#127	Infinity	Infinity	Infinity	optimizer.getRelativeAccuracy()!=0	_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#double[]#getOptimaValues#?#220	Infinity	Infinity	Infinity		_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#void#setAbsoluteAccuracy#?,double#147	Infinity	0.0	Infinity		_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#double[]#getOptima#?#193	Infinity	Infinity	Infinity	optima == null	_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#void#setRelativeAccuracy#?,double#162	Infinity	0.0	Infinity		_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#double#getAbsoluteAccuracy#?#102	Infinity	Infinity	Infinity	optimizer.getAbsoluteAccuracy()!=0	_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#double#getResult#?#97	Infinity	Infinity	Infinity	optimizer.getResult()!=0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#getFunctionValue#?#86	1.0	1.0	1.0	functionValue<0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#void#checkResultComputed#?#72	0.5	1.0	0.8	!(!resultComputed)	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#int#getEvaluations#?#123	0.5	0.5	0.5	evaluations!=0	_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#void#setMaxEvaluations#?,int#157	1.0	0.0	0.4		_
org.apache.commons.math.optimization.univariate.BrentOptimizer#double#localMin#?,UnivariateRealFunction,GoalType,double,double,double,double#165	0.25	0.5	0.4	u<=e	_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#?#MultiStartUnivariateRealOptimizer#?,UnivariateRealOptimizer,int,RandomGenerator#86	1.0	0.0	0.4		_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#void#setMaximalIterationCount#?,int#152	1.0	0.0	0.4		_
org.apache.commons.math.optimization.univariate.BrentOptimizer#double#optimize#?,UnivariateRealFunction,GoalType,double,double#58	0.2	0.5	0.38	localMin(f,goalType,min,max,relativeAccuracy,absoluteAccuracy)<0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#void#setResult#?,double,double,int#98	0.2	0.5	0.38	x<fx	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#computeObjectiveValue#?,UnivariateRealFunction,double#141	0.2	0.25	0.23	f.value(point)<=0	_
org.apache.commons.math.ConvergingAlgorithmImpl#int#getIterationCount#?#73	0.1	0.1111111111111111	0.10666666666666667	iterationCount>0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#?#AbstractUnivariateRealOptimizer#?,int,double#63	0.2	0.0	0.08000000000000002		_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#void#clearResult#?#108	0.2	0.0	0.08000000000000002		_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#void#setMaxEvaluations#?,int#113	0.2	0.0	0.08000000000000002		_
org.apache.commons.math.optimization.univariate.BrentOptimizer#?#BrentOptimizer#?#43	0.2	0.0	0.08000000000000002		_
org.apache.commons.math.MathRuntimeException#IllegalStateException#createIllegalStateException#?,Localizable,Object#444	0.1111111111111111	0.0	0.044444444444444446		_
org.apache.commons.math.ConvergingAlgorithmImpl#double#getRelativeAccuracy#?#113	0.038461538461538464	0.038461538461538464	0.038461538461538464	relativeAccuracy!=0	_
org.apache.commons.math.ConvergingAlgorithmImpl#double#getAbsoluteAccuracy#?#83	0.029411764705882353	0.029411764705882353	0.029411764705882353	absoluteAccuracy>=0	_
org.apache.commons.math.ConvergingAlgorithmImpl#void#setRelativeAccuracy#?,double#108	0.058823529411764705	0.0	0.023529411764705882		_
org.apache.commons.math.ConvergingAlgorithmImpl#?#ConvergingAlgorithmImpl#?,int,double#65	0.005154639175257732	0.005494505494505495	0.0053585589668063895	defaultRelativeAccuracy<=defaultAbsoluteAccuracy	_
org.apache.commons.math.ConvergingAlgorithmImpl#void#setMaximalIterationCount#?,int#93	0.00980392156862745	0.0	0.00392156862745098		_
org.apache.commons.math.ConvergingAlgorithmImpl#void#setAbsoluteAccuracy#?,double#78	0.008130081300813009	0.0	0.0032520325203252037		_
