line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver#double#doSolve#?#344	0.9973652694610777	1.0	0.9982783357245337	FastMath.abs(yA)==absYB	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolator#void#computeInterpolatedStateAndDerivatives#?,double,double#364	0.9949820788530467	0.9997599039615847	0.9975636787666355	2 * theta<theta	_
org.apache.commons.math3.ode.events.EventState#boolean#reset#?,double,double[]#347	0.9976042165788211	0.9976042165788211	0.9971267797678238	nextAction == EventHandler.Action.RESET_STATE	_
org.apache.commons.math3.ode.AbstractIntegrator#double#acceptStep#?,AbstractStepInterpolator,double[],double[],double#373	0.9978432782171099	0.9968877184582235	0.9968877184582235	eventT!=0	GT
org.apache.commons.math3.ode.events.EventState#boolean#evaluateStep#?,StepInterpolator#277	0.9956958393113343	0.9980824544582932	0.9967472270944695	tb<t1	_
org.apache.commons.math3.ode.events.EventState#void#stepAccepted#?,double,double[]#313	0.9956958393113343	0.9976042165788211	0.9964602843667862	handler.g(t,y)>t	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolator#void#doFinalize#?#443	0.9942693409742119	0.9973652694610777	0.9961268980663315	currentState[j] + h * s<s	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853Integrator#double#estimateError#?,double[][],double[],double[],double#272	0.9935576234788832	0.9973652694610777	0.9958422110681999	errSum1 / tol>tol	_
org.apache.commons.math3.ode.events.EventState#double#getEventTime#?#299	0.9956958393113343	0.9956958393113343	0.9956958393113343	pendingEvent ? pendingEventTime : (forward ? Double.POSITIVE_INFINITY : Double.NEGATIVE_INFINITY)>0	_
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver#double#solve#?,int,UnivariateFunction,double,double,AllowedSolution#399	0.9952198852772467	0.9959339870844296	0.9956483463615564	super.solve(maxEval,f,min,max)>=0	_
org.apache.commons.math3.util.FastMath#double#ceil#?,double#3373	0.995457805402821	0.9956958393113343	0.9956006257479291	y>=0	_
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver#double#guessX#?,double,double[],double[],int,int#378	0.9940319885414179	0.9959339870844296	0.995173187667225	(x[j] - x[j - 1]) / (y[j] - y[j - delta])<targetY	_
org.apache.commons.math3.ode.events.EventState#void#reinitializeBegin#?,StepInterpolator#160	0.9947443860487339	0.9952198852772467	0.9950296855858416	!(g0 == 0)	_
org.apache.commons.math3.ode.events.EventState#?#EventState#?,EventHandler,double,double,int,UnivariateSolver#105	0.9947443860487339	0.9947443860487339	0.9947443860487339	FastMath.abs(convergence)<=maxCheckInterval	_
org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator#void#integrate#?,ExpandableStatefulODE,double#317	0.9900142653352353	0.9990403071017275	0.994584326609791	FastMath.min(maxGrowth,FastMath.max(minReduction,safety * FastMath.pow(error,exp)))==t	_
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver#?#BracketingNthOrderBrentSolver#?,double,int#85	0.9937947494033412	0.9937947494033412	0.9936998990335579	!(maximalOrder < 2)	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolator#void#reinitialize#?,AbstractIntegrator,double[],double[][],boolean,EquationsMapper,EquationsMapper[]#294	0.9935576234788832	0.9935576234788832	0.9935576234788832	k < yDotKLast.length	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolator#?#DormandPrince853StepInterpolator#?,DormandPrince853StepInterpolator#247	0.9935576234788832	0.9935576234788832	0.9935576234788832	interpolator.currentState == null	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853Integrator#int#getOrder#?#247	0.9930837109468161	0.9930837109468161	0.993083710946816	8>=0	_
org.apache.commons.math3.ode.nonstiff.AdaptiveStepsizeIntegrator#void#setStepSizeControl#?,double,double,double,double#161	0.9783834586466166	0.9990403071017275	0.9907775677196832	absoluteTolerance<minimalStep	_
org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator#?#EmbeddedRungeKuttaIntegrator#?,String,boolean,double[],double[][],double[],RungeKuttaStepInterpolator,double,double,double,double#125	0.9893086243763364	0.9900142653352353	0.9897320089516757	-1.0 / getOrder()<=maxStep	_
org.apache.commons.math3.ode.nonstiff.AdaptiveStepsizeIntegrator#double#initializeStep#?,boolean,int,double[],double,double[],double[],double[],double[]#267	0.976547842401501	0.9928469241773963	0.9863272914670382	ratio * ratio>yOnScale2	_
org.apache.commons.math3.ode.AbstractIntegrator#void#sanityChecks#?,ExpandableStatefulODE,double#419	0.9650057937427577	0.996410624551328	0.9838486922279	FastMath.abs(equations.getTime() - t)<t	_
org.apache.commons.math3.ode.nonstiff.AdaptiveStepsizeIntegrator#double#getMinStep#?#366	0.976547842401501	0.9874318235712592	0.983078231103356	minStep!=0	_
org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver#double#solve#?,int,FUNC,double,double#201	0.9760900140646975	0.9799952930101201	0.9784331814319511	solve(maxEval,f,min,max,min + 0.5 * (max - min))>0	_
org.apache.commons.math3.ode.nonstiff.AdaptiveStepsizeIntegrator#double#filterStep#?,double,boolean,boolean#340	0.9776942944353135	0.9790735951093346	0.9784300725585585	filteredH>=0	_
org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver#double#getMin#?#112	0.9661252900232019	0.9841645001181755	0.976948816080186	searchMin>0	_
org.apache.commons.math3.ode.nonstiff.AdaptiveStepsizeIntegrator#double#getMaxStep#?#373	0.976547842401501	0.976547842401501	0.976547842401501	maxStep>=0	_
org.apache.commons.math3.ode.nonstiff.RungeKuttaStepInterpolator#?#RungeKuttaStepInterpolator#?,RungeKuttaStepInterpolator#87	0.976318874560375	0.976318874560375	0.976318874560375	!(interpolator.currentState != null)	_
org.apache.commons.math3.ode.sampling.AbstractStepInterpolator#?#AbstractStepInterpolator#?,AbstractStepInterpolator#181	0.976318874560375	0.976318874560375	0.976044370659374	interpolator.currentState == null	_
org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver#double#getStartValue#?#124	0.9756326148078724	0.9756326148078724	0.9756326148078724	searchStart>0	_
org.apache.commons.math3.ode.nonstiff.AdaptiveStepsizeIntegrator#void#sanityChecks#?,ExpandableStatefulODE,double#229	0.9754040758959943	0.9756326148078724	0.9755411992431211	!((vecRelativeTolerance != null) && (vecRelativeTolerance.length != mainSetDimension))	_
org.apache.commons.math3.ode.sampling.AbstractStepInterpolator#void#finalizeStep#?#489	0.9754040758959943	0.975175644028103	0.975175644028103	!finalized	_
org.apache.commons.math3.ode.sampling.AbstractStepInterpolator#void#evaluateCompleteInterpolatedState#?#409	0.9656771799628941	0.9806877060763072	0.974683495630942	(h == 0) ? 0 : (h - oneMinusThetaH) / h<oneMinusThetaH	_
org.apache.commons.math3.ode.sampling.AbstractStepInterpolator#double#getPreviousTime#?#360	0.9701770736253496	0.976547842401501	0.9739995348910404	softPreviousTime>0	_
org.apache.commons.math3.ode.sampling.AbstractStepInterpolator#double#getCurrentTime#?#369	0.9692737430167598	0.9719887955182073	0.9709027745176282	softCurrentTime>0	_
org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver#double#getRelativeAccuracy#?#136	0.9701770736253496	0.9701770736253496	0.9701770736253496	relativeAccuracy!=0	_
org.apache.commons.math3.ode.sampling.AbstractStepInterpolator#double#getGlobalPreviousTime#?#343	0.9674721189591078	0.9706293706293706	0.9693664699612655	globalPreviousTime>0	_
org.apache.commons.math3.ode.sampling.AbstractStepInterpolator#double#getGlobalCurrentTime#?#351	0.9674721189591078	0.9701770736253496	0.9690950917588529	globalCurrentTime>0	_
org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver#double#getFunctionValueAccuracy#?#142	0.9690481731440539	0.9690481731440539	0.9690481731440539	functionValueAccuracy!=0	_
org.apache.commons.math3.ode.ExpandableStatefulODE#double#getTime#?#185	0.9650057937427577	0.971535230984601	0.9689234560878637	time>0	_
org.apache.commons.math3.ode.sampling.AbstractStepInterpolator#void#allocateInterpolatedArrays#?,int#213	0.9731245618135079	0.9731245618135079	0.9686287218420895	dimension < 0	_
org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver#double#solve#?,int,FUNC,double,double,double#196	0.9652294853963838	0.9706293706293706	0.9684694165361759	doSolve()>0	_
org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver#double#getAbsoluteAccuracy#?#130	0.9683720930232558	0.9683720930232558	0.9683720930232558	absoluteAccuracy>=0	_
org.apache.commons.math3.ode.sampling.AbstractStepInterpolator#void#storeTime#?,double#302	0.9638888888888889	0.9701770736253496	0.9676617997307653	globalCurrentTime - globalPreviousTime<t	_
org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver#double#computeObjectiveValue#?,double#156	0.965901183020181	0.9674721189591078	0.9668437445835371	function.value(point)<0	_
org.apache.commons.math3.ode.ExpandableStatefulODE#int#getTotalDimension#?#99	0.9667982354306942	0.9667982354306942	0.9667982354306942	primaryMapper.getDimension()>=0	_
org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver#double#getMax#?#118	0.9661252900232019	0.9663495010443259	0.9662598166358763	searchMax>=0	_
org.apache.commons.math3.ode.AbstractIntegrator#double#integrate#?,FirstOrderDifferentialEquations,double,double[],double,double[]#218	0.965901183020181	0.965901183020181	0.965901183020181	!(y.length != equations.getDimension())	_
org.apache.commons.math3.ode.EquationsMapper#void#insertEquationData#?,double[],double[]#92	0.965901183020181	0.965901183020181	0.965901183020181	!(equationData.length != dimension)	_
org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver#void#setup#?,int,FUNC,double,double,double#180	0.9650057937427577	0.9661252900232019	0.9656774915110242	min<=startValue	_
org.apache.commons.math3.ode.ExpandableStatefulODE#void#setPrimaryState#?,double[]#196	0.9650057937427577	0.9650057937427577	0.9650057937427577	!(primaryState.length != this.primaryState.length)	_
org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver#?#BaseAbstractUnivariateSolver#?,double,double,double#96	0.9632199861207495	0.9656771799628941	0.9646943024260364	relativeAccuracy<absoluteAccuracy	_
org.apache.commons.math3.ode.EquationsMapper#void#extractEquationData#?,double[],double[]#77	0.964112062977541	0.964112062977541	0.964112062977541	!(equationData.length != dimension)	_
org.apache.commons.math3.ode.EquationsMapper#int#getDimension#?#65	0.9636658180976626	0.9638888888888889	0.9637996605723984	dimension!=0	_
org.apache.commons.math3.ode.EquationsMapper#?#EquationsMapper#?,int,int#51	0.9629972247918595	0.9632199861207495	0.9631308815891935	dimension>firstIndex	_
org.apache.commons.math3.util.FastMath#double#pow#?,double,double#1587	0.9311270125223613	0.9841645001181755	0.9629495050798498	aa + ab>x	_
org.apache.commons.math3.util.FastMath#double#log#?,double,double[]#1248	0.9129576847182634	0.9942693409742119	0.9617446784718325	epsilon - aa>=x	_
org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils#void#verifyInterval#?,double,double#353	0.9585635359116021	0.9596681262963818	0.95922629014247	!(lower >= upper)	_
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1733	0.9234863606121092	0.9806877060763072	0.9561759268032142	sinEpsA * HEX_40000000==xb	_
org.apache.commons.math3.util.Precision#boolean#equals#?,double,double,int#336	0.9519890260631	0.9557034656873997	0.9542176898376798	SGN_MASK - xInt<=yInt	_
org.apache.commons.math3.util.FastMath#double#ulp#?,double#3026	0.9524245196706314	0.9524245196706314	0.9524245196706314	!(Double.isInfinite(x))	_
org.apache.commons.math3.util.FastMath#double#exp#?,double,double,double[]#944	0.931335271751286	0.9663495010443259	0.9523438093271099	tempC * extra * z + tempC * extra + tempC * z + tempB + tempA>fracPartA	_
org.apache.commons.math3.util.FastMath#double#polySine#?,double#1678	0.9175848391361834	0.9665738161559889	0.9469782253480667	x * x==x	_
org.apache.commons.math3.util.FastMath#double#polyCosine#?,double#1704	0.9175848391361834	0.9665738161559889	0.9469782253480667	x2==x	_
org.apache.commons.math3.util.FastMath#double#cos#?,double#2328	0.9457188280717693	0.9470093245394587	0.9459766927829	cosQ(xa,xb)>=0	_
org.apache.commons.math3.util.FastMath#double#min#?,double,double#3468	0.9405918229049017	0.9416553595658073	0.9412299449014451	a>0	_
org.apache.commons.math3.util.FastMath#double#cosQ#?,double,double#1846	0.9236912156166814	0.9470093245394587	0.9376820809703479	pi2b - xb==pi2b	_
org.apache.commons.math3.util.FastMath#double#sin#?,double#2274	0.9340511440107672	0.9344703770197487	0.9343026838161561	sinQ(xa,xb)!=0	_
org.apache.commons.math3.util.FastMath#int#max#?,int,int#3489	0.9321692411014104	0.9355201078409345	0.9341797611451249	(a <= b) ? b : a>0	_
org.apache.commons.math3.util.FastMath#double#floor#?,double#3348	0.8979943929264611	0.9007138221933808	0.8996260504866129	y>0	_
org.apache.commons.math3.util.FastMath#long#abs#?,long#2999	0.8637212196639702	0.8939458995276942	0.8818560275822047	(x < 0l) ? -x : x>0	_
org.apache.commons.math3.util.FastMath#double#max#?,double,double#3533	0.8788518362178134	0.8792229729729729	0.879074518270909	a>0	_
org.apache.commons.math3.util.Incrementor#void#incrementCount#?#155	0.8524053224155579	0.8529291274068005	0.8527196054103034	!(++count > maximalCount)	_
org.apache.commons.math3.util.Incrementor#?#Incrementor#?,int,MaxCountExceededCallback#81	0.840702604482132	0.8410422136942032	0.8409063700093746	!(cb == null)	_
org.apache.commons.math3.util.MathUtils#void#checkNotNull#?,Object#264	0.8054158607350096	0.8063516653756778	0.8059773435194105	!(o == null)	_
org.apache.commons.math3.util.FastMath#double#sqrt#?,double#379	0.7869967869967869	0.791785510553337	0.789870021130717	Math.sqrt(a)>0	_
org.apache.commons.math3.util.FastMath#double#abs#?,double#3017	0.7229166666666667	0.7986191024165707	0.7683381281166091	(x < 0.0) ? -x : (x == 0.0) ? 0.0 : x==0	_
org.apache.commons.math3.ode.sampling.AbstractStepInterpolator#void#setSoftCurrentTime#?,double#335	0.9959339870844296	0.0	0.3983735948337719		_
org.apache.commons.math3.ode.AbstractIntegrator#void#addEventHandler#?,EventHandler,double,double,int#127	0.9959339870844296	0.0	0.3983735948337719		_
org.apache.commons.math3.ode.sampling.AbstractStepInterpolator#void#setSoftPreviousTime#?,double#321	0.9959339870844296	0.0	0.3983735948337719		_
