line	original_score	max_predicate_score	total	predicate	label
org.joda.time.tz.DateTimeZoneBuilder#boolean#addTransition#?,ArrayList<Transition>,Transition#419	0.16666666666666666	Infinity	Infinity	transitions.get(size - 2).getWallOffset()>=size	_
org.joda.time.tz.DateTimeZoneBuilder$Recurrence#Recurrence#renameAppend#?,String#804	Infinity	0.0	Infinity		_
org.joda.time.tz.DateTimeZoneBuilder$Recurrence#Recurrence#rename#?,String#800	Infinity	0.0	Infinity		_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#create#?,String,boolean,ArrayList<Transition>,DSTZone#1458	Infinity	Infinity	Infinity	tailZone.iStartRecurrence.getNameKey().equals(tailZone.iEndRecurrence.getNameKey())	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfWeek#?,Chronology,long#725	0.001607717041800643	Infinity	Infinity	!(daysToAdd > 0)	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#int#getStandardOffset#?#918	0.14285714285714285	1.0	0.6571428571428571	iStandardOffset>0	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#int#getWallOffset#?#914	0.14285714285714285	1.0	0.6571428571428571	iWallOffset>0	_
org.joda.time.tz.ZoneInfoCompiler#boolean#verbose#?#78	1.0	0.0	0.4		_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#DSTZone#buildTailZone#?,String#1144	0.2	0.2	0.18666666666666665	startRule.getToYear() == Integer.MAX_VALUE && endRule.getToYear() == Integer.MAX_VALUE	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#long#next#?,long,int,int#873	0.16666666666666666	0.2	0.18666666666666665	next<0	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#boolean#isCachable#?#1690	0.2	0.2	0.18666666666666665	iTailZone != null	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#toDateTimeZone#?,String,boolean#397	0.2	0.2	0.18666666666666665	zone.isCachable()	_
org.joda.time.PeriodType#PeriodType#yearMonthDay#?#164	0.25	0.25	0.18636363636363637	type == null	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#int#getSaveMillis#?#839	0.16666666666666666	0.16666666666666666	0.16666666666666666	iRecurrence.getSaveMillis()!=0	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZoneBuilder#addRecurringSavings#?,String,int,int,int,char,int,int,int,boolean,int#309	0.16666666666666666	0.16666666666666666	0.16666666666666666	fromYear <= toYear	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#boolean#isTransitionFrom#?,Transition#929	0.16666666666666666	0.16666666666666666	0.16666666666666666	other == null	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#nextTransition#?,long,int#1110	0.16666666666666666	0.16666666666666666	0.16666666666666666	!(chrono.year().get(nextMillis) >= YEAR_LIMIT)	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#int#getToYear#?#827	0.16666666666666666	0.16666666666666666	0.16666666666666666	iToYear>=0	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#firstTransition#?,long#1043	0.16666666666666666	0.16666666666666666	0.16666666666666666	rule.getSaveMillis() == 0	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#void#addRule#?,Rule#994	0.16666666666666666	0.16666666666666666	0.16666666666666666	!iRules.contains(rule)	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#int#getSaveMillis#?#922	0.14285714285714285	0.16666666666666666	0.15714285714285714	iWallOffset - iStandardOffset>0	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#long#getMillis#?#906	0.14285714285714285	0.14285714285714285	0.14285714285714285	iMillis<=0	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZoneBuilder#addCutover#?,int,char,int,int,int,boolean,int#252	0.14285714285714285	0.14285714285714285	0.14285714285714285	!(iRuleSets.size() > 0)	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#long#getUpperLimit#?,int#1131	0.14285714285714285	0.14285714285714285	0.14285714285714285	iUpperYear == Integer.MAX_VALUE	_
org.joda.time.tz.DateTimeZoneBuilder#RuleSet#getLastRuleSet#?#320	0.14285714285714285	0.14285714285714285	0.14285714285714285	!(iRuleSets.size() == 0)	_
org.joda.time.chrono.BasicYearDateTimeField#long#add#?,long,int#59	0.05263157894736842	0.2	0.14105263157894737	instant<0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#next#?,long,int,int#583	0.037037037037037035	0.2	0.12166666666666666	next - offset<0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfMonthNext#?,Chronology,long#683	0.004166666666666667	0.2	0.12166666666666666	next<0	_
org.joda.time.tz.DateTimeZoneBuilder$Recurrence#long#next#?,long,int,int#761	0.004166666666666667	0.2	0.12166666666666666	iOfYear.next(instant,standardOffset,saveMillis)<=0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfMonth#?,Chronology,long#713	0.001607717041800643	0.2	0.12062111801242235	instant<=0	_
org.joda.time.chrono.BasicGJChronology#long#getYearDifference#?,long,long#166	0.1	0.16666666666666666	0.10555555555555554	minuendYear - subtrahendYear>subtrahendYear	_
