line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math3.optimization.linear.SimplexTableau#int#getConstraintTypeCounts#?,Relationship#290	0.0	0.0	0.0	!(constraint.getRelationship() == relationship)	_
org.apache.commons.math3.optimization.linear.SimplexTableau#int#getNumArtificialVariables#?#568	0.0	0.0	0.0	numArtificialVariables<=0	_
org.apache.commons.math3.optimization.linear.SimplexTableau#void#divideRow#?,int,double#446	0.0	0.0	0.0	j < getWidth()	_
org.apache.commons.math3.linear.Array2DRowRealMatrix#int#getColumnDimension#?#329	0.0	0.0	0.0	((data == null) || (data[0] == null)) ? 0 : data[0].length>0	_
org.apache.commons.math3.optimization.linear.SimplexTableau#int#getHeight#?#486	0.0	0.0	0.0	tableau.getRowDimension()>0	_
org.apache.commons.math3.linear.AbstractRealMatrix#void#setRowVector#?,int,RealVector#493	0.0	0.0	0.0	!(vector.getDimension() != nCols)	_
org.apache.commons.math3.optimization.linear.SimplexTableau#int#getRhsOffset#?#529	0.0	0.0	0.0	getWidth() - 1>0	_
org.apache.commons.math3.linear.ArrayRealVector#ArrayRealVector#subtract#?,RealVector#323	0.0	0.0	0.0	i < dim	_
org.apache.commons.math3.linear.MatrixUtils#void#checkColumnIndex#?,AnyMatrix,int#406	0.0	0.0	0.0	!(column < 0 || column >= m.getColumnDimension())	_
org.apache.commons.math3.util.Precision#boolean#equals#?,double,double,int#305	0.0	0.0	0.0	SGN_MASK - xInt!=yInt	_
org.apache.commons.math3.optimization.linear.SimplexTableau#int#getWidth#?#478	0.0	0.0	0.0	tableau.getColumnDimension()>0	_
org.apache.commons.math3.util.Precision#int#compareTo#?,double,double,int#115	0.0	0.0	0.0	0==0	_
org.apache.commons.math3.optimization.linear.SimplexTableau#int#getNumObjectiveFunctions#?#279	0.0	0.0	0.0	this.numArtificialVariables > 0 ? 2 : 1!=0	_
org.apache.commons.math3.optimization.linear.SimplexTableau#LinearConstraint#normalize#?,LinearConstraint#265	0.0	0.0	0.0	!(constraint.getValue() < 0)	_
org.apache.commons.math3.optimization.linear.SimplexSolver#void#doIteration#?,SimplexTableau#168	0.0	0.0	0.0	getPivotRow(tableau,pivotCol)>pivotCol	_
org.apache.commons.math3.optimization.linear.SimplexSolver#PointValuePair#doOptimize#?#226	0.0	0.0	0.0	!tableau.isOptimal()	_
org.apache.commons.math3.linear.AbstractRealMatrix#double[]#getRow#?,int#525	0.0	0.0	0.0	i < nCols	_
org.apache.commons.math3.optimization.linear.SimplexTableau#Integer#getBasicRow#?,int#317	0.0	0.0	0.0	i < getHeight()	_
org.apache.commons.math3.linear.ArrayRealVector#?#ArrayRealVector#?,double[],boolean#104	0.0	0.0	0.0	!(d == null)	_
org.apache.commons.math3.optimization.linear.SimplexTableau#int#getNumSlackVariables#?#560	0.0	0.0	0.0	numSlackVariables>=0	_
org.apache.commons.math3.optimization.linear.SimplexTableau#void#dropPhase1Objective#?#341	0.0	0.0	0.0	i < getArtificialVariableOffset()	_
