line	original_score	max_predicate_score	total	predicate	label
org.joda.time.DateTimeZone#int#getOffsetFromLocal#?,long#893	0.04347826086956519	0.33333333333333337	0.27536231884057977	nextTransition(instantAdjusted)<=instantLocal	GT
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#next#?,long,int,int#551	0.33333333333333337	0.33333333333333337	0.26764705882352946	iMode == 's'	_
org.joda.time.tz.CachedDateTimeZone$Info#int#getOffset#?,long#210	0.028846153846153855	0.050000000000000044	0.045769230769230805	iNextInfo.getOffset(millis)>0	_
org.joda.time.tz.CachedDateTimeZone#long#nextTransition#?,long#123	0.04166666666666663	0.04166666666666663	0.04166666666666663	iZone.nextTransition(instant)>=0	_
org.joda.time.DateTime#?#DateTime#?,int,int,int,int,int,DateTimeZone#285	0.11111111111111116	0.0	0.022222222222222227		_
org.joda.time.chrono.BasicGJChronology#long#setYear#?,long,int#188	0.016949152542372836	0.016949152542372836	0.014406779661016911	isLeapYear(year)	_
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset#void#printTo#?,StringBuffer,long,Chronology,int,DateTimeZone,Locale#2090	0.014018691588784993	0.014018691588784993	0.013373226652322967	displayOffset >= 0	_
org.joda.time.format.DateTimeFormatterBuilder$Fraction#void#printTo#?,StringBuffer,Writer,long,Chronology#1895	0.012931034482758674	0.012931034482758674	0.012931034482758674	buf != null	_
org.joda.time.DateTime#?#DateTime#?,long,DateTimeZone#160	0.06060606060606055	0.0	0.012121212121212107		_
org.joda.time.format.FormatUtils#void#appendPaddedInteger#?,StringBuffer,int,int#74	0.007633587786259555	0.012987012987012991	0.011916327946862303	((value + 1) * 13421772) >> 27==size	_
org.joda.time.field.PreciseDurationDateTimeField#long#remainder#?,long#127	0.008426966292134797	0.012658227848101222	0.011811975536907937	instant % iUnitMillis==0	_
org.joda.time.format.DateTimeFormatter#void#printTo#?,StringBuffer,long,Chronology#622	0.0073710073710073765	0.011673151750972721	0.010812722874979652	instant + offset>instant	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#dateTime#?#936	0.00983606557377048	0.010309278350515427	0.010214635795166438	!(dt == null)	_
org.joda.time.format.DateTimeFormatterBuilder$Composite#void#printTo#?,StringBuffer,long,Chronology,int,DateTimeZone,Locale#2515	0.007853403141361293	0.007853403141361293	0.007794057525683495	locale == null	_
org.joda.time.format.DateTimeFormatterBuilder$Composite#int#estimatePrintedLength#?#2504	0.006172839506172867	0.006172839506172867	0.006172839506172867	iPrintedLengthEstimate>=0	_
org.joda.time.format.DateTimeFormatter#DateTimePrinter#requirePrinter#?#656	0.005736137667303964	0.005736137667303964	0.005736137667303964	!(printer == null)	_
org.joda.time.DateTimeUtils#Chronology#getInstantChronology#?,ReadableInstant#168	0.005514705882352922	0.005514705882352922	0.005514705882352922	!(chrono == null)	_
org.joda.time.format.DateTimeFormatter#Chronology#selectChronology#?,Chronology#916	0.0044709388971684305	0.005769230769230749	0.005509572394818286	!(iChrono != null)	_
org.joda.time.base.BaseDateTime#?#BaseDateTime#?,long,DateTimeZone#110	0.0273972602739726	0.0	0.005479452054794519		_
org.joda.time.DateTimeUtils#long#getInstantMillis#?,ReadableInstant#149	0.005145797598627766	0.005199306759098743	0.005188604927004547	instant.getMillis()>0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfWeek#?,Chronology,long#725	0.004901960784313708	0.004901960784313708	0.004901960784313708	daysToAdd > 0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfMonth#?,Chronology,long#706	0.004901960784313708	0.004901960784313708	0.004822469528351858	!(iDayOfMonth >= 0)	_
org.joda.time.tz.DateTimeZoneBuilder$DSTZone#long#nextTransition#?,long#1208	0.0046511627906976605	0.0046511627906976605	0.0046511627906976605	!(instant > 0 && start < 0)	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#long#nextTransition#?,long#1580	0.00462962962962965	0.00462962962962965	0.00462962962962965	!(instant < end)	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfMonthNext#?,Chronology,long#683	0.0045045045045044585	0.0045045045045044585	0.0045045045045044585	next>=0	_
org.joda.time.tz.DateTimeZoneBuilder$Recurrence#int#getSaveMillis#?#776	0.0045045045045044585	0.0045045045045044585	0.0045045045045044585	iSaveMillis<=0	_
org.joda.time.tz.DateTimeZoneBuilder$Recurrence#long#next#?,long,int,int#761	0.0045045045045044585	0.0045045045045044585	0.0045045045045044585	iOfYear.next(instant,standardOffset,saveMillis)!=0	_
org.joda.time.field.PreciseDateTimeField#int#get#?,long#80	0.0028571428571428914	0.004784688995215336	0.004399179767600847	(int)((instant / getUnitMillis()) % iRange)==0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#add#?,long,int#136	0.0031746031746031633	0.00462962962962965	0.004317200636219054	iChronology.getDayOfMonth(instant,thisYear,thisMonth)==months	_
org.joda.time.chrono.BasicChronology#int#getYear#?,long#407	0.0023219814241486336	0.0046948356807511304	0.004220264829430631	instant - yearStart>=unitMillis	_
org.joda.time.chrono.BasicGJChronology#long#getTotalMillisByYearMonth#?,int,int#140	0.002862595419847347	0.0046948356807511304	0.004083737397059917	MAX_TOTAL_MILLIS_BY_MONTH_ARRAY[month - 1]<=0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#set#?,long,int#296	0.0019230769230769162	0.004132231404958664	0.003690400508582314	iChronology.getDayOfMonth(instant,thisYear)>month	_
org.joda.time.field.BaseDateTimeField#long#add#?,long,int#253	0.0036496350364964014	0.0036900369003689537	0.003681956527594443	getDurationField().add(instant,value)>=0	_
org.joda.time.chrono.AssembledChronology#long#getDateTimeMillis#?,int,int,int,int,int,int,int#133	0.0033670033670033517	0.0036363636363636598	0.003582491582491598	base.getDateTimeMillis(year,monthOfYear,dayOfMonth,hourOfDay,minuteOfHour,secondOfMinute,millisOfSecond)>0	_
org.joda.time.chrono.BasicChronology#int#getMonthOfYear#?,long#435	0.003567181926278251	0.003567181926278251	0.003567181926278251	getMonthOfYear(millis,getYear(millis))>=0	_
org.joda.time.chrono.BasicYearDateTimeField#long#add#?,long,int#63	0.003278688524590123	0.0035714285714285587	0.0035128805620608717	set(instant,newYear)>=0	_
org.joda.time.base.BaseDateTime#?#BaseDateTime#?,int,int,int,int,int,int,int,Chronology#256	0.003468208092485603	0.003468208092485603	0.003468208092485603	checkInstant(instant,iChronology)<=instant	_
org.joda.time.chrono.BasicChronology#long#getDateTimeMillis#?,int,int,int,int,int,int,int#177	0.0032467532467532756	0.003351955307262622	0.0033309148951607527	getDateMidnightMillis(year,monthOfYear,dayOfMonth) + hourOfDay * DateTimeConstants.MILLIS_PER_HOUR + minuteOfHour * DateTimeConstants.MILLIS_PER_MINUTE + secondOfMinute * DateTimeConstants.MILLIS_PER_SECOND + millisOfSecond>0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#int#get#?,long#72	0.003307607497243681	0.003307607497243681	0.003307607497243681	iChronology.getMonthOfYear(instant)>0	_
org.joda.time.chrono.BasicGJChronology#int#getDaysInYearMonth#?,int,int#123	0.0032085561497325887	0.0032085561497325887	0.0032085561497325887	MIN_DAYS_PER_MONTH_ARRAY[month - 1]>=0	_
org.joda.time.chrono.GJDayOfWeekDateTimeField#int#get#?,long#56	0.0030487804878048808	0.0030487804878048808	0.0030487804878048808	iChronology.getDayOfWeek(instant)>0	_
org.joda.time.chrono.BasicChronology#int#getDayOfMonth#?,long#449	0.0029211295034079487	0.0029615004935834577	0.0029534262955483556	getMonthOfYear(millis,year)<=year	_
org.joda.time.chrono.BasicChronology#int#getDayOfWeek#?,long#535	0.002941176470588225	0.002941176470588225	0.002941176470588225	instant / DateTimeConstants.MILLIS_PER_DAY!=instant	_
org.joda.time.chrono.BasicChronology#int#getDayOfMonth#?,long,int,int#469	0.00267141585040076	0.0029970029970030065	0.002931885567682557	getTotalMillisByYearMonth(year,month)<millis	_
org.joda.time.chrono.BasicChronology#long#getDateMidnightMillis#?,int,int,int#606	0.0026338893766462146	0.0029880478087649376	0.002917216122341193	getYearMonthDayMillis(year,monthOfYear,dayOfMonth)>0	_
org.joda.time.chrono.BasicChronology#DateTimeZone#getZone#?#143	0.0028985507246376274	0.0029112081513827937	0.002868777587233096	!((base=getBase()) != null)	_
org.joda.time.chrono.BasicDayOfMonthDateTimeField#int#get#?,long#47	0.0027700831024930483	0.0027700831024930483	0.0027700831024930483	iChronology.getDayOfMonth(instant)>0	_
org.joda.time.field.FieldUtils#int#safeAdd#?,int,int#64	0.002617801047120394	0.002777777777777768	0.0027430555555555403	val1 + val2>val1	_
org.joda.time.base.AbstractInstant#String#toString#?#424	0.013698630136986356	0.0	0.0027397260273972707		_
org.joda.time.field.MillisDurationField#long#add#?,long,int#117	0.002680965147453085	0.0027472527472527375	0.002733995227292807	FieldUtils.safeAdd(instant,value)>0	_
org.joda.time.base.BaseDateTime#long#checkInstant#?,long,Chronology#284	0.0025510204081632404	0.0027247956403270157	0.0026900405938942605	instant>0	_
org.joda.time.chrono.BasicChronology#int#getMaxMonth#?#691	0.00267618198037467	0.00267618198037467	0.00267618198037467	12>0	_
org.joda.time.chrono.BasicGJChronology#int#getMonthOfYear#?,long,int#88	0.0026338893766462146	0.002666666666666706	0.0026601112086626078	(int)((millis - getYearMillis(year)) >> 10)>year	_
org.joda.time.base.BaseDateTime#?#BaseDateTime#?,long,Chronology#126	0.002557544757033292	0.002673796791443861	0.002650546384561747	checkInstant(instant,iChronology)>=instant	_
org.joda.time.tz.CachedDateTimeZone#int#getOffset#?,long#111	0.0023510971786834256	0.0027173913043477826	0.0026441324792149112	getInfo(instant).getOffset(instant)>0	_
org.joda.time.chrono.BasicYearDateTimeField#int#get#?,long#54	0.0026155187445510153	0.0026478375992938785	0.002641373828345306	iChronology.getYear(instant)>0	_
org.joda.time.chrono.BasicChronology#int#getMillisOfDay#?,long#552	0.001512859304084735	0.002915451895043719	0.0026349333768519224	(int)(instant % DateTimeConstants.MILLIS_PER_DAY)>0	_
org.joda.time.chrono.BasicChronology#int#getMaxMonth#?,int#682	0.002629272567922891	0.002629272567922891	0.002629272567922891	getMaxMonth()!=0	_
org.joda.time.field.FieldUtils#void#verifyValueBounds#?,DateTimeFieldType,int,int,int#232	0.002624671916010457	0.0026269702276707774	0.0026265105653387136	!((value < lowerBound) || (value > upperBound))	_
org.joda.time.field.FieldUtils#long#safeAdd#?,long,long#82	0.0015105740181269312	0.0028248587570621764	0.0025620018092751273	val1 + val2<val1	_
org.joda.time.base.BaseDateTime#long#getMillis#?#295	0.0022123893805309214	0.002557544757033292	0.002488513681732818	iMillis>0	_
org.joda.time.chrono.BasicChronology#long#getYearMonthDayMillis#?,int,int,int#387	0.0022692889561271024	0.002540220152413175	0.0024860339131559605	millis + (dayOfMonth - 1) * (long)DateTimeConstants.MILLIS_PER_DAY>0	_
org.joda.time.chrono.GregorianChronology#long#getApproxMillisAtEpochDividedByTwo#?#241	0.002452984464431762	0.002452984464431762	0.002452984464431762	(1970L * MILLIS_PER_YEAR) / 2!=0	_
org.joda.time.chrono.GregorianChronology#long#getAverageMillisPerYearDividedByTwo#?#233	0.002452984464431762	0.002452984464431762	0.002452984464431762	MILLIS_PER_YEAR / 2>=0	_
org.joda.time.field.PreciseDurationDateTimeField#long#getUnitMillis#?#154	0.00241740531829171	0.00241740531829171	0.00241740531829171	iUnitMillis>0	_
