line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.plot.CategoryPlot#void#setRenderer#?,CategoryItemRenderer#1612	0.4472135954999579	0.0	0.4472135954999579		_
org.jfree.chart.plot.CategoryPlot#void#setRenderer#?,int,CategoryItemRenderer,boolean#1662	0.35355339059327373	0.0	0.35355339059327373		_
org.jfree.chart.plot.CategoryPlot#void#setDataset#?,CategoryDataset#1338	0.2581988897471611	0.0	0.2581988897471611		_
org.jfree.chart.plot.CategoryPlot#?#CategoryPlot#?#566	0.2581988897471611	0.0	0.2581988897471611		_
org.jfree.chart.plot.CategoryPlot#void#setDataset#?,int,CategoryDataset#1350	0.20851441405707477	0.0	0.20851441405707477		_
org.jfree.chart.util.SortOrder#?#SortOrder#?,String#74	0.20412414523193154	0.0	0.20412414523193154		_
org.jfree.chart.axis.CategoryAnchor#?#CategoryAnchor#?,String#75	0.19611613513818404	0.0	0.19611613513818404		_
org.jfree.chart.util.DefaultShadowGenerator#?#DefaultShadowGenerator#?,int,Color,float,int,double#91	0.0949157995752499	0.09534625892455924	0.19026205849980915	distance==size	_
org.jfree.chart.renderer.category.LineAndShapeRenderer#?#LineAndShapeRenderer#?#200	0.1889822365046136	0.0	0.1889822365046136		_
org.jfree.chart.util.RectangleInsets#?#RectangleInsets#?,double,double,double,double#101	0.058520573598065284	0.1125087900926024	0.17102936369066768	left>bottom	_
org.jfree.chart.util.RectangleInsets#?#RectangleInsets#?,UnitType,double,double,double,double#116	0.0576390417704235	0.1125087900926024	0.1701478318630259	bottom<left	_
org.jfree.chart.plot.CategoryPlot#int#getIndexOf#?,CategoryItemRenderer#1726	0.16222142113076254	0.0	0.16222142113076254		_
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#LegendItemCollection#getLegendItems#?#1790	0.16222142113076254	0.0	0.16222142113076254		GT
org.jfree.chart.renderer.category.LineAndShapeRenderer#?#LineAndShapeRenderer#?,boolean,boolean#210	0.15249857033260467	0.0	0.15249857033260467		_
org.jfree.chart.plot.DatasetRenderingOrder#?#DatasetRenderingOrder#?,String#80	0.15075567228888181	0.0	0.15075567228888181		_
org.jfree.chart.axis.AxisLocation#?#AxisLocation#?,String#84	0.14744195615489714	0.0	0.14744195615489714		_
org.jfree.chart.plot.PlotOrientation#?#PlotOrientation#?,String#72	0.1414213562373095	0.0	0.1414213562373095		_
org.jfree.chart.plot.DefaultDrawingSupplier#Shape[]#createStandardSeriesShapes#?#287	0.13130643285972254	0.0	0.13130643285972254		_
org.jfree.chart.ChartColor#Paint[]#createDefaultPaintArray#?#149	0.13130643285972254	0.0	0.13130643285972254		_
org.jfree.chart.plot.DefaultDrawingSupplier#int[]#intArray#?,double,double,double,double#531	0.13130643285972254	0.0	0.13130643285972254		_
org.jfree.chart.plot.DefaultDrawingSupplier#int[]#intArray#?,double,double,double#516	0.13130643285972254	0.0	0.13130643285972254		_
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#void#setPlot#?,CategoryPlot#292	0.11952286093343936	0.0	0.11952286093343936		_
org.jfree.chart.LegendItemCollection#int#getItemCount#?#106	0.11785113019775793	0.0	0.11785113019775793		_
org.jfree.chart.plot.CategoryPlot#void#mapDatasetToRangeAxis#?,int,int#1506	0.11396057645963795	0.0	0.11396057645963795		_
org.jfree.chart.plot.CategoryPlot#void#setRangeAxisLocation#?,int,AxisLocation,boolean#1226	0.11396057645963795	0.0	0.11396057645963795		_
org.jfree.chart.plot.CategoryPlot#void#configureDomainAxes#?#1012	0.11396057645963795	0.0	0.11396057645963795		_
org.jfree.chart.plot.CategoryPlot#void#mapDatasetToDomainAxis#?,int,int#1409	0.11396057645963795	0.0	0.11396057645963795		_
org.jfree.chart.plot.CategoryPlot#void#setRangeAxisLocation#?,AxisLocation,boolean#1196	0.11396057645963795	0.0	0.11396057645963795		_
org.jfree.chart.plot.CategoryPlot#?#CategoryPlot#?,CategoryDataset,CategoryAxis,ValueAxis,CategoryItemRenderer#582	0.11396057645963795	0.0	0.11396057645963795		_
org.jfree.chart.plot.CategoryPlot#void#checkAxisIndices#?,List#1445	0.11396057645963795	0.0	0.11396057645963795		_
org.jfree.chart.plot.CategoryPlot#void#mapDatasetToRangeAxes#?,int,List#1522	0.11396057645963795	0.0	0.11396057645963795		_
org.jfree.chart.plot.CategoryPlot#void#setDomainAxisLocation#?,AxisLocation,boolean#911	0.11396057645963795	0.0	0.11396057645963795		_
org.jfree.chart.plot.CategoryPlot#void#mapDatasetToDomainAxes#?,int,List#1425	0.11396057645963795	0.0	0.11396057645963795		_
org.jfree.chart.plot.CategoryPlot#void#setDomainAxisLocation#?,int,AxisLocation,boolean#945	0.11396057645963795	0.0	0.11396057645963795		_
org.jfree.chart.LegendItemCollection#?#LegendItemCollection#?#68	0.1125087900926024	0.0	0.1125087900926024		_
org.jfree.chart.plot.CategoryPlot#void#datasetChanged#?,DatasetChangeEvent#2332	0.10783277320343841	0.0	0.10783277320343841		_
org.jfree.chart.plot.CategoryPlot#CategoryDataset#getDataset#?,int#1319	0.10721125348377948	0.0	0.10721125348377948		_
