line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.renderer.category.StatisticalBarRenderer#void#drawItem#?,Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int,int#197	16.0	16.0	32.0	pass<=column	_
org.jfree.data.statistics.MeanAndStandardDeviation#Number#getMean#?#94	8.0	0.0	8.0		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Comparable#getRowKey#?,int#245	8.0	0.0	8.0		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Number#getMeanValue#?,int,int#106	8.0	0.0	8.0		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Comparable#getColumnKey#?,int#214	8.0	0.0	8.0		_
org.jfree.data.statistics.MeanAndStandardDeviation#Number#getStandardDeviation#?#103	8.0	0.0	8.0		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Number#getStdDevValue#?,int,int#168	8.0	0.0	8.0		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Number#getValue#?,int,int#125	8.0	0.0	8.0		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#int#getColumnCount#?#272	8.0	0.0	8.0		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#int#getRowCount#?#263	8.0	0.0	8.0		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#void#add#?,double,double,Comparable,Comparable#285	2.6666666666666665	2.6666666666666665	5.333333333333333	mean<standardDeviation	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Range#getRangeBounds#?,boolean#376	5.333333333333333	0.0	5.333333333333333		_
org.jfree.chart.renderer.category.BarRenderer#double#getLowerClip#?#457	4.0	0.0	4.0		_
org.jfree.chart.renderer.category.BarRenderer#double#getUpperClip#?#468	4.0	0.0	4.0		_
org.jfree.chart.renderer.category.StatisticalBarRenderer#void#drawHorizontalItem#?,Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,StatisticalCategoryDataset,int,int#238	2.0	2.0	4.0	column==row	GT
org.jfree.data.KeyedObjects2D#Comparable#getColumnKey#?,int#158	3.2	0.0	3.2		_
org.jfree.chart.renderer.category.StatisticalBarRenderer#?#StatisticalBarRenderer#?#114	3.2	0.0	3.2		_
