line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.rhino.jstype.ArrowType#int#hashCode#?#234	0.0	7.869685716476608E-4	7.869685716476608E-4	hashCode>=0	_
com.google.javascript.rhino.jstype.FunctionType#int#hashCode#?#839	0.0	7.853953244024165E-4	7.853953244024165E-4	isInterface() ? getReferenceName().hashCode() : call.hashCode()>=0	_
com.google.javascript.jscomp.ComposeWarningsGuard$GuardComparator#int#compare#?,WarningsGuard,WarningsGuard#69	0.0	3.6247681265033773E-4	3.6247681265033773E-4	orderOfAddition.get(b).intValue() - orderOfAddition.get(a).intValue()!=0	_
com.google.javascript.rhino.Node#int#getCharno#?#1132	0.0	3.511462705844365E-4	3.511462705844365E-4	extractCharno(sourcePosition)==0	_
com.google.javascript.rhino.JSDocInfoBuilder#void#markTypeNode#?,Node,int,int,int,int,boolean#182	0.0	3.3916887696250776E-4	3.3916887696250776E-4	endLineno==startCharno	_
com.google.javascript.jscomp.JSError#?#JSError#?,String,Node,int,int,DiagnosticType,CheckLevel,String#144	0.0	3.2766419146300894E-4	3.2766419146300894E-4	lineno<charno	_
com.google.javascript.rhino.Node#int#extractCharno#?,int#1212	0.0	3.1614834061990683E-4	3.1614834061990683E-4	lineCharNo & COLUMN_MASK<=0	_
com.google.javascript.jscomp.parsing.IRFactory#int#position2charno#?,int#368	0.0	2.4188806399531697E-4	2.4188806399531697E-4	position<0	_
com.google.javascript.jscomp.JSError#int#getCharno#?#204	0.0	1.2811084917318063E-4	1.2811084917318063E-4	charno>0	_
com.google.javascript.rhino.jstype.InstanceObjectType#int#hashCode#?#176	0.0	1.209060432774215E-4	1.209060432774215E-4	getReferenceName().hashCode()<=0	_
com.google.javascript.jscomp.DiagnosticType#int#hashCode#?#121	0.0	9.443630880237781E-5	9.443630880237781E-5	key.hashCode()>0	_
com.google.javascript.rhino.InputId#int#hashCode#?#61	0.0	4.028846070071166E-5	4.028846070071166E-5	id.hashCode()<0	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getLineno#?#226	0.0	3.929353895502929E-5	3.929353895502929E-5	lineno>0	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseAndRecordTypeNode#?,JsDocToken,int,int,boolean,boolean#1137	0.0	1.3648015926944227E-5	1.3648015926944227E-5	lineno<startCharno	_
