line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver#?#BracketingNthOrderBrentSolver#?,double,double,double,int#123	0.0	0.6	0.6	relativeAccuracy!=absoluteAccuracy	_
org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver#double#guessX#?,double,double[],double[],int,int#378	0.0	0.20571428571428568	0.20571428571428568	x0<0	_
org.apache.commons.math.analysis.solvers.AbstractUnivariateRealSolver#?#AbstractUnivariateRealSolver#?,double,double,double#58	0.0	0.1111111111111111	0.1111111111111111	functionValueAccuracy<relativeAccuracy	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getMin#?#110	0.0	0.02346765477844681	0.02346765477844681	searchMin<0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getStartValue#?#122	0.0	0.002219403931515533	0.002219403931515533	searchStart>0	_
org.apache.commons.math.util.FastMath#long#abs#?,long#3005	0.0	0.0018115942028985512	0.0018115942028985512	(x < 0l) ? -x : x!=0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#?#BaseAbstractUnivariateRealSolver#?,double,double,double#92	0.0	0.0011671335200746959	0.0011671335200746959	relativeAccuracy<absoluteAccuracy	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#computeObjectiveValue#?,double#154	0.0	9.039256198347112E-4	9.039256198347112E-4	function.value(point)<0	_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils#void#verifySequence#?,double,double,double#353	0.0	8.608321377331432E-4	8.608321377331432E-4	upper>=initial	_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils#void#verifyInterval#?,double,double#335	0.0	4.926108374384234E-4	4.926108374384234E-4	upper>=lower	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#void#setup#?,int,FUNC,double,double,double#171	0.0	3.691399040236243E-4	3.691399040236243E-4	startValue>=min	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#void#verifySequence#?,double,double,double#267	0.0	3.0864197530864473E-4	3.0864197530864473E-4	lower<=initial	_
org.apache.commons.math.util.FastMath#double#max#?,double,double#3539	0.0	1.5689630580516343E-4	1.5689630580516343E-4	a>0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getMax#?#116	0.0	1.2498437695288023E-4	1.2498437695288023E-4	searchMax>0	_
org.apache.commons.math.util.FastMath#double#abs#?,double#3023	0.0	1.0425379738395695E-4	1.0425379738395695E-4	(x < 0.0) ? -x : (x == 0.0) ? 0.0 : x!=0	_
org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver#double#solve#?,int,UnivariateFunction,double,double,double,AllowedSolution#394	0.0	0.0	0.0	super.solve(maxEval,f,min,max,startValue)==0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#solve#?,int,FUNC,double,double,double#190	0.0	0.0	0.0	doSolve()<=0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getAbsoluteAccuracy#?#128	0.0	0.0	0.0	absoluteAccuracy>=0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getFunctionValueAccuracy#?#140	0.0	0.0	0.0	functionValueAccuracy!=0	_
org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver#double#doSolve#?#222	0.0	0.0	0.0	(yA <= 0) ? xA : xB<=0	GT
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getRelativeAccuracy#?#134	0.0	0.0	0.0	relativeAccuracy>=0	_
