line	original_score	max_predicate_score	total	predicate	label
org.joda.time.LocalDate#?#LocalDate#?,int,int,int#425	0.20253164556962025	4.0	4.2025316455696204	dayOfMonth>year	_
org.joda.time.LocalDateTime#?#LocalDateTime#?,int,int,int,int,int,int,int#470	0.17777777777777778	4.0	4.177777777777778	millisOfSecond>=year	_
org.joda.time.chrono.AssembledChronology#long#getDateTimeMillis#?,int,int,int,int#116	0.12598425196850394	3.2	3.325984251968504	year<dayOfMonth	_
org.joda.time.LocalDateTime#?#LocalDateTime#?,int,int,int,int,int,int,int,Chronology#498	0.11678832116788321	2.6666666666666665	2.7834549878345496	year<=secondOfMinute	_
org.joda.time.LocalDate#?#LocalDate#?,int,int,int,Chronology#444	0.10738255033557047	2.0	2.1073825503355703	year<monthOfYear	_
org.joda.time.LocalDateTime#String#toString#?#2015	1.7777777777777777	0.0	1.7777777777777777		_
org.joda.time.LocalDate#String#toString#?#1804	1.3333333333333333	0.0	1.3333333333333333		_
org.joda.time.LocalDateTime#boolean#isSupported#?,DateTimeFieldType#611	1.3333333333333333	0.0	1.3333333333333333		_
org.joda.time.format.DateTimeFormatterBuilder$Fraction#void#printTo#?,StringBuffer,ReadablePartial,Locale#1888	0.8421052631578947	0.0	0.8421052631578947		_
org.joda.time.LocalDateTime#int#get#?,DateTimeFieldType#596	0.8	0.0	0.8		_
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset#void#printTo#?,StringBuffer,ReadablePartial,Locale#2228	0.8	0.0	0.8		_
org.joda.time.chrono.AssembledChronology#long#getDateTimeMillis#?,int,int,int,int,int,int,int#129	0.01671891327063741	0.7619047619047619	0.7786236751753993	year<=hourOfDay	_
org.joda.time.LocalDate#int#get#?,DateTimeFieldType#541	0.7619047619047619	0.0	0.7619047619047619		_
org.joda.time.LocalDateTime#int#getValue#?,int#566	0.7619047619047619	0.0	0.7619047619047619		_
org.joda.time.chrono.BasicChronology#long#getDateTimeMillis#?,int,int,int,int#151	0.055944055944055944	0.5714285714285714	0.6273726273726273	year==millisOfDay	_
org.joda.time.LocalDate#boolean#isSupported#?,DateTimeFieldType#559	0.6153846153846154	0.0	0.6153846153846154		_
org.joda.time.format.DateTimeFormatterBuilder$Composite#void#printTo#?,StringBuffer,ReadablePartial,Locale#2652	0.5517241379310345	0.0	0.5517241379310345		_
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral#void#printTo#?,StringBuffer,ReadablePartial,Locale#1190	0.5517241379310345	0.0	0.5517241379310345		_
org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber#void#printTo#?,StringBuffer,ReadablePartial,Locale#1456	0.5423728813559322	0.0	0.5423728813559322		_
org.joda.time.format.DateTimeFormatter#String#print#?,ReadablePartial#611	0.5378151260504201	0.0	0.5378151260504201		_
org.joda.time.format.DateTimeFormatter#void#printTo#?,StringBuffer,ReadablePartial#532	0.5333333333333333	0.0	0.5333333333333333		_
