line	original_score	max_predicate_score	total	predicate	label
org.joda.time.chrono.GJChronology#long#getDateTimeMillis#?,int,int,int,int#329	0.4117647058823529	0.4666666666666667	0.8784313725490196	monthOfYear<dayOfMonth	_
org.joda.time.LocalDate#String#toString#?#1734	0.4666666666666667	0.0	0.4666666666666667		_
org.joda.time.LocalDate#int#get#?,DateTimeFieldType#489	0.29166666666666663	0.0	0.29166666666666663		_
org.joda.time.format.DateTimeFormatter#LocalDate#parseLocalDate#?,String#758	0.28	0.0	0.28		_
org.joda.time.LocalDateTime#LocalDate#toLocalDate#?#697	0.2692307692307693	0.0	0.2692307692307693		_
org.joda.time.chrono.GJChronology#boolean#equals#?,Object#403	0.25	0.0	0.25		_
org.joda.time.LocalDate#boolean#isSupported#?,DateTimeFieldType#507	0.24137931034482762	0.0	0.24137931034482762		_
org.joda.time.chrono.GJChronology#GJChronology#getInstanceUTC#?#122	0.24137931034482762	0.0	0.24137931034482762		_
org.joda.time.format.DateTimeFormatter#LocalDateTime#parseLocalDateTime#?,String#794	0.19999999999999996	0.0	0.19999999999999996		_
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField#int#getMaximumValueForSet#?,long,int#110	0.18918918918918914	0.0	0.18918918918918914		_
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField#int#getMinimumValue#?#78	0.16666666666666663	0.0	0.16666666666666663		_
org.joda.time.format.DateTimeParserBucket#int#getOffset#?#172	0.16279069767441856	0.0	0.16279069767441856		_
org.joda.time.format.DateTimeParserBucket#DateTimeZone#getZone#?#151	0.15909090909090906	0.0	0.15909090909090906		_
org.joda.time.DateTimeZone#DateTimeZone#forOffsetMillis#?,int#281	0.13207547169811318	0.0	0.13207547169811318		_
org.joda.time.LocalDate#boolean#equals#?,Object#568	0.12962962962962965	0.0	0.12962962962962965		_
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField#long#roundFloor#?,long#64	0.125	0.0	0.125		_
org.joda.time.chrono.BasicChronology#int#getWeeksInYear#?,int#326	0.11864406779661019	0.0	0.11864406779661019		_
org.joda.time.DateTimeZone#DateTimeZone#fixedOffsetZone#?,String,int#348	0.11475409836065575	0.0	0.11475409836065575		_
org.joda.time.chrono.GJChronology$CutoverField#DurationField#getRangeDurationField#?#754	0.11290322580645162	0.0	0.11290322580645162		_
org.joda.time.chrono.GJChronology$CutoverField#DurationField#getDurationField#?#750	0.11111111111111116	0.0	0.11111111111111116		_
org.joda.time.LocalDate#?#LocalDate#?,int,int,int,Chronology#395	0.04861111111111116	0.060869565217391286	0.10948067632850245	monthOfYear<dayOfMonth	_
org.joda.time.DateTimeZone#String#printOffset#?,int#629	0.109375	0.0	0.109375		_
org.joda.time.chrono.GJChronology#Chronology#withUTC#?#306	0.10769230769230764	0.0	0.10769230769230764		_
org.joda.time.chrono.GJChronology#Chronology#withZone#?,DateTimeZone#316	0.10606060606060608	0.0	0.10606060606060608		_
org.joda.time.chrono.GJChronology$CutoverField#long#roundFloor#?,long#850	0.10606060606060608	0.0	0.10606060606060608		_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#date#?#853	0.10447761194029848	0.0	0.10447761194029848		_
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField#int#get#?,long#53	0.1029411764705882	0.0	0.1029411764705882		_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#yearMonthDay#?#1325	0.09333333333333338	0.0	0.09333333333333338		_
org.joda.time.chrono.GJChronology#int#getMinimumDaysInFirstWeek#?#392	0.09210526315789469	0.0	0.09210526315789469		_
org.joda.time.chrono.GJChronology#Instant#getGregorianCutover#?#383	0.09210526315789469	0.0	0.09210526315789469		_
org.joda.time.Instant#Instant#toInstant#?#130	0.09090909090909094	0.0	0.09090909090909094		_
org.joda.time.chrono.GJChronology#GJChronology#getInstance#?,DateTimeZone,ReadableInstant,int#187	0.0864197530864198	0.0	0.0864197530864198		_
org.joda.time.LocalDate#?#LocalDate#?,long,Chronology#280	0.07216494845360821	0.0	0.07216494845360821		_
org.joda.time.chrono.BasicChronology#long#getDateTimeMillis#?,int,int,int,int#151	0.02491103202846978	0.046052631578947345	0.07096366360741713	monthOfYear<dayOfMonth	_
org.joda.time.chrono.BasicChronology#int#getWeekOfWeekyear#?,long#507	0.06930693069306926	0.0	0.06930693069306926		_
org.joda.time.field.DecoratedDurationField#long#getUnitMillis#?#100	0.06666666666666665	0.0	0.06666666666666665		_
org.joda.time.chrono.BasicChronology#int#getWeekOfWeekyear#?,long,int#515	0.06422018348623848	0.0	0.06422018348623848		_
org.joda.time.chrono.BasicWeekyearDateTimeField#long#set#?,long,int#127	0.06382978723404253	0.0	0.06382978723404253		_
org.joda.time.chrono.BasicChronology#long#getFirstWeekOfYearMillis#?,int#338	0.06306306306306309	0.0	0.06306306306306309		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendWeekOfWeekyear#?,int#756	0.0625	0.0	0.0625		_
org.joda.time.chrono.BasicWeekyearDateTimeField#long#roundFloor#?,long#231	0.061224489795918324	0.0	0.061224489795918324		_
org.joda.time.chrono.GJChronology#DateTimeZone#getZone#?#291	0.05833333333333335	0.0	0.05833333333333335		_
org.joda.time.format.DateTimeFormatterBuilder$Composite#void#printTo#?,StringBuffer,ReadablePartial,Locale#2545	0.05691056910569103	0.0	0.05691056910569103		_
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral#void#printTo#?,StringBuffer,ReadablePartial,Locale#1160	0.05691056910569103	0.0	0.05691056910569103		_
org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber#void#printTo#?,StringBuffer,ReadablePartial,Locale#1426	0.05600000000000005	0.0	0.05600000000000005		_
org.joda.time.format.DateTimeFormatter#String#print#?,ReadablePartial#609	0.05555555555555558	0.0	0.05555555555555558		_
org.joda.time.chrono.BasicChronology#int#getMinimumDaysInFirstWeek#?#184	0.05555555555555558	0.0	0.05555555555555558		_
org.joda.time.format.DateTimeFormatter#void#printTo#?,StringBuffer,ReadablePartial#530	0.055118110236220486	0.0	0.055118110236220486		_
org.joda.time.DateTimeUtils#DateTimeZone#getZone#?,DateTimeZone#268	0.0546875	0.0	0.0546875		_
org.joda.time.LocalDateTime#?#LocalDateTime#?,long,Chronology#274	0.05384615384615388	0.0	0.05384615384615388		_
org.joda.time.chrono.GJChronology$CutoverField#int#get#?,long#630	0.050000000000000044	0.0	0.050000000000000044		_
org.joda.time.chrono.GJChronology$CutoverField#long#set#?,long,int#696	0.0482758620689655	0.0	0.0482758620689655		_
org.joda.time.format.DateTimeFormat#boolean#isNumericToken#?,String#631	0.046511627906976716	0.0	0.046511627906976716		_
org.joda.time.format.DateTimeFormat#DateTimeFormatter#createFormatterForPattern#?,String#673	0.04402515723270439	0.0	0.04402515723270439		_
org.joda.time.format.DateTimeFormat#DateTimeFormatter#forPattern#?,String#169	0.04402515723270439	0.0	0.04402515723270439		_
org.joda.time.field.PreciseDurationDateTimeField#int#getMaximumValueForSet#?,long,int#162	0.04347826086956519	0.0	0.04347826086956519		_
org.joda.time.LocalDate#long#getLocalMillis#?#547	0.042944785276073594	0.0	0.042944785276073594		_
org.joda.time.LocalDate#Chronology#getChronology#?#556	0.03977272727272729	0.0	0.03977272727272729		_
org.joda.time.chrono.BasicWeekyearDateTimeField#int#get#?,long#59	0.038461538461538436	0.0	0.038461538461538436		_
org.joda.time.LocalDateTime#long#getLocalMillis#?#585	0.037837837837837784	0.0	0.037837837837837784		_
org.joda.time.LocalDateTime#Chronology#getChronology#?#594	0.03626943005181349	0.0	0.03626943005181349		_
org.joda.time.chrono.BasicChronology#int#getWeekyear#?,long#492	0.03614457831325302	0.0	0.03614457831325302		_
org.joda.time.chrono.GJDayOfWeekDateTimeField#int#getMaximumValue#?#111	0.03529411764705881	0.0	0.03529411764705881		_
org.joda.time.chrono.GJDayOfWeekDateTimeField#int#getMinimumValue#?#102	0.03488372093023251	0.0	0.03488372093023251		_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#roundFloor#?,long#342	0.03482587064676612	0.0	0.03482587064676612		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendWeekyear#?,int,int#768	0.033333333333333326	0.0	0.033333333333333326		_
org.joda.time.format.DateTimeFormatter#DateTimeFormatter#withChronology#?,Chronology#254	0.033175355450236976	0.0	0.033175355450236976		_
org.joda.time.format.DateTimeParserBucket$SavedField#int#compareTo#?,SavedField#481	0.02734375	0.0	0.02734375		_
org.joda.time.tz.FixedDateTimeZone#int#hashCode#?#101	0.027027027027026973	0.0	0.027027027027026973		_
org.joda.time.field.BaseDateTimeField#int#getMaximumValue#?,long#791	0.026548672566371723	0.0	0.026548672566371723		_
org.joda.time.format.DateTimeParserBucket$SavedField#long#set#?,long,boolean#464	0.026415094339622636	0.0	0.026415094339622636		_
org.joda.time.format.DateTimeParserBucket#int#compareReverse#?,DurationField,DurationField#493	0.026415094339622636	0.0	0.026415094339622636		_
org.joda.time.chrono.BasicChronology#long#getYearMonthMillis#?,int,int#370	0.02583025830258301	0.0	0.02583025830258301		_
org.joda.time.format.DateTimeParserBucket#void#sort#?,SavedField[],int#398	0.025362318840579712	0.0	0.025362318840579712		_
org.joda.time.format.DateTimeParserBucket#long#computeMillis#?,boolean,String#331	0.025362318840579712	0.0	0.025362318840579712		GT
org.joda.time.DateTimeZone#long#getMillisKeepLocal#?,DateTimeZone,long#1026	0.02447552447552448	0.0	0.02447552447552448		_
