line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.rhino.Node$NumberNode#double#getDouble#?#160	1.7436665418694621	1.7778609759141395	3.5215275177836016	this.number>0	_
com.google.javascript.rhino.Node#int#getChangeTime#?#1896	1.5695744415325097	1.572070385623362	3.1416448271558717	getIntProp(CHANGE_TIME)==0	_
com.google.javascript.jscomp.CodePrinter$MappedCodePrinter#char#getLastChar#?#208	1.532260077374267	1.543991014601273	3.07625109197554	(code.length() > 0) ? code.charAt(code.length() - 1) : '\0'!=0	_
com.google.javascript.jscomp.BasicErrorManager#int#getWarningCount#?#80	1.4788468738300262	1.5209035317608885	2.9997504055909148	warningCount<=0	_
com.google.javascript.jscomp.Tracer#long#stop#?,int#413	1.481218020716336	1.481218020716336	2.962436041432672	0>=0	_
com.google.javascript.jscomp.Tracer#long#stop#?#441	1.481218020716336	1.481218020716336	2.962436041432672	stop(-1)==0	_
com.google.javascript.rhino.Node#int#getChildCount#?#1408	1.1666042680643953	1.4128291526269812	2.575939098964183	c==0	_
com.google.javascript.rhino.jstype.TemplateTypeMap#int#numUnfilledTemplateKeys#?#105	1.2779233745164107	1.294271808311494	2.5721951828279046	templateKeys.size() - templateValues.size()>0	_
com.google.javascript.rhino.jstype.InstanceObjectType#int#hashCode#?#163	1.2676900037439163	1.3045051790839886	2.5721951828279046	getReferenceName().hashCode()>0	_
com.google.javascript.jscomp.parsing.IRFactory#int#transformTokenType#?,int#1446	1.281168101834519	1.281168101834519	2.562336203669038	Token.BLOCK>0	_
com.google.javascript.rhino.Node#int#getIntProp#?,int#830	1.2557094721078248	1.2557094721078248	2.5114189442156496	item.getIntValue()>0	_
com.google.javascript.rhino.Node$IntPropListItem#int#getIntValue#?#337	1.2557094721078248	1.2557094721078248	2.5114189442156496	intValue!=0	_
com.google.javascript.rhino.jstype.JSType#int#hashCode#?#654	1.2452265069262447	1.2452265069262447	2.4904530138524894	System.identityHashCode(this)>0	_
com.google.javascript.rhino.InputId#int#hashCode#?#61	1.1656058904280544	1.3045051790839886	2.470111069512043	id.hashCode()>0	_
com.google.javascript.jscomp.ComposeWarningsGuard$GuardComparator#int#compare#?,WarningsGuard,WarningsGuard#64	1.1970547859727942	1.1988019468363909	2.3941095719455885	priorityDiff>0	_
com.google.javascript.jscomp.WarningsGuard#int#getPriority#?#83	1.196805191563709	1.196805191563709	2.393610383127418	Priority.DEFAULT.value>0	_
com.google.javascript.jscomp.SuppressDocWarningsGuard#int#getPriority#?#107	1.193810058654686	1.193810058654686	2.387620117309372	WarningsGuard.Priority.SUPPRESS_DOC.value>0	_
com.google.javascript.jscomp.Compiler#int#getErrorCount#?#2184	1.177212030450518	1.1787095969050294	2.3559216273555474	errorManager.getErrorCount()==0	_
com.google.javascript.jscomp.parsing.IRFactory#int#position2charno#?,int#507	1.145513540496693	1.19780356920005	2.343317109696743	position>0	_
com.google.javascript.jscomp.BasicErrorManager#int#getErrorCount#?#75	1.1583676525645825	1.1614875826781481	2.3198552352427306	errorCount==0	_
com.google.javascript.rhino.Node#int#extractCharno#?,int#1219	1.1426432047922126	1.1426432047922126	2.285286409584425	-1<=0	_
com.google.javascript.rhino.Node#int#extractLineno#?,int#1207	1.1407712467240734	1.1411456383377012	2.2815424934481467	-1<0	_
com.google.javascript.rhino.Node#int#getCharno#?#1141	1.1234244352926495	1.1427680019967554	2.266192437289405	extractCharno(sourcePosition)<0	_
com.google.javascript.rhino.Node#int#getLineno#?#1137	1.12155247722451	1.1413952327467864	2.2629477099712965	extractLineno(sourcePosition)>0	_
com.google.javascript.rhino.Node#int#mergeLineCharNo#?,int,int#1197	1.1086983651566205	1.1090727567702483	2.2177711219268685	lineno << COLUMN_BITS | (charno & COLUMN_MASK)!=0	_
com.google.javascript.rhino.Node#int#getType#?#524	1.1032072881567454	1.1032072881567454	2.206414576313491	type>0	_
com.google.javascript.rhino.Node$AbstractPropListItem#int#getType#?#279	1.081742168975415	1.081742168975415	2.16348433795083	propType>=0	_
