line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.Scope#int#getVarCount#?#607	0.0	0.005102923369659229	0.005102923369659229	vars.size()==0	_
com.google.javascript.jscomp.DiagnosticType#int#hashCode#?#121	0.0	4.0200033547411313E-4	4.0200033547411313E-4	key.hashCode()<0	_
com.google.javascript.rhino.Node$NumberNode#double#getDouble#?#167	0.0	1.5355028100285262E-4	1.5355028100285262E-4	this.number>0	_
com.google.javascript.rhino.Node#int#getChildCount#?#1410	0.0	1.4768105409447E-4	1.4768105409447E-4	c<=0	_
com.google.javascript.rhino.jstype.InstanceObjectType#int#hashCode#?#176	0.0	1.1746097509044513E-4	1.1746097509044513E-4	getReferenceName().hashCode()<=0	_
com.google.javascript.rhino.InputId#int#hashCode#?#61	0.0	6.194296614754543E-5	6.194296614754543E-5	id.hashCode()>0	_
com.google.javascript.rhino.Node#int#getCharno#?#1145	0.0	4.4144837818836094E-5	4.4144837818836094E-5	extractCharno(sourcePosition)>0	_
com.google.javascript.jscomp.parsing.IRFactory#int#position2charno#?,int#382	0.0	3.872816699585608E-5	3.872816699585608E-5	position - lineIndex - 1==0	_
com.google.javascript.jscomp.BasicErrorManager#int#getWarningCount#?#81	0.0	3.690459613132826E-5	3.690459613132826E-5	warningCount<=0	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getLineno#?#226	0.0	3.625997761367119E-5	3.625997761367119E-5	lineno>0	_
com.google.javascript.rhino.Node#int#getSideEffectFlags#?#2023	0.0	2.693457591510223E-5	2.693457591510223E-5	getIntProp(SIDE_EFFECT_FLAGS)<=0	_
com.google.javascript.jscomp.CodePrinter$MappedCodePrinter#char#getLastChar#?#207	0.0	1.4349788368523981E-5	1.4349788368523981E-5	(code.length() > 0) ? code.charAt(code.length() - 1) : '\0'>0	_
com.google.javascript.rhino.Node#int#extractCharno#?,int#1225	0.0	9.999301485577236E-6	9.999301485577236E-6	lineCharNo & COLUMN_MASK!=0	_
com.google.javascript.rhino.Node#int#getLineno#?#1141	0.0	7.018290674664154E-6	7.018290674664154E-6	extractLineno(sourcePosition)>0	_
com.google.javascript.rhino.Node#int#extractLineno#?,int#1213	0.0	5.844854907689908E-6	5.844854907689908E-6	lineCharNo >>> COLUMN_BITS!=0	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getCharno#?#229	0.0	5.793635343956513E-6	5.793635343956513E-6	lineno == initLineno ? initCharno + charno : charno>0	_
com.google.javascript.jscomp.BasicErrorManager#int#getErrorCount#?#76	0.0	1.1249832414181055E-6	1.1249832414181055E-6	errorCount==0	_
com.google.javascript.jscomp.Compiler#int#getErrorCount#?#2072	0.0	5.106921183021303E-7	5.106921183021303E-7	errorManager.getErrorCount()==0	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getChar#?#343	0.0	4.2383644886095917E-7	4.2383644886095917E-7	ungetBuffer[ungetCursor]>=0	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getOffset#?#447	0.0	1.4090405166787296E-7	1.4090405166787296E-7	sourceCursor - lineStart - ungetCursor- 1>0	_
com.google.javascript.rhino.Node#int#mergeLineCharNo#?,int,int#1201	0.0	1.3073647692392072E-7	1.3073647692392072E-7	lineno << COLUMN_BITS | (charno & COLUMN_MASK)>0	_
com.google.javascript.rhino.Node#int#getType#?#529	0.0	0.0	0.0	type>0	_
com.google.javascript.rhino.Node$IntPropListItem#int#getIntValue#?#342	0.0	0.0	0.0	intValue>=0	_
com.google.javascript.rhino.Node#int#getIntProp#?,int#834	0.0	0.0	0.0	item.getIntValue()>=0	_
com.google.javascript.jscomp.parsing.IRFactory#int#transformTokenType#?,int#1313	0.0	0.0	0.0	Token.EXPR_RESULT>0	_
com.google.javascript.jscomp.WarningsGuard#int#getPriority#?#84	0.0	0.0	0.0	Priority.DEFAULT.value>=0	_
com.google.javascript.jscomp.Tracer#long#stop#?,int#413	0.0	0.0	0.0	0>=0	_
com.google.javascript.rhino.jstype.JSType#int#hashCode#?#484	0.0	0.0	0.0	System.identityHashCode(this)!=0	_
com.google.javascript.jscomp.NodeTraversal#int#getScopeDepth#?#639	0.0	0.0	0.0	scopes.size() + scopeRoots.size()!=0	_
com.google.javascript.jscomp.ControlFlowAnalysis$AstControlFlowGraph#int#getPosition#?,DiGraphNode<Node,Branch>#1055	0.0	0.0	0.0	priority>0	_
com.google.javascript.jscomp.Scope$Var#int#hashCode#?#328	0.0	0.0	0.0	nameNode.hashCode()!=0	_
com.google.javascript.jscomp.NodeUtil#int#precedence#?,int#1198	0.0	0.0	0.0	9>0	_
com.google.javascript.rhino.Node$AbstractPropListItem#int#getType#?#284	0.0	0.0	0.0	propType>=0	_
com.google.javascript.jscomp.ComposeWarningsGuard$GuardComparator#int#compare#?,WarningsGuard,WarningsGuard#65	0.0	0.0	0.0	priorityDiff!=0	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getCharIgnoreLineEnd#?#434	0.0	0.0	0.0	c!=0	_
com.google.javascript.jscomp.Tracer#long#stop#?#441	0.0	0.0	0.0	stop(-1)<=0	_
com.google.javascript.jscomp.SuppressDocWarningsGuard#int#getPriority#?#99	0.0	0.0	0.0	WarningsGuard.Priority.SUPPRESS_DOC.value>0	_
com.google.javascript.jscomp.UseSite#int#hashCode#?#43	0.0	0.0	0.0	this.node.hashCode()!=0	_
