line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math3.analysis.differentiation.DerivativeStructure#DerivativeStructure#atan2#?,DerivativeStructure,DerivativeStructure#757	0.33333333333333337	0.0	0.33333333333333337		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#atan2#?,double[],int,double[],int,double[],int#1400	0.33333333333333337	0.0	0.33333333333333337		GT
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#atan#?,double[],int,double[],int#1344	0.25	0.0	0.25		_
org.apache.commons.math3.util.FastMath#double#atan#?,double#2423	0.032258064516129004	0.033333333333333326	0.06559139784946233	atan(x,0.0,false)>=0	_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#divide#?,double[],int,double[],int,double[],int#796	0.05555555555555558	0.0	0.05555555555555558		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#pow#?,double[],int,int,double[],int#896	0.033333333333333326	0.0	0.033333333333333326		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#rootN#?,double[],int,int,double[],int#951	0.033333333333333326	0.0	0.033333333333333326		_
org.apache.commons.math3.util.FastMath#double#atan#?,double,double,boolean#2479	0.03125	0.011111111111111072	0.03125		_
org.apache.commons.math3.util.FastMath#double#pow#?,double,int#1666	0.013513513513513487	0.013698630136986356	0.027212143650499843	resultHigh + resultLow>=0	_
org.apache.commons.math3.analysis.differentiation.DerivativeStructure#double#getValue#?#231	0.00666666666666671	0.007092198581560294	0.013758865248227004	data[0]>0	_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#multiply#?,double[],int,double[],int,double[],int#779	0.011111111111111072	0.0	0.011111111111111072		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#compose#?,double[],int,double[],double[],int#1719	0.010309278350515427	0.0	0.010309278350515427		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#add#?,double[],int,double[],int,double[],int#737	0.008928571428571397	0.0	0.008928571428571397		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int#getSize#?#642	0.004444444444444473	0.004444444444444473	0.008888888888888946	sizes[parameters][order]!=0	_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#checkCompatibility#?,DSCompiler#1757	0.006711409395973145	0.0	0.006711409395973145		_
org.apache.commons.math3.analysis.differentiation.DerivativeStructure#?#DerivativeStructure#?,int,int,int,double#119	0.004608294930875556	0.0	0.004608294930875556		_
org.apache.commons.math3.analysis.differentiation.DerivativeStructure#?#DerivativeStructure#?,int,int,double#93	0.004524886877828038	0.0	0.004524886877828038		_
org.apache.commons.math3.analysis.differentiation.DerivativeStructure#?#DerivativeStructure#?,int,int#82	0.004484304932735439	0.0	0.004484304932735439		_
org.apache.commons.math3.analysis.differentiation.DerivativeStructure#?#DerivativeStructure#?,DSCompiler#73	0.004484304932735439	0.0	0.004484304932735439		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#DSCompiler#getCompiler#?,int,int#192	0.004366812227074246	0.0	0.004366812227074246		_
org.apache.commons.math3.util.FastMath#double#sqrt#?,double#379	9.54198473282486E-4	0.002808988764044895	0.003763187237327381	Math.sqrt(a)==0	_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int[]#compileLowerIndirection#?,int,int,DSCompiler,DSCompiler#311	0.0	0.0	0.0		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int[][]#compileDerivativesIndirection#?,int,int,DSCompiler,DSCompiler#273	0.0	0.0	0.0		_
org.apache.commons.math3.util.FastMath#int#min#?,int,int#3421	0.0	0.0	0.0		_
org.apache.commons.math3.util.FastMath#int#max#?,int,int#3489	0.0	0.0	0.0		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#?#DSCompiler#?,int,int,DSCompiler,DSCompiler#167	0.0	0.0	0.0		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int[][][]#compileCompositionIndirection#?,int,int,DSCompiler,DSCompiler,int[][],int[][]#410	0.0	0.0	0.0		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int[][][]#compileMultiplicationIndirection#?,int,int,DSCompiler,DSCompiler,int[]#346	0.0	0.0	0.0		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int#convertIndex#?,int,int,int[][],int,int,int[][]#605	0.0	0.0	0.0		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int[][]#compileSizes#?,int,int,DSCompiler#241	0.0	0.0	0.0		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int#getPartialDerivativeIndex#?,int,int,int[][],int#571	0.0	0.0	0.0		_
