line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math3.optimization.direct.CMAESOptimizer#double#max#?,RealMatrix#1270	0.0	1.8823529411764706	1.8823529411764706	max==0	_
org.apache.commons.math3.util.FastMath#double#sqrt#?,double#375	0.0	0.004517006802721088	0.004517006802721088	Math.sqrt(a)==0	_
org.apache.commons.math3.linear.Array2DRowRealMatrix#double#getEntry#?,int,int#304	0.0	0.004188948306595365	0.004188948306595365	data[row][column]<0	_
org.apache.commons.math3.util.Incrementor#int#getMaximalCount#?#105	0.0	0.0015873015873015888	0.0015873015873015888	maximalCount>0	_
org.apache.commons.math3.linear.Array2DRowRealMatrix#double#walkInRowOrder#?,RealMatrixPreservingVisitor#415	0.0	9.447331128956127E-5	9.447331128956127E-5	visitor.end()<=0	_
org.apache.commons.math3.linear.AbstractRealMatrix#double#walkInOptimizedOrder#?,RealMatrixPreservingVisitor#873	0.0	9.318796011555282E-5	9.318796011555282E-5	walkInRowOrder(visitor)==0	_
org.apache.commons.math3.util.FastMath#double#nextUp#?,double#767	0.0	0.0	0.0	nextAfter(a,Double.POSITIVE_INFINITY)>=0	_
org.apache.commons.math3.linear.Array2DRowRealMatrix#int#getRowDimension#?#335	0.0	0.0	0.0	(data == null) ? 0 : data.length!=0	_
org.apache.commons.math3.linear.Array2DRowRealMatrix#int#getColumnDimension#?#341	0.0	0.0	0.0	((data == null) || (data[0] == null)) ? 0 : data[0].length>0	_
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateOptimizer#int#getMaxEvaluations#?#72	0.0	0.0	0.0	evaluations.getMaximalCount()>0	_
org.apache.commons.math3.linear.DefaultRealMatrixPreservingVisitor#double#end#?#41	0.0	0.0	0.0	0>=0	_
org.apache.commons.math3.util.FastMath#double#nextAfter#?,double,double#3236	0.0	0.0	0.0	Double.longBitsToDouble(sign | ((bits & 0x7fffffffffffffffL) + 1))>0	_
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateOptimizer#double#computeObjectiveValue#?,double[]#99	0.0	0.0	0.0	function.value(point)!=0	_
